Brooks, Kentucky	Census-designated places in Kentucky, Bullitt County, Kentucky
East Providence, Rhode Island	Cities in Rhode Island
Efigenio Ameijeiras	1931 births, 2020 deaths, Deaths from sepsis, Cuban people, Military people
Lyle Mays	Grammy Award winners, 1953 births, 2020 deaths, Disease-related deaths in Los Angeles, American composers, American pianists, American jazz musicians, Musicians from Wisconsin
Wausaukee, Wisconsin	Villages in Wisconsin
Marinette County, Wisconsin	Wisconsin counties
Jacques Mehler	1936 births, 2020 deaths, French scientists, Psychologists, People from Barcelona
Claire Bretécher	1940 births, 2020 deaths, French artists, French writers, Cartoonists
Dmitri Borgmann	1927 births, 1985 deaths, German Jews, Jewish American writers, Linguists, Refugees from Nazism, University of Chicago alumni, Writers from Berlin
Apatheism	Philosophical movements and positions, Religion
Theological noncognitivism	Religion, Theology
George Coyne	1933 births, 2020 deaths, Deaths from bladder cancer, Cancer deaths in New York, American astronomers, American Roman Catholics, Roman Catholic priests, Scientists from Baltimore, Maryland
Wendell Rodricks	2020 deaths, 1960 births, Deaths from cardiac arrest, Fashion designers, Indian writers, Environmentalists, Political activists, Gay men, LGBT artists
Bjelovar-Bilogora County	Counties of Croatia
NGC 3603-B	Stars
Second Sudanese Civil War	1980s, 1990s, 2000s, Civil wars, Rebellions in Africa, Wars of independence
Flappy Bird	2013 video games, Mobile games, Android (operating system) games, IOS games, Fictional birds
Mehriban Aliyeva	1964 births, Living people, Physicians, First Ladies, Vice presidents, Azerbaijani politicians
Nikitas Venizelos	1930 births, 2020 deaths, Greek politicians, Greek businesspeople, People from Athens
Des Britten	1939 births, 2020 deaths, Anglican priests, Deaths from cancer, New Zealand writers, New Zealand entertainers, Chefs, New Zealand businesspeople, Television personalities, People from Wellington
Jimmy Thunder	1966 births, 2020 deaths, Deaths from surgical complications, New Zealand sportspeople, Boxers
Sharlto Copley	1973 births, Living people, South African actors, People from Johannesburg
Tanit Phoenix	1980 births, Living people, South African actors, South African models, Artists
Knowledge Graph	Technology, Google, Search engines, Internet
Helen Craig (actress)	1912 births, 1986 deaths, Actors from San Antonio, Texas, American movie actors, American stage actors, American television actors, Cardiovascular disease deaths in New York City, Deaths from cardiac arrest
Ismail Bilen	1961 births
Erkan Kandemir	1981 births
Shamrock Shake	McDonald's, American food, Ice cream, Dairy products, Desserts
Fahrettin Koca	1965 births, Turkish politicians
Ministry of Health (Turkey)	20th century establishments in Turkey, 1920 establishments, Government
Rich, Mississippi	Unincorporated communities in Mississippi
Jackson, Tennessee	County seats in Tennessee, Cities in Tennessee
Madison County, Tennessee	Tennessee counties
Tiptonville, Tennessee	County seats in Tennessee, Towns in Tennessee
Lake County, Tennessee	Tennessee counties
Steve Fossett	1944 births, 2007 deaths, American aviators, Aviation deaths in the United States, Businesspeople from California, Businesspeople from Tennessee, Missing American people, People from Jackson, Tennessee
Anna Friel	1976 births, Living people, Actors from Greater Manchester, English movie actors, English stage actors, English television actors, People from Rochdale
Middlesex County, Jamaica	Counties of Jamaica
Surrey County, Jamaica	Counties of Jamaica
Cornwall County, Jamaica	Counties of Jamaica
Cliftonhill	20th century establishments in Scotland, 1919 establishments in the United Kingdom, Football stadiums in Scotland, North Lanarkshire
Wantagh	Census-designated places in New York (state), Hamlets in New York
Siege of Jerusalem (70 CE)	70, Wars and battles of Ancient Rome, Jewish history, Sieges
Transfinite number	Cardinal numbers, Number theory
Battle of Mutina	43 BC, Wars and battles of Ancient Rome, Emilia-Romagna
Martin Garrix	1996 births, Living people, DJs, Dutch musicians, People from North Holland, Record producers
Kepler-62f	Exoplanets
Haakon VII	Kings and Queens of Norway, 1872 births, 1957 deaths
Cromwellian conquest of Ireland	History of Ireland, History of the United Kingdom
Ahmed Mansour	1962 births, Egyptian journalists, Egyptian writers, Living people
Kingdom of Breifne	Former countries in Europe, Former monarchies of Europe, History of Ireland, History of Northern Ireland
Gaelic Ireland	Celtic peoples
The Chordettes	Musicians from Wisconsin
Geert Hofstede	1928 births, 2020 deaths, Dutch scientists, Dutch psychologists
Rajendra K. Pachauri	1940 births, 2020 deaths, Deaths from surgical complications, Environmentalists, Engineers, Indian scientists
Mehmet Özhaseki	1957 births, Living people, Turkish politicians
Rudolf Anderson	1927 births, 1962 deaths, People from Greenville, South Carolina, Purple Heart recipients
Tamás Wichmann	1948 births, 2020 deaths, Olympic silver medalists, Olympic bronze medalists, Hungarian sportspeople
Competition law	Legislation, Business
Antitrust law	United States federal legislation
Kingdom of Aksum	History of Africa
Betty Siegel	1931 births, 2020 deaths, American educators, Writers from Kentucky, Writers from Georgia (U.S. state)
Kennesaw, Georgia	Cities in Georgia (U.S. state)
Lawrence W. Pierce	1924 births, 2020 deaths, American lawyers, American judges, Politicians from New York, Politicians from Philadelphia, Pennsylvania, US Republican Party politicians
2020 Irish general election	2020 elections in Europe, 21st century in the Republic of Ireland, February 2020 events, Government of the Republic of Ireland
Brendan Howlin	1956 births, Living people, Irish politicians
Hvítá	Rivers of Iceland
Leader of the Opposition (Ireland)	Irish politicians
John Bruton	1947 births, Living people, Taoisigh of Ireland
