West Division (NHL)	National Hockey League divisions
Wilhelm Roux	1850 births, 1924 deaths, Anatomists, Cell biology, Developmental biologists, German academics, German biologists, People from Jena, German zoologists
Tokyo Metro Marunouchi Line	Japanese railways, Tokyo
Poanes	Hesperiidae
Concentric	Geometry
Andreas Hinkel	1982 births, Living people, German footballers, Sportspeople from Baden-Württemberg
Nymphalidae	Nymphalidae
Marcel Schäfer	1984 births, Living people, German footballers, Sportspeople from Bavaria
Dred Scott	Slaves, 1799 births, 1858 deaths
Louis Farrakhan	Writers from Chicago, Writers from the Bronx, Writers from Boston, Massachusetts, American political activists, American political writers, American political commentators, American Muslims, Religious leaders, African-American people, Living people, 1933 births
Synod of Dort	1618, 1619, Calvinism, Dordrecht, History of the Netherlands, Protestantism in the Netherlands, Protestant Reformation
Jacob Arminius	1560 births, 1609 deaths, Christian theologians, Dutch academics, People from Utrecht (province), Remonstrants
Valdeir Vieira	1944 births, Living people, Brazilian footballers
Richart Báez	1973 births, Living people, Paraguayan footballers, People from Asunción
Mustapha Hadji	1971 births, Living people, Moroccan footballers
Alexi Lalas	1970 births, Living people, American footballers
Christian Wilhelmsson	1979 births, Living people, Swedish footballers, People from Malmo
Kei Yamaguchi	1983 births, Living people, Footballers from Kyoto
Ivan Turgenev	1818 births, 1883 deaths, Russian writers
Kim Jung-woo	1982 births, Living people, South Korean footballers
Marek Špilár	1975 births, 2013 deaths, Slovak footballers, Sportspeople who committed suicide, Suicides by jumping
Andrej Panadić	1969 births, 1990 FIFA World Cup players, Croatian footballers, Croatian football managers, Living people, Sportspeople from Zagreb, Yugoslavian sportspeople
Franck Durix	1965 births, Living people, French footballers
Kim Sang-Woo	1987 births, Living people, South Korean footballers
Shigeru Yokotani	1987 births, Living people, Footballers from Hyōgo Prefecture
Michihiro Yasuda	1987 births, Living people, Footballers from Osaka Prefecture, Japan international footballers, J1 League players, J2 League players, Gamba Osaka players, Júbilo Iwata players, Sagan Tosu players, Vissel Kobe players, Nagoya Grampus players, Albirex Niigata players, JEF United Chiba players, Footballers at the 2008 Summer Olympics
Toshihiro Yamaguchi	1971 births, Living people, Footballers from Kumamoto Prefecture, Japan international footballers, J1 League players, Gamba Osaka players, Kyoto Sanga FC players, Sanfrecce Hiroshima players, 1995 King Fahd Cup players
Takuya Kokeguchi	1985 births, Living people, Footballers from Okayama Prefecture, Kataller Toyama players
Hogares CREA	Addiction, 1968 establishments in the United States, Organizations
Photorespiration	Plant physiology
August Weismann	1834 births, 1914 deaths, Cell biology, Geneticists, German academics, German evolutionary biologists, People from Frankfurt
Theodor Boveri	1862 births, 1915 deaths, Geneticists, Cell biology, German biologists
Fred Hoyle	1915 births, 2001 deaths, English astronomers, English science writers, English science fiction writers
Edmund Beecher Wilson	1856 births, 1939 deaths, American academics, American geneticists, American zoologists, Cell biology, Scientists from Illinois, Yale University alumni
Reginald Punnett	1875 births, 1967 deaths, English biologists, English geneticists, English science writers
Canons of Dort	1619, Calvinism, Christian texts, Dordrecht, History of the Netherlands, Protestantism in the Netherlands, Protestant theology
Three Forms of Unity	Calvinism, Christian texts, Protestant theology
Total depravity	Christian theology
Dordrecht Confession of Faith	1632, Anabaptism, Christian creeds, Dordrecht, History of the Netherlands, Protestantism in the Netherlands, Protestant theology, 1630s in Europe
Arthur Antunes Coimbra Junior	1977 births, Living people, Brazilian footballers
Martin Müller	1970 births, Living people, Czech footballers
Pavel Horváth	1975 births, Living people, Czech footballers
Bernard Genghini	1958 births, Living people, French footballers, French football managers
Jun Yanagisawa	1987 births, Living people, Footballers from Ibaraki Prefecture
Anders Svensson	1976 births, Living people, Swedish footballers, People from Gothenburg
John Piper (broadcaster)	Year of birth missing, British television presenters
Xerophyte	Botany
Liga MX	Football leagues, Football in Mexico, 1943 establishments in North America, 1940s establishments in Mexico
Fortuna Düsseldorf	Düsseldorf, German football clubs, Sport in North Rhine-Westphalia, 1895 establishments in Europe, 1890s establishments in Germany
SC Freiburg	German football clubs, Sport in Baden-Württemberg, Freiburg im Breisgau, 1904 establishments in Europe, 1900s establishments in Germany
MSV Duisburg	Duisburg, German football clubs, Sport in North Rhine-Westphalia, 1902 establishments in Europe, 1900s establishments in Germany
Hansa Rostock	German football clubs, Rostock
FC Red Bull Salzburg	Austrian football clubs, Football clubs owned by Red Bull, Football clubs of Salzburg
SK Sturm Graz	Austrian football clubs, Football clubs of Graz, 1909 establishments in Europe, 20th century establishments in Austria
L.A.S.K. Linz	Austrian football clubs, Football clubs of Upper Austria, Linz
F.C. Wacker Innsbruck (2002)	Austrian football clubs, Innsbruck
Grazer AK	Austrian football clubs, Football clubs of Graz
Judge Joe Brown	1998 American television series debuts, First run syndicated television programs
Curt Stern	1902 births, 1981 deaths, American geneticists, American zoologists, German biologists, Jewish American academics, Jewish American scientists, Jewish German scientists, Naturalized citizens of the United States, People from Hamburg, Refugees from Nazism
Thomas Hunt Morgan	1866 births, 1945 deaths, American geneticists, American Nobel Prize winners, Cell biology, Scientists from Kentucky, People from Lexington, Kentucky, Developmental biologists, Columbia University faculty
Alfred Sturtevant	1891 births, 1970 deaths, American geneticists, Cell biology, Scientists from Illinois
H. J. Muller	1890 births, 1967 deaths, American geneticists, American Nobel Prize winners, Scientists from New York City
Little Boy	Nuclear weapons, World War II, Hiroshima
Fat Man	Nuclear weapons, World War II
Geography of Haiti	Geography of Haiti
Mundari language	Languages of India, Languages of Bangladesh, Nepal
Listed building	Listed buildings
Holborn	Areas of London, London Borough of Camden, City of Westminster
Poker Alice	1853 births, 1930 deaths, People from Devon, People from Virginia, Poker players
Strand Underpass	Transport architecture in London
Southampton Row	London Borough of Camden
Victoria Embankment	City of Westminster, City of London, River Thames, Roads in London
Charlton, London	London Borough of Greenwich, Areas of London
Waterloo Bridge	Bridges in the United Kingdom, Buildings and structures in the City of Westminster, Transport in the City of Westminster, Stone bridges, Concrete bridges, Grade II* listed buildings in London
Westminster Bridge	Bridges in the United Kingdom, Buildings and structures in the City of Westminster, Transport in the City of Westminster, Transport in Lambeth, Steel bridges, Grade II* listed buildings in London
Bloomsbury	Areas of London, London Borough of Camden
Hop Exchange	1867 establishments in England, Buildings and structures in London, Grade II listed buildings in London, London Borough of Southwark
River Fleet	Geography of London, Rivers of England
The Angel, Islington	London Borough of Islington, Areas of London
Blackfriars, London	City of London, Areas of London
Kennington	London Borough of Lambeth, Areas of London
Elephant and Castle	London Borough of Southwark, Areas of London, Transport in London
Battersea	Battersea
Wandsworth	Areas of London, London Borough of Wandsworth
Anti-abortion movement	Abortion
Dunning–Kruger effect	Cognition, Experiments
Interferometer	Optical devices
Chris Terreri	1964 births, Chicago Blackhawks players, Living people, New Jersey Devils players, New York Islanders players, Sportspeople from Rhode Island, San Jose Sharks players, Stanley Cup champions, American Hockey League players, International Hockey League (1945–2001) players, People from Warwick, Rhode Island, American ice hockey goaltenders
Tic	Medical signs, Human behavior
Boards of Canada	Scottish musical groups, Musical groups established in 1986, 1986 establishments in the United Kingdom, 20th century establishments in Scotland
Jon Cryer	1965 births, Living people, Actors from New York City, American movie actors, American television actors, American voice actors, Emmy Award winners, Movie producers from New York City
Owl City	2000s in music
William Bateson	1861 births, 1926 deaths, British zoologists, English geneticists, English science writers
Beretta 92	Pistols, Law enforcement equipment
Ice Climbers	Video game series, Nintendo video games
Ray J	1981 births, American R&B singers, American rap musicians from Mississippi, Living people, Singers from Mississippi, Actors from Mississippi, Singers from Los Angeles, California, American movie actors, American television actors, Actors from Los Angeles, California
Wat Phrasri Rattana Sasadaram	Buddhist temples in Thailand, Buildings and structures in Bangkok, Establishments in Thailand, 1784 establishments in Asia
Colossal squid	Cephalopods
James Morrison	1962 births, Living people, Jazz musicians, Musicians from New South Wales, Trumpeters
I'm a Celebrity...Get Me Out of Here!	2002 British television series debuts, 2000s television series, 2010s television series, Reality television competitions, English-language television programs
Crossing over	Chromosomes
Chromatid	Chromosomes
Wat Pho	Buddhist temples in Thailand, Buildings and structures in Bangkok
Habbo	Online games
Kay Jewelers	Jewelry, Companies of the United States, Akron, Ohio
Hugh Trenchard, 1st Viscount Trenchard	British military people, Royal Air Force, Order of Merit, Knights Grand Cross of the Order of the Bath, Knights Grand Cross of the Royal Victorian Order, British aviators
Danaus (genus)	Danaus
Harold Lloyd	1893 births, 1971 deaths, Actors from Nebraska, American movie actors, Cancer deaths in the United States, Deaths from prostate cancer
Marc-Antoine Charpentier	1643 births, 1704 deaths, French composers, Baroque composers
Geneviève Bujold	1942 births, Actors from Montreal, Canadian movie actors, Living people
Andris Nelsons	1978 births, Conductors, Living people, People from Riga
FourCC	Computer file formats
Fred Penner	1946 births, Canadian guitarists, Living people, People from Winnipeg
Frasin	Towns in Suceava County
MyWikiBiz	Wikis
Topiary	Gardening
Aldwych tramway station	Transport architecture in London, Trams in London
1969–70 NHL season	1969 in North America, 1970 in North America
1970–71 NHL season	1970 in North America, 1971
Francis I, Holy Roman Emperor	Holy Roman Emperors, Habsburg Dynasty, 1708 births, 1765 deaths, House of Lorraine, House of Habsburg-Lorraine, Grand Dukes of Tuscany
Alexander Selkirk	1676 births, 1721 deaths, Sailors, Scottish people
Robert Gould Shaw	1837 births, 1863 deaths, Colonels, Military people killed in action, Military personnel of the American Civil War, People from Boston, Massachusetts
Robinson Crusoe Island	Pacific islands, Islands of Chile, Biosphere reserves
Buster Keaton	1895 births, 1966 deaths, Actors from Kansas, American movie actors, American movie directors, American movie producers, American screenwriters, American silent movie actors, American television actors, Cancer deaths in the United States, Deaths from lung cancer
Russian roulette	Games
Nude beach	Beaches, Nudity
Undercroft	Rooms
Buddha Bar	European restaurants, Buildings and structures in Paris
Edwards syndrome	Trisomies
Thames Embankment	Roads in London, River Thames, City of London, City of Westminster
London Transport Executive	1948 establishments in Europe, 1962 disestablishments, 1960s disestablishments in England, Defunct companies of the United Kingdom, Intermodal transport authorities, 1940s establishments in England
The Strand	City of Westminster, Roads in London
Parnassiinae	Papilionidae
Milot	Cities in Haiti
Islam in Austria	Islam by country, Religion in Austria
Clever Hans	Individual animals, Animal communication, Cognition, Experiments
Rick Mercer	Canadian comedians, LGBT broadcasters, LGBT comedians, Canadian LGBT people, 1969 births, Living people
London Passenger Transport Board	Defunct companies of the United Kingdom, Intermodal transport authorities, 1933 establishments, 1948 disestablishments in the United Kingdom
County of London	Local government in London, 1889 establishments in England, 1965 disestablishments in England, 19th century in London, 20th century in London
Brockley	Areas of London, London Borough of Lewisham
Downham	Areas of London
Archway, London	London Borough of Islington, Areas of London
Howie Morenz	1902 births, 1937 deaths, Canadian ice hockey centres, Chicago Blackhawks players, Hart Memorial Trophy winners, Hockey Hall of Fame inductees, Ice hockey people from Ontario, Montreal Canadiens players, New York Rangers players, Stanley Cup champions
Norbury	London Borough of Croydon, Areas of London
Waterloo station	Railway stations in London, London Travelcard zone 1, Bakerloo Line stations, Northern Line stations, Jubilee Line stations
Highbury	London Borough of Islington, Areas of London
Leyton	Areas of London, London Borough of Waltham Forest
Tooting	Tooting
Atomic radius	Nuclear physics
Dale Davis	1969 births, Living people, African-American basketball players, Detroit Pistons players, Golden State Warriors players, Indiana Pacers players, Portland Trail Blazers players, Sportspeople from Georgia (U.S. state)
Underpinning	Construction
Epistasis	Classical genetics
Holborn tramway station	Trams in London, Transport in Camden
Epigenetics	Epigenetics, Cell biology, Developmental biology
Cell differentiation	Genetics, Cell biology, Developmental biology
Morphogenesis	Developmental biology, Cell biology, Plant anatomy
Gastrulation	Developmental biology
Wat Phra-sri Rattana Mahathat	Buddhist temples in Thailand
Jikji	Buddhist texts, Korea, 14th century books
Bibliothèque nationale de France	Buildings and structures in Paris, National libraries in Europe
Fitness	Classical genetics, Evolutionary biology
Cilla Black	1943 births, 2015 deaths, Accidental deaths from falls, Accidental deaths in Spain, Actors from Liverpool, Cardiovascular disease deaths in Spain, Deaths from stroke, Disease-related deaths in Andalusia, English movie actors, English pop musicians, English television actors, English television presenters, Singers from Liverpool
Paulista Avenue	São Paulo
Didcot	South Oxfordshire, Towns in Oxfordshire, 13th century establishments in England
Horsepower	Imperial units, Units of power
Mason Raymond	1985 births, American Hockey League players, Anaheim Ducks players, Calgary Flames players, Canadian ice hockey left wingers, Ice hockey people from Alberta, Living people, Toronto Maple Leafs players, Vancouver Canucks players
Pavol Demitra	1974 births, 2011 deaths, Aviation deaths, Lady Byng Memorial Trophy winners, Los Angeles Kings players, Minnesota Wild players, Ottawa Senators players, Slovak ice hockey players, St. Louis Blues players, Vancouver Canucks players, American Hockey League players, International Hockey League (1945–2001) players, Ice hockey centres
Kevin Bieksa	1981 births, Living people, Canadian ice hockey defencemen, Vancouver Canucks players, Ice hockey people from Ontario, American Hockey League players
1992 United States presidential election	1992 in the United States, 1992 elections, United States presidential elections
Meliaceae	Meliaceae
South Jakarta	Jakarta
Alexandre Bolduc	1985 births, American Hockey League players, Arizona Coyotes players, Canadian ice hockey centres, ECHL players, Ice hockey people from Quebec, Living people, People from Montreal, Phoenix Coyotes players, Rouyn-Noranda Huskies players, Shawinigan Cataractes players, Vancouver Canucks players
Manitoba Moose	1996 establishments in Canada, 2011 disestablishments in Canada, 2015 establishments in North America, American Hockey League teams, Ice hockey teams in Canada, Sport in Manitoba, 2010s establishments in Canada
Stickleback	Teleosts
Mikhail Bulgakov	1891 births, 1940 deaths, Russian writers, People from Kiev
J.B.S. Haldane	1892 births, 1964 deaths, English biologists, English geneticists
Lost Generation	American writers
W.D. Hamilton	1936 births, 2000 deaths, English mathematicians, English geneticists, English evolutionary biologists, Fellows of the Royal Society
John Maynard Smith	1920 births, 2004 deaths, English biologists, English geneticists, British zoologists, English science writers
Kawasaki Station	Railway stations in Kanagawa Prefecture
Mudvayne	1996 establishments in the United States, 1990s American music groups, 1990s establishments in Illinois, 2000s American music groups, 2010s American music groups, 2010 disestablishments in the United States, Alternative metal bands, American heavy metal bands, Musical groups disestablished in 2010, Musical groups established in 1996, Musical groups from Illinois
Alastair Campbell	1957 births, Living people, British atheists, British journalists, British politicians
Cave	Caves
Automobile	Automobiles
Mickey Mouse Clubhouse	2006 American television series debuts, Television series by Disney, Children's television series
Indies	Asia
Asclepias amplexicaulis	Asclepias
Asclepias asperula	Asclepias
Asclepias californica	Asclepias
Alex Burrows	1981 births, Canadian ice hockey left wingers, Ice hockey people from Quebec, Living people, Vancouver Canucks players, American Hockey League players
Winger (ice hockey)	Ice hockey positions
Slovakia men's national ice hockey team	Ice hockey in Europe, National ice hockey teams, Sport in Slovakia
Yucca brevifolia	Agavaceae
1910–11 NHA season	National Hockey Association
Tim Thomas	1974 births, American ice hockey players, Boston Bruins players, Dallas Stars players, Conn Smythe Trophy winners, Florida Panthers players, Living people, Sportspeople from Michigan, Stanley Cup champions, Vezina Trophy winners
Quebec Nordiques	1972 establishments in Canada, 1990s disestablishments in Canada, 1995 disestablishments, Defunct National Hockey League teams, Sport in Quebec City, World Hockey Association teams
1967 NHL expansion	National Hockey League, 1967 in ice hockey, St. Louis Blues, 1967 in North America
Lady Byng Memorial Trophy	National Hockey League trophies and awards
Chris Andersen	1978 births, Basketball players from California, Cleveland Cavaliers players, Denver Nuggets players, Living people, Memphis Grizzlies players, Miami Heat players, New Orleans Hornets players, People from Long Beach, California
Asclepias cordifolia	Asclepias
Asclepias curassavica	Asclepias
Asclepias curtissii	Asclepias
Assassination of Julius Caesar	44 BC, Ancient Rome, Assassinations in Europe, March events
Asclepias eriocarpa	Asclepias
Asclepias erosa	Asclepias
Asclepias exaltata	Asclepias
Asclepias fascicularis	Asclepias
Asclepias humistrata	Asclepias
Asclepias incarnata	Asclepias
Brand New Eyes	Paramore albums, 2009 albums
Asclepias nivea	Asclepias
Asclepias physocarpa	Asclepias
Asclepias purpurascens	Asclepias
Asclepias speciosa	Asclepias
Asclepias subverticillata	Asclepias
Tortuga (Haiti)	Geography of Haiti
Seizure response dog	Working dogs, Service animals
Asclepias syriaca	Asclepias
Guitar chord	Guitars
Asclepias tuberosa	Asclepias
Intel Core i7	Computer processors
Asclepias verticillata	Asclepias
Sacred dance	Ritual dances
Population genetics	Classical genetics, Evolutionary biology, Mathematics, Statistics
Calotropis gigantea	Gentianales
Calotropis procera	Gentianales, Plants of Asia
Cynanchum laeve	Gentianales
Hardy–Weinberg law	Classical genetics, Evolutionary biology
G.H. Hardy	English mathematicians, 1877 births, 1947 deaths
Sarcostemma clausum	Gentianales
Wilhelm Weinberg	Geneticists, German doctors, German scientists, Jewish scientists, People from Stuttgart, 1862 births, 1937 deaths
Centre Georges-Vézina	Indoor arenas, Sports buildings in Canada, 1949 establishments in Canada
Apocynum cannabinum	Gentianales
List of current NHL captains and alternate captains	Lists of National Hockey League players
Outcrossing	Classical genetics
San Francisco Ballet	1933 establishments in the United States, Companies based in San Francisco, 1930s establishments in California
Corner Gas	Sitcoms, Saskatchewan, 2000s Canadian television series, 2004 television series debuts
Spider monkey	New World monkeys
Asian Boyz	American criminals, People from Los Angeles, California
Peleus	People in Greek mythology
Banker horse	Horse breeds
Field research	Biology, Research methods
E. B. Ford	1901 births, 1988 deaths, English evolutionary biologists, English geneticists, Ecology, English science writers
Aster (genus)	Asteraceae
Akihabara Station	Akihabara Station, Railway stations in Tokyo
Borderline (song)	1984 songs, Madonna songs
Takadanobaba Station	Railway stations in Tokyo
Meet Me Halfway	The Black Eyed Peas songs, 2009 songs
Cirsium	Asteraceae
Oblast	Politics, Federal subjects of Russia
Rockford IceHogs	American Hockey League teams, Chicago Blackhawks, Ice hockey teams in the United States, Rockford, Illinois, 2007 establishments in Illinois
Belfast Agreement	1990s treaties, 1998 in the United Kingdom, 1990s in Northern Ireland, Politics of Northern Ireland, Politics of Ireland, Belfast
Democratic Unionist Party	Political parties in Northern Ireland
Tokyo Metro Tōzai Line	Japanese railways, Tokyo
Andrew Ladd	1985 births, American Hockey League players, Atlanta Thrashers players, Canadian ice hockey left wingers, Carolina Hurricanes players, Calgary Hitmen players, Chicago Blackhawks players, Ice hockey people from British Columbia, Living people, New York Islanders players, Stanley Cup champions, Vancouver Giants players, Winnipeg Jets players
Dipsacus fullonum	Dipsacales
Medical illustrator	Illustrators, Scientists
1916 Stanley Cup Finals	Montreal Canadiens, Stanley Cup Finals, 1910s in Canada, 1916 in the United States, History of Portland, Oregon, 20th century in Oregon
Conyza canadensis	Asteraceae
Treaty of Maastricht	1990s treaties, 1992 in Europe, Maastricht, 20th century in the Netherlands, 1992 works
Treaty of Lisbon	European Union, Treaties, 2007 in Europe
President of the European Council	2009 establishments in Europe, European Union, Presidents of the European Council
High Representative of the Union for Foreign Affairs and Security Policy	European Union, European Union politicians
Catherine Ashton	1956 births, Living people, European Union politicians, Politicians from Lancashire
Herman Van Rompuy	1947 births, Living people, Belgian economists, Belgian educators, Belgian nobility, Belgian Roman Catholics, Christelijke Volkspartij politicians, Christen-Democratisch en Vlaams politicians, Flemish politicians, Government ministers of Belgium, Legislative speakers, People from Brussels-Capital Region, Presidents of the European Council, Prime Ministers of Belgium
Treaty of Rome	1950s treaties, 1957 in Europe
Shinhwa	South Korean boy bands, K-pop music groups, 1990s music groups, 1998 establishments in Asia, 1990s establishments in South Korea
Dave Davies	1947 births, Living people, Bisexual people, English LGBT people, English rock guitarists, English singer-songwriters, LGBT songwriters, Musicians from London
Coffee cake	Cakes
Mi Plan	2009 albums, Latin Grammy Award-winning albums
Swahili people	Ethnic groups in Africa, Kenyan people, Tanzania, Mozambique
Tudor period	1480s in England, 1490s in England, 16th century in England, 1600s in England
Andrei Kirilenko	1981 births, Living people, Basketball players, Minnesota Timberwolves players, Russian sportspeople, Utah Jazz players
Bjarne Stroustrup	1950 births, Living people, American computer scientists, Danish scientists, Aarhus
Vanessa Redgrave	1937 births, Living people, Academy Award winning actors, Actors from London, BAFTA Award winning actors, Drama Desk Award winners, Emmy Award winning actors, English activists, English movie actors, English stage actors, English television actors, Golden Globe Award winning actors, Screen Actors Guild Award winners, Tony Award winning actors
WarioWare DIY	Wario, 2009 video games, Nintendo DS games
Phil Keaggy	American guitarists, American singer-songwriters, Singers from Ohio, Musicians from Ohio, Christian music singers, 1951 births, Living people, People from Youngstown, Ohio
Apocynaceae	Apocynaceae
Reaction inhibitor	Biochemistry
Frontier Falcon	Sport in Pakistan
Azad Jammu and Kashmir Regiment	Military of Pakistan
Federal Capital Territory	Former subdivisions of Pakistan
Merlot	Wine
Iconostasis	Eastern Orthodox Church
Charles Bronson	1921 births, 2003 deaths, Deaths from COPD, Deaths from respiratory failure, Deaths from lung cancer, Deaths from congestive heart failure, People with Alzheimer's disease, American movie actors, American television actors, American stage actors, American voice actors, Actors from Pennsylvania, American military people, Purple Heart recipients
Sundance Film Festival	Movie festivals, Park City, Utah, 1978 establishments in the United States
Turner Field	Major League Baseball venues, Sports buildings in Atlanta, Georgia, Atlanta Braves, 1996 establishments in the United States, 1990s establishments in Georgia (U.S. state)
Stevie Nicks	American singer-songwriters, Musicians from Phoenix, Arizona, Living people, 1948 births, American rock singers, Atlantic Records artists, Grammy Award winners
Baloristan	Regions of Pakistan
Michael Waltrip	1963 births, Living people, Daytona 500 winners, Sportspeople from Kentucky, American racecar drivers, People from Owensboro, Kentucky
Jean Simmons	Actors from London, Actors from Los Angeles, California, American child actors, American movie actors, American stage actors, American television actors, American voice actors, British child actors, Cancer deaths in the United States, Deaths from lung cancer, English movie actors, English stage actors, English television actors, English voice actors, Naturalized citizens of the United States, 1929 births, 2010 deaths, Emmy Award winning actors
Ernie Coombs	1927 births, 2001 deaths, Canadian musicians, Canadian television actors, Deaths from stroke, People from Lewiston, Maine, People from Ontario
Pleiotropism	Classical genetics, Evolutionary biology
Empire of the Sun (band)	Australian pop music groups, Electronic music bands, Musical duos, Musical groups from Sydney
Interrobang	Grammar, Punctuation
Altruism	Altruism, Evolution
Visegrád Group	International organizations, Politics of Europe, Czech Republic, History of Hungary, History of Poland, Slovakia, 1991 establishments in Europe
Standard error	Statistics
Really Wild Animals	Children's television series
Adaptive radiation	Evolutionary biology, Paleontology
Ajda Pekkan	1946 births, Living people, Musicians from Istanbul, Pop singers, Turkish movie actors, Turkish singers
The Fabulous Moolah	1923 births, 2007 deaths, American professional wrestlers, Deaths from myocardial infarction, Female professional wrestlers, Former WWE wrestlers, Sportspeople from South Carolina, WWE Hall of Fame
Percentile	Statistics
Grand Coulee	Geography of Washington (U.S. state)
Latent autoimmune diabetes	Diabetes mellitus, Autoimmune diseases
Screwdriver (alcoholic drink)	Alcoholic drink
Antoine Lavoisier	1743 births, 1794 deaths, French chemists, French biologists, People executed by decapitation, Scientists from Paris
Tequila Sunrise	Alcoholic drink
George Gaylord Simpson	1902 births, 1984 deaths, American academics, American autobiographers, American evolutionary biologists, American geologists, American military personnel of World War II, American paleontologists, Foreign Members of the Royal Society, Majors, Scientists from Chicago, Yale University alumni
Daisy Duck	Fictional characters introduced in 1940, Fictional ducks, Mickey Mouse universe characters
List of 100 greatest NHL players by The Hockey News	Lists of ice hockey players
James Norris Memorial Trophy	National Hockey League trophies and awards
Epistle to the Colossians	Pauline epistles, New Testament books
Carousel	Amusement rides
Tony Abbott	1957 births, Living people, Commonwealth Chairpersons-in-Office, Australian Roman Catholics, Leaders of the Opposition (Australia), Liberal Party of Australia politicians, Government ministers of Australia, Members of the Australian House of Representatives, Monarchists, Politicians from London, Politicians from Sydney, Prime Ministers of Australia, Rhodes scholars
Conrad Gessner	1516 births, 1565 deaths, Deaths from infectious disease, Naturalists, Botanists, Swiss scientists
Bernhard Rensch	German evolutionary biologists, Autobiographers, Ornithologists, 1900 births, 1990 deaths
Kinect	Video game technology
G. Ledyard Stebbins	1906 births, 2000 deaths, American botanists, American geneticists, American evolutionary biologists, Scientists from New York
Rusty Wallace	Living people, NASCAR drivers, American racecar drivers, Sportspeople from Missouri, 1956 births
Kevin Clash	1960 births, Living people, American voice actors, Puppeteers
George Mallory	1886 births, 1924 deaths
Atomic clock	Clocks, Physics
Typography	Typography, Graphics, Communication, Book terminology, History of printing
Cape	Clothing
Cab Calloway	1907 births, 1994 deaths, Deaths from stroke, Musicians from New York, Singers from New York, Grammy Award winners, People from Rochester, New York
Korean name	Korean culture
Villette	English novels, Romance novels
The Stranger (novel)	1942 books, French novels, French literature
Toei Asakusa Line	Japanese railways
1080p	Television technology
Teriyaki	Japanese food, Sauces
Dance hall	Entertainment venues
Yaque del Norte River	Rivers of the Dominican Republic
Whip (instrument)	Percussion instruments
First Epistle to the Thessalonians	Pauline epistles, New Testament books
Second Epistle to the Thessalonians	Pauline epistles, New Testament books
First Epistle to Timothy	Pauline epistles, New Testament books
Second Epistle to Timothy	Pauline epistles, New Testament books
Frederick Soddy	1877 births, 1956 deaths, Alumni of the University of Oxford, British Nobel Prize winners, English chemists, English physicists, People from Eastbourne
Epistle to Titus	Pauline epistles, New Testament books
Epistle to Philemon	Pauline epistles, New Testament books
Epistle of James	General Epistles, New Testament books
First Epistle of Peter	New Testament books, General Epistles
Second Epistle of Peter	New Testament books, General Epistles
First Epistle of John	New Testament books, General Epistles
Second Epistle of John	New Testament books, General Epistles
Third Epistle of John	New Testament books, General Epistles
Epistle of Jude	New Testament books, General Epistles
General Epistles	General Epistles
Augustine Volcano	Islands of Alaska, Mountain ranges of Alaska, Volcanoes of the United States
Ace Frehley	1951 births, Living people, American rock guitarists, American songwriters, Musicians from New York City, American heavy metal musicians, Kiss
Sagwa, the Chinese Siamese Cat	Canadian animated television series, Children's television series, Fictional cats, 2001 television series debuts, 2002 television series endings
2009 Pacific hurricane season	Pacific hurricane seasons, 2009 in weather
The Bourne Identity (2002 movie)	2002 movies, American action movies, American spy movies, American thriller movies, English-language movies, Movies based on books, Universal Pictures movies
Antarctic	Antarctic region
Beringia	Geology, Arctic
1917–18 NHL season	1917 in ice hockey, 1918 in ice hockey, National Hockey League seasons, 1917 in North America, 1918
Defenceman	Ice hockey positions
2010 Atlantic hurricane season	Atlantic hurricane seasons, 2010 in weather
Pool (cue sports)	Cue sports
Jason Mraz	1977 births, Living people, American singer-songwriters, Singers from Virginia
Troup County, Georgia	Georgia (U.S. state) counties, 1826 establishments in Georgia (U.S. state)
Whitespace (computer science)	Writing
Carriage return	Control characters
Newline	Control characters
Ardashir I	Persian people, Middle East
Artabanus IV	History of Iran, 216 births, 224 deaths
Helen Mirren	1945 births, Living people, Academy Award winning actors, Actors from Essex, Actors from Middlesex, BAFTA Award winners, British atheists, Emmy Award winning actors, English movie actors, English stage actors, English television actors, English voice actors, Golden Globe Award winning actors, Screen Actors Guild Award winners
Makgeolli	Wine
Sadri language	Languages of Bangladesh
Rohingya language	Languages of Bangladesh
Friedrich Kurt Fiedler	1894 births, 1950 deaths, Designers, German painters, Politicians from Saxony, Politicians of the Social Democratic Party of Germany
Cryosphere	Earth
Jute	Fibers
Bryan Hopkin	1914 births, 2009 deaths, Economists, Welsh people, Civil servants
Denis Healey	1917 births, 2015 deaths, Alumni of the University of Oxford, British military personnel of World War II, Chancellors of the Exchequer, Companions of Honour, Disease-related deaths in Sussex, Former Labour MPs (UK), Former members of the British House of Commons for English constituencies, Majors, Members of the Order of the British Empire, Politicians from Kent, People from West Yorkshire, Politicians from Yorkshire, Privy Councillors (UK), Royal Society of Literature, United Kingdom Life Peers, UK MPs 1951–1955, UK MPs 1955–1959, UK MPs 1959–1964, UK MPs 1964–1966, UK MPs 1966–1970, UK MPs 1970–1974, UK MPs 1974, UK MPs 1974–1979, UK MPs 1979–1983, UK MPs 1983–1987, UK MPs 1987–1992
Plessy v. Ferguson	United States law, United States Supreme Court cases, American civil rights, 19th century in Louisiana, Human rights abuses
Robbinsville Township, New Jersey	Townships in New Jersey
Mercer County, New Jersey	New Jersey counties, 1838 establishments in the United States, 19th-century establishments in New Jersey
Cyrillic numerals	Cyrillic script, Numerals
Gochujang	Korean food
