West Division (NHL)	National Hockey League divisions
Ghost (movie)	1990 drama movies, 1990 romance movies, 1990s fantasy movies, 1990s romantic drama movies, Academy Award winning movies, American fantasy movies, American romantic drama movies, English-language movies, Ghost movies, Golden Globe Award winning movies, Movies about couples, Movies about revenge, Murder in movies, Movies set in New York City, Saturn Award winners
Fox Sports	Fox Broadcasting Company
The Girl and the Robot	2009 songs
Like Toy Soldiers	2004 songs, Eminem songs, Rhythm and blues ballads
Jeff Beck	English guitarists, Grammy Award winners, 1944 births, Living people
Milla Jovovich	American child actors, American models, American movie actors, American television actors, American voice actors, Naturalized citizens of the United States, Ukrainian actors, Ukrainian singers, 1975 births, Living people, People from Kiev
Texas Revolution	1835, 1836, 1830s in Texas, 19th century in Mexico, Wars of independence
Joey Wheeler	Television characters
Max Euwe	1901 births, 1981 deaths, Chess grandmasters, Dutch academics, Dutch computer scientists, Dutch mathematicians, Sportspeople from Amsterdam
Billy the Kid	1859 births, 1881 deaths, American murderers, Deaths by firearm
Luke Donald	British golfers, Sportspeople from Hertfordshire, Living people, 1977 births
Pit bull	Terriers
IAHD	Sports for the disabled, Diving, Non-profit organizations, 1993 establishments
Alex Mineiro	1975 births, Living people, Brazilian footballers, People from Belo Horizonte
Giuseppe Rossi	1987 births, Living people, Italian footballers, People from Teaneck, New Jersey
Nemanja Vidić	1981 births, Living people, Manchester United F.C. players, Serbian footballers
Lino Marzoratti	1986 births, Living people, Italian footballers
OFK Beograd	Serbian football clubs, Belgrade, 1911 establishments in Europe, 1910s establishments in Serbia
Ricardo Rangel	1924 births, 2009 deaths, Mozambican people, Photojournalists
Reverberation	Sound
Regina Moraes	1938 births, 2009 deaths
Adílson Batista	1968 births, Living people, Brazilian footballers, Brazilian football managers, People from Curitiba
José Fábio Santos de Oliveira	1987 births, Living people, Footballers from Maceió
Jia Xiuquan	1963 births, Living people, Chinese footballers
Yoshiaki Ota	1983 births, Living people, Footballers from Shizuoka Prefecture, J1 League players, J2 League players, Júbilo Iwata players, Vegalta Sendai players
Tomasz Frankowski	1974 births, Living people, Polish footballers
Ryoichi Kawakatsu	1958 births, Living people, Footballers from Kyoto Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Hokkaido Consadole Sapporo players, Tokyo Verdy players, Kyoto Sanga FC players, FC Tokyo players
Suplex	Professional wrestling moves
Drake (musician)	Drake (rapper), 1986 births, Living people, Actors from Toronto, Canadian movie actors, Canadian musicians, Canadian rap musicians, Canadian television actors, Singers from Toronto
Sled	Winter sports, Land vehicles, Sports equipment, Animal-powered vehicles, Snow
Telamon	People in Greek mythology
Sol Davis	1979 births, Living people, English footballers, Sportspeople from Gloucestershire
The Three Stooges	American television actors, Comedy
