George Ryan	American criminals, Governors of Illinois, Politicians from Iowa, Lieutenant Governors of Illinois, US Republican Party politicians, 1934 births, Living people, Pharmacists
Nouria Mérah-Benida	1970 births, Living people, Algerian Olympic gold medalists, Female athletes, People from Algiers
Ali Saïdi-Sief	1978 births, Living people, Algerian Olympic medalists, Olympic silver medalists
Djabir Saïd-Guerni	1977 births, Living people, Algerian Olympic bronze medalists, People from Algiers
Abderrahmane Hammad	1977 births, Living people, Algerian Olympic bronze medalists
Mohamed Allalou	1973 births, Algerian boxers, Living people, Algerian Olympic bronze medalists
Epiktetos	Ancient Greek painters, Ancient Greek potters
Soraya Haddad	1984 births, Living people, Algerian Olympic bronze medalists, Judoka, 2008 Summer Olympics
Amar Benikhlef	1982 births, Living people, Judoka, Algerian Olympic medalists, Olympic silver medalists
Kalos inscription	Ancient Greek pottery
Koji Murofushi	1974 births, Living people, Japanese Olympic gold medalists, Japanese Olympic bronze medalists, People from Shizuoka Prefecture
Lachesis (genus)	Vipers
Leonid Yengibarov	1935 births, 1972 deaths, Actors from Moscow, Armenian actors, Clowns, Russian movie actors, Soviet movie actors
Great Sandy Desert	Deserts of Australia, Geography of Western Australia
The Disrobing of Christ (painting)	Paintings with Christian themes, Spanish paintings, Paintings by El Greco, 16th century paintings
Azemiopinae	Vipers
Parable of the Prodigal Son	Parables of Jesus
Parable of the Mustard Seed	Parables of Jesus
Parable of the Lost Sheep	Parables of Jesus
Brandenburg Gate (Potsdam)	Potsdam, Buildings and structures in Germany, 1770s establishments in Europe, 18th century establishments in Germany
List of amphibians	Amphibians, Lists of animals
Frogs as pets	Pets, Frogs
Bombinatoridae	Toads
Debbie Allen	Actors from Houston, Texas, American movie actors, American choreographers, 1950 births, Living people, Drama Desk Award winners
Ascaphidae	Frogs
Pipidae	Frogs
African bullfrog	Frogs
Twyla Tharp	People from New York City, American stage actors, 1941 births, Living people, Emmy Award winners, Tony Award winners, Kennedy Center honorees, American writers, Drama Desk Award winners
Chytridiomycosis	Animal diseases, Fungal diseases
Temnospondyl	Temnospondyls
Lepospondyl	Amphibians
Peltobatrachus	Temnospondyls
Terrestrial animal	Zoology
Sister group	Cladistics
Reptiliomorpha	Amphibians, Reptiles
Youth Riding a Hippalektryon (Epiktetos)	Ancient Greek paintings, Ancient Greek pottery, Paintings and pottery by Epiktetos
Spy-fi	Science fiction, Genres
Amanda Marshall	Singers from Toronto, 1972 births, Living people
Singing Reveler (Epiktetos)	Paintings and pottery by Epiktetos, Ancient Greek paintings, Ancient Greek pottery
Pentathletes (Carpenter Painter)	Ancient Greek paintings, Ancient Greek pottery
Salt pan	Plains, Landforms
Witchetty grub	Indigenous Australian culture, Moths
Carpenter Painter	Ancient Greek painters, Ancient Greek potters
John Astin	1930 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, American radio actors, Actors from Baltimore, Maryland
Peter O'Toole	1932 births, 2013 deaths, Academy Award Honorary Award winners, BAFTA Award winning actors, Cancer deaths in England, Deaths from stomach cancer, Emmy Award winning actors, Golden Globe Award winning actors, Irish movie actors, Irish radio actors, Irish stage actors, Irish television actors, Irish voice actors
Cerastes	Vipers
Las Vegas culture	History of Ecuador, Cultural anthropology
Yu Kil-chun	1856 births, 1914 deaths, Korean activists, Korean educators, Anti-Communists, Korean politicians, Murder victims, Autobiographers
Katherine Jackson	African-American people, Jackson family, People from Alabama, 1930 births, Living people
Fax	Telecommunications
Audrey Meadows	Actors from New York City, American movie actors, American musical theatre actors, American television actors, Deaths from lung cancer, 1922 births, 1996 deaths
Carl von Gontard	1731 births, 1791 deaths, German architects, People from Mannheim
Cloris Leachman	American movie actors, American stage actors, American voice actors, American television actors, Emmy Award winning actors, 1926 births, 2021 deaths, Actors from Des Moines, Iowa, Academy Award winning actors, Golden Globe Award winning actors, BAFTA Award winning actors, Writers from Des Moines, Iowa, American autobiographers, Deaths from stroke, Deaths from the COVID-19 pandemic in the United States
Neue Kirche, Berlin	Protestant churches in Germany, Buildings and structures in Berlin
Mantellinae	Frogs
Pacific tree frog	Frogs
Edible frog	Frogs, Animal hybrids
Texas toad	Toads
French Cathedral, Berlin	Calvinism, Protestant churches in Germany, Cathedrals in Germany, Buildings and structures in Berlin
Cane toad	Toads
Parotoid gland	Amphibians, Animal anatomy
Mole salamander	Salamanders
Rib	Bones
Taricha	Newts
Lungless salamander	Salamanders
Irritation	Physiology
Slender salamander	Salamanders
Pacific coast	Pacific Ocean
Chinese fire belly newt	Newts
Quarter (U.S. coin)	Currency of the United States, 1796 establishments in the United States, Coins
Ichthyophis beddomei	Caecilians
Agalychnis callidryas	Frogs
Common frog	Frogs
Bronzed frog	Frogs
Jefferson salamander	Salamanders
California giant salamander	Salamanders
Tatsuya Fuji	Japanese movie actors, Japanese voice actors, 1941 births, Living people, People from Beijing
Bolitoglossa	Salamanders
Green toad	Toads
Smooth newt	Newts
Midwife toad	Frogs
Van Dyke's salamander	Salamanders
Potamogeton	Alismatales, Aquatic plants
Filter feeder	Animals, Ecology
Surinam horned toad	Frogs
Woomera Test Range	Military of Australia, South Australia
Balgo, Western Australia	Towns in Western Australia, Indigenous Australian communities
Komatsu, Ishikawa	Cities in Japan, Settlements in Ishikawa Prefecture
Charles Perkins	1936 births, 2000 deaths, Indigenous Australian politics, Indigenous Australian activists, Australian footballers, Order of Australia, Australian politicians, Arrernte, University of Sydney alumni, People from Alice Springs, Indigenous Australian sportspeople
Kottabos (Kleophrades Painter)	Ancient Greek pottery, Ancient Greek paintings
Kleophrades Painter	Ancient Greek painters
Clyde Holding	1931 births, 2011 deaths, Politicians from Melbourne, Australian Labor Party politicians, Government ministers of Australia
Kottabos	Ancient Greece, Games
Charlie McMahon	1951 births, Living people, Musicians from New South Wales, Didgeridoo players
Symposium	Ancient Greece, Social events
Foster Brooks	1912 births, 2001 deaths, Deaths from heart failure, American movie actors, American television actors, American stage actors, American radio actors, Comedians from Kentucky, American television personalities, American radio personalities, Actors from Louisville, Kentucky, Singers from Kentucky
Bob Knight	Sportspeople from Ohio, College basketball coaches, 1940 births, Living people, Controversies, Basketball players
James Michael Tyler	1962 births, Living people, Actors from Mississippi, People from Winona, Mississippi, American movie actors, American television actors, American stage actors, American voice actors, People with cancer
Choi Chang-ik	1896 births, 1957 deaths, North Korean politicians
Kim Tu-bong	1886 births, 1958 deaths, North Korean politicians
Echis	Vipers
Atheris	Vipers
Maristes Valldemia	Schools, Catalonia
Phil Harris	1904 births, 1995 deaths, Deaths from myocardial infarction, American movie actors, American television actors, American stage actors, American voice actors, Actors from Indiana, Comedians from Indiana, Actors from Nashville, Tennessee
Pierce the Veil	2007 establishments in the United States, American rock bands, Progressive rock bands, Post-hardcore bands, Musical groups from San Diego, California, Alternative rock bands, Pop rock bands
Collide with the Sky	2012 albums
Pedro Armendáriz Jr.	1940 births, 2011 deaths, Deaths from eye neoplasm, Deaths from lung cancer, Actors from Mexico City, Cancer deaths in the United States, Mexican movie actors, Mexican stage actors, Mexican television actors, Mexican voice actors
Phyllis Diller	Actors from Ohio, American movie actors, American radio actors, American radio personalities, American stage actors, American stand-up comedians, American television actors, American television personalities, American voice actors, Comedians from Ohio, 1917 births, 2012 deaths, People from Lima, Ohio
Sherman Hemsley	1938 births, 2012 deaths, Deaths from lung cancer, Actors from Philadelphia, Pennsylvania, African American actors, American movie actors, American television actors, American voice actors, American stage actors, Musicians from Philadelphia, Pennsylvania, Comedians from Pennsylvania
Gangster Squad	American thriller movies, 2013 movies, English-language movies, Warner Bros. movies
Frontiers of the Roman Empire	Buildings and structures in Ancient Rome, World Heritage Sites in Europe, Walls
Frank Ocean	1987 births, Living people, African American musicians, American R&B singers, Brit Award winners, LGBT African Americans, LGBT people from California, LGBT people from Louisiana, LGBT singers, LGBT songwriters, Singers from New Orleans, Louisiana, Musicians from New Orleans, Louisiana, People from Long Beach, California, Singers from Los Angeles County, California, American bloggers
Tom Bosley	1927 births, 2010 deaths, Deaths from heart failure, Deaths from lung cancer, Deaths from staphylococcal infection, DePaul University alumni, American television actors, American voice actors, American movie actors, American stage actors, American radio actors, Tony Award winning actors, Actors from Chicago, People from Palm Springs, California
Dabry's sturgeon	Ray-finned fish
Chad Everett	1937 births, 2012 deaths, Actors from South Bend, Indiana, Actors from Michigan, American movie actors, American television actors, American stage actors, American voice actors, Deaths from lung cancer, People from Dearborn, Michigan
Luca Signorelli	15th century Italian painters, 1440s births, 1523 deaths, 16th century Italian painters
Bitis	Vipers
Computer-generated imagery	Computer graphics, Movie industry
Benjamin Morrell	1795 births, 1839 deaths, People from New York, American explorers
Donna Lewis	Welsh singers, 1973 births, Living people
Brain Stew/Jaded	Green Day songs, 1995 songs
Paula Cole	American singer-songwriters, American rock singers, Grammy Award winners, American pianists, American keyboard players, Singers from Massachusetts, Musicians from Massachusetts, 1968 births, Living people
Eristicophis	Vipers
Macrovipera	Vipers
LGBT rights in the United States	LGBT rights by country, LGBT in the United States, Politics of the United States
Atropoides	Vipers
