Recycling symbol	Recycling, Symbols, Waste
Craig Revel Horwood	1965 births, Living people, British dancers
Mood Ring (song)	Britney Spears songs, 2016 songs, 2020 songs
Periodical	Journalism, Magazines, Mass media, Publications
Ickabog	Children's books
Ray Kurzweil	1948 births, Living people, Writers from Queens, Businesspeople from New York City, American inventors, Futurists, Massachusetts Institute of Technology alumni
Sheikh Mujibur Rahman (Bangladeshi politician)	Possibly living people, Bangladeshi politicians, Bangladeshi Muslims
Prafulla Kumar Mandal	Bangladeshi politicians, Hindus, Possibly living people, Year of birth missing (living people)
Valeria León	1995 births, Living people, Puerto Rican volleyball players
Edith Mukuvilani	1994 births, Living people, Kenyan volleyball players
Emmaculate Chemtai	1993 births, Living people, Kenyan volleyball players
Miami Medical	2010s American drama television series, English-language television programs
115th United States Congress	United States Congress
Lorine Chebet Kaei	1999 births, Living people, Kenyan volleyball players
Kristina Karapetan	1992 births, Living people, Kazakhstani volleyball players
Zhanna Syroeshkina	1999 births, Living people, Kazakhstani volleyball players
Kristina Belova	1998 births, Kazakhstani volleyball players, Living people
Javelin frog	Animals of Australia, Frogs
Weighed But Found Wanting	1974 drama movies, Filipino movies, Movies directed by Lino Brocka
Hardcore (movie)	1979 drama movies, American crime drama movies, Movies directed by Paul Schrader
Audrey Wasilewski	1967 births, Living people, American voice actors, American television actors, Actors from Pennsylvania
International Star Registry	Astronomical organizations
Star Name Registry	Astronomical organizations
One Crazy Summer	1986 comedy movies, 1986 romance movies, 1980s romantic comedy movies, American romantic comedy movies
Hannah and Her Sisters	1986 comedy-drama movies, American comedy-drama movies, Movies directed by Woody Allen, American independent movies
Hugo Boss Prize	1996 establishments, Awards
Thor Steinar	2000s establishments in Germany, 2002 establishments in Europe, Companies of Germany, Fashion, Neo-Nazism, Brandenburg
BioShock 2	Video game sequels, PlayStation 3 games, Xbox 360 games, Windows games
Lance Acord	1964 births, Living people, American cinematographers, People from California, Fresno County, California
Valentino (1977 movie)	1977 drama movies, 1970s LGBT movies, British drama movies, British biographical movies, American drama movies, American biographical movies, Movies directed by Ken Russell
Tomorrow Never Comes	1978 drama movies, 1970s crime drama movies, British drama movies, Canadian drama movies
The Boys in Company C	1978 drama movies, 1970s war movies, American war movies, American drama movies, Hong Kong movies, Movies directed by Sidney J. Furie
The Betsy	1978 drama movies, American drama movies, Movies based on books, Movies directed by Daniel Petrie
Claudia Winkleman	1972 births, British television presenters, English journalists, English television presenters, English writers, Living people, People from Hampstead, People from London
PlayerUnknown's Battlegrounds	2017 video games, Android (operating system) games, IOS games, PlayStation 4 games, Windows games, Xbox One games
Armed and Dangerous (1986 movie)	1986 comedy movies, 1986 crime movies, 1980s criminal comedy movies, American comedy movies, Movies directed by Mark L. Lester
Casey's Shadow	1978 drama movies, Family movies, American drama movies, Movies directed by Martin Ritt
Midnight Express	1978 drama movies, American biographical movies, American drama movies, British biographical movies, British drama movies, Movies directed by Alan Parker, American independent movies, Movies set in Turkey, Istanbul
Goya Awards	Movie awards, 1980s establishments in Spain, 1987 establishments in Europe
Prime Minister of Gabon	Prime Ministers of Gabon
Eyes of Laura Mars	1978 thriller movies, 1970s mystery movies, 1970s serial killer movies, American mystery movies, American thriller movies
Paulin Obame-Nguema	1934 births, Living people, Prime Ministers of Gabon
Jean-François Ntoutoume Emane	1939 births, Living people, Prime Ministers of Gabon, Mayors
Julien Nkoghe Bekale	Living people, 1958 births, Prime Ministers of Gabon
The Unknown Mariachi	1953 comedy movies, Mexican movies
Emmanuel Issoze-Ngondet	1961 births, 2020 deaths, Deaths from asthma, Prime Ministers of Gabon
Paul Okoumba d'Okwatsegue	1933 births, Living people, Gabonese people, Civil servants
Paul Malékou	1938 births, Living people, Gabonese people, Civil servants
Jean Engone	1932 births, Living people, Gabonese people, Civil servants
Flame Top	1980 drama movies, Finnish movies
Ain Kaalep	1926 births, 2020 deaths, Deaths from Alzheimer's disease, Estonian people, Poets, Playwrights, Translators, Estonian educators, Critics, Essayists, Editors
Stan London	1925 births, 2020 deaths, American physicians, People from Springfield, Illinois, People from St. Louis, Missouri
Mr. Wrestling II	1934 births, American professional wrestlers, 2020 deaths, Sportspeople from Atlanta, Georgia, Sportspeople from South Carolina, People from Charleston, South Carolina
Mililani, Hawaii	Settlements in Hawaii
Mr. Wrestling	1934 births, 2002 deaths, Deaths from myocardial infarction, American professional wrestlers, Sportspeople from New York, Sportspeople from Michigan, People from Utica, New York
Steve Corino	1973 births, Living people, Canadian professional wrestlers, People from Winnipeg
Ares (wrestler)	1980 births, Living people, Swiss sportspeople, Professional wrestlers
Jonah and the Pink Whale	1995 comedy movies, Bolivian movies, Mexican movies
Allison Danger	1977 births, Living people, Canadian professional wrestlers, People from Winnipeg
Jas Waters	1980 births, 2020 deaths, Suicides by hanging in the United States, American television writers, Journalists from Chicago, People from Evanston, Illinois
Sexual Dependency	2003 drama movies, 2000s LGBT movies, American drama movies, Bolivian movies
Harry Glickman	1924 births, 2020 deaths, American journalists, Portland Trail Blazers, Sportspeople from Portland, Oregon, Writers from Portland, Oregon, Businesspeople from Portland, Oregon
Wang Dingguo	1912 births, 2020 deaths, Chinese politicians, Chinese military people, Centenarians
Chinese People's Political Consultative Conference	Political organizations based in Asia, Politics of China
Claudell Washington	1954 births, 2020 deaths, Deaths from prostate cancer, Cancer deaths in California, Atlanta Braves players, California Angels players, Chicago White Sox players, New York Mets players, New York Yankees players, Oakland Athletics players, Texas Rangers players, American League All-Stars, National League All-Stars, Baseball players from California, African-American baseball players, Sportspeople from Los Angeles, California, Sportspeople from Atlanta, Georgia
Basil Meeking	New Zealand people, Roman Catholics, Bishops, 2020 deaths, 1929 births
Katsuhisa Hattori	1936 births, 2020 deaths, Deaths from heart failure, Japanese composers, Businesspeople from Tokyo, Record producers
Blackout Tuesday	June 2020 events
Eight minutes 46 seconds	June 2020 events
Shooting of Breonna Taylor	March 2020 events, Police misconduct, 2020 in the United States, Louisville, Kentucky, 21st century in Kentucky, Racially-motivated violence in the United States
Elisabeth-Anne de Massy	1947 births, 2020 deaths, Princes and princesses of Monaco
Princess Antoinette, Baroness of Massy	1920 births, 2011 deaths, Princes and princesses of Monaco
Michel Lévêque	Living people, 1933 births, Ministers of State of Monaco, Ambassadors of France
Minister of State (Monaco)	Ministers of State of Monaco
Paul Dijoud	1938 births, Living people, Ambassadors of France, Ministers of State of Monaco
Patrick Leclercq	1938 births, Living people, Ambassadors to France, Ministers of State of Monaco
Abdelmadjid Tebboune	1945 births, Living people, Prime Ministers of Algeria, Current national leaders, Presidents of Algeria
Liamine Zéroual	1941 births, Living people, Presidents of Algeria
Brian Connolly	1945 births, 1997 deaths, Deaths from liver failure, Deaths from myocardial infarction, Deaths from renal failure, Cardiovascular disease deaths in England, Drug-related accidental deaths in the United Kingdom, Musicians from Glasgow, Scottish rock singers, Scottish singer-songwriters
Abdelaziz Djerad	1954 births, Living people, Prime Ministers of Algeria
Rosa Maria Sardà	Goya Award winners, 1941 births, 2020 deaths, Deaths from lymphoma, Cancer deaths in Spain, Spanish movie actors, Spanish television actors, Spanish voice actors, Spanish stage actors, Comedians, Political activists, Entertainers from Barcelona
The Drop (movie)	2014 crime movies, American crime movies
John Sayles	1950 births, Living people, American movie actors, American television actors, American novelists, Editors, Movie directors from New York, Screenwriters from New York, Movie producers from New York, Actors from New York, People from Schenectady, New York
Bill Smitrovich	1947 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Actors from Connecticut, People from Bridgeport, Connecticut
Starkville, Mississippi	Cities in Mississippi, County seats in Mississippi
Brian Cummings	1948 births, Living people, Actors from South Dakota, People from Sioux Falls, South Dakota, American voice actors, Disney people
Sylvester, Georgia	County seats in Georgia, Cities in Georgia (U.S. state)
Worth County, Georgia	1853 establishments in Georgia (U.S. state)
Poulan, Georgia	Cities in Georgia (U.S. state)
Leighton, Alabama	Towns in Alabama
List of prime ministers of Guyana	Prime Ministers of Guyana
COVID-19 pandemic in Guyana	Guyana, COVID-19 pandemic by country
COVID-19 pandemic in Estonia	Estonia, COVID-19 pandemic by country
Cabell County, West Virginia	West Virginia counties
Wayne County, West Virginia	West Virginia counties
Wayne, West Virginia	Towns in West Virginia, County seats in West Virginia
Matthias Schoenaerts	1977 births, Living people, Belgian movie actors, Belgian television actors, Belgian stage actors, Belgian voice actors, Belgian artists, Belgian movie producers, People from Antwerp
List of women executed in the United States since 1976	American murderers, American people executed for murder
Samala	Somalia
Kraisak Choonhavan	1947 births, 2020 deaths, Deaths from tongue cancer, Thai politicians, Guitarists, People from Bangkok
Jung Ho-young	2001 births, Living people, South Korean volleyball players
Hans Mezger	1929 births, 2020 deaths, German engineers, People from Stuttgart
Waterville, Maine	Cities in Maine
Johnny Mandel	Grammy Award winners, Academy Award winning composers, 1925 births, 2020 deaths, American composers, American conductors, Writers from New York City, Musicians from New York City
Richard Hooker (author)	1924 births, 1997 deaths, Deaths from leukemia, American novelists, American military personnel of the Korean War, American physicians, Writers from New Jersey, Writers from Maine, People from Trenton, New Jersey
M*A*S*H (movie)	1970 comedy movies, 1970 drama movies, 1970s comedy-drama movies, 1970s war movies, American black comedy movies, American war movies, Movies based on books, Movies directed by Robert Altman, Golden Globe Award winning movies
Roger Bowen	1932 births, 1996 deaths, Deaths from myocardial infarction, American movie actors, American television actors, American stage actors, American voice actors, American novelists, Actors from Connecticut, Writers from Connecticut, People from Providence, Rhode Island
Laura Bernal (diplomat)	1956 births, 2020 deaths, Argentine politicians, Deaths from the COVID-19 pandemic in Argentina, People from Buenos Aires
Bayaz Aliyeva	1990 births, Living people, Azerbaijani sportspeople, Volleyball players
Taba, Egypt	Cities in Egypt
Shafagat Alishanova	1991 births, Living people, Azerbaijani sportspeople, Volleyball players
Iryna Joukova	1974 births, Ukrainian volleyball players, Living people, Sportspeople from Kiev
Assistant referee	Referees
Ivy Vila Wittingham	2001 births, Living people, Cuban volleyball players
Daima Del Rió Preval	2000 births, Living people, Cuban volleyball players
Egli Sabin	1991 births, Living people, Cuban volleyball players
Laura Suárez	1998 births, Living people, Cuban volleyball players
Irene (singer)	South Korean singers, K-pop singers, 1991 births, Living people
Kiera Van Ryk	1999 births, Living people, Canadian volleyball players
Latisha Morain	1997 births, Living people, Trinidad and Tobago volleyball players
Portia White	1911 births, 1968 deaths, Canadian singers, Cancer deaths in Ontario, Contraltos, Deaths from breast cancer, Entertainers from Nova Scotia
Renele Forde	1990 births, Living people, Trinidad and Tobago volleyball players
Coleshill, Warwickshire	Towns in Warwickshire
Kassam tree frog	Animals of Oceania, Frogs
Slender tree frog	Animals of Australia, Frogs
Super NES Classic Edition	Nintendo video game consoles
Hussein Arnous	1953 births, Living people, Prime Ministers of Syria, Current national leaders
Murray Olderman	American cartoonists, 1922 births, 2020 deaths, Deaths from myocardial infarction, Writers from New York City
Burton Natarus	1933 births, 2020 deaths, Chicago City Council members, American political scientists, Writers from Chicago, Writers from Wisconsin, Politicians from Wisconsin, US Democratic Party politicians
Mel Winkler	1941 births, 2020 deaths, American movie actors, American television actors, American voice actors, American video game actors, American stage actors, Actors from St. Louis, Missouri
Murder by Death	1976 comedy movies, 1970s mystery movies, American mystery movies, American comedy movies
The New Batman Adventures	1997 television series debuts, 1999 television series endings, American animated television series, Batman, DC Animated Universe, Superhero television shows
Tim Drake	DC Comics superheroes, Batman characters, Fictional characters introduced in 1989
Creeper (DC Comics)	Batman characters
Richard Moll	1943 births, 2021 deaths, American movie actors, American television actors, American video game actors, American voice actors, Actors from Pasadena, California, Accidental deaths from falls in the United States
George Dzundza	1945 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, German movie actors, German television actors, German voice actors, German stage actors, Naturalized citizens of the United States, Actors from New York City
The Andromeda Strain (movie)	1971 science fiction movies, 1971 thriller movies, American science fiction movies, American thriller movies, Movies based on books, Movies directed by Robert Wise
Perfecto Yasay Jr.	1947 births, 2020 deaths, Deaths from pneumonia, Deaths from lung cancer, Filipino politicians
Silent Running	1972 science fiction movies, American science fiction movies, Post-apocalyptic movies, Dystopian movies
List of presidents of Madagascar	Presidents of Madagascar
Marc Ravalomanana	1949 births, Living people, Presidents of Madagascar
Prime Minister of Madagascar	Prime Ministers of Madagascar
Christian Ntsay	1961 births, Living people, Current national leaders, Prime Ministers of Madagascar
Robert Fisk	1946 births, 2020 deaths, English journalists, War correspondents, Political commentators, Writers from Kent, Irish writers
The World's Greatest Lover	1977 comedy movies, American comedy movies
High Anxiety	1977 comedy movies, 1977 thriller movies, American comedy movies, American thriller movies, Movies directed by Mel Brooks
The Turning Point	1977 drama movies, American drama movies, 20th Century Fox movies, Movies directed by Herbert Ross
Sheikh Ahidul Islam	Possibly living people, Bangladeshi people
Wizards (movie)	1977 movies, 1970s science fiction movies, 1970s fantasy movies, American animated movies, American science fiction movies, American fantasy movies
Phosphorite	Sedimentary rocks
The Legend of Hell House	1973 horror movies, 1970s fantasy movies, British horror movies, British fantasy movies, Movies based on books, Movies directed by John Hough
Snake in the Eagle's Shadow	1978 comedy movies, 1970s action movies, Hong Kong movies
The Last Image	1986 drama movies, Algerian movies, Movies directed by Mohammed Lakhdar-Hamina
To Kill with Intrigue	1977 movies, 1970s action movies, Hong Kong movies, South Korean movies
Race for the Yankee Zephyr	1981 action movies, 1980s adventure movies, New Zealand movies, Australian movies
Parasnath Yadav	1949 births, 2020 deaths, Deaths from bladder cancer, Indian politicians
Dan Hicks (actor)	1951 births, 2020 deaths, Cancer deaths in California, American movie actors, American television actors, American voice actors, American stage actors, Actors from Michigan, People from Pontiac, Michigan
Claremont, New Hampshire	Cities in New Hampshire
Jean Hersholt	1873 births, 1943 deaths, Deaths from pancreatic cancer, Cancer deaths in Los Angeles, Danish movie actors, Danish television actors, Danish stage actors, Danish movie directors, Naturalized citizens of the United States, American movie actors, American television actors, American stage actors, American radio actors, American movie directors, People from Copenhagen
Chronicle of the Years of Fire	1975 drama movies, Algerian movies, Movies directed by Mohammed Lakhdar-Hamina
Rosemary DeCamp	1910 births, 2001 deaths, Deaths from pneumonia, Disease-related deaths in California, American movie actors, American television actors, American stage actors, American radio actors, Actors from Arizona, People from Prescott, Arizona
The Prisoner of Second Avenue	1975 comedy movies, American black comedy movies, Movies based on plays, Movies directed by Melvin Frank
Dorothy Fay	1915 births, 2003 deaths, American movie actors, American television actors, American silent movie actors, Actors from Arizona, People from Prescott, Arizona
Tex Ritter	1905 births, 1974 deaths, Deaths from aortic dissection, American country singers, American silent movie actors, American movie actors, American television actors, American stage actors, Actors from Texas, Singers from Texas
Liu Shaoqi	Presidents of the People's Republic of China, 1898 births, 1969 deaths, Unexplained deaths
The Sunshine Boys	1975 comedy movies, American comedy movies, Movies based on plays, MGM movies, Movies directed by Herbert Ross
Rosalind Chao	1967 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Actors from California, People from Anaheim, California
Taija Thomas	1996 births, Living people, Trinidad and Tobago volleyball players
Sofia Carson	1993 births, Living people, American movie actors, American television actors, American voice actors, American pop singers, American dancers, Singers from Florida, Actors from Florida, People from Fort Lauderdale, Florida
Darlene Ramdin	1989 births, Living people, Trinidad and Tobago volleyball players
Anand Mohan Zutshi Gulzar Dehlvi	1926 births, 2020 deaths, Deaths from the COVID-19 pandemic in India, Indian journalists, Indian poets, Indian educators, People from New Delhi
Kiune Fletcher	2002 births, Living people, Trinidad and Tobago volleyball players
David Owen Brooks	1955 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, American serial killers, American rapists, American people convicted of assault, American people convicted of manslaughter, People from Houston, Texas, Criminals from Texas
Delicia Pierre	1991 births, Living people, Trinidad and Tobago volleyball players
Ninth Fort	Lithuania, Forts
Frank Bolle	1924 births, 2020 deaths, American comics artists, American illustrators
Markus Klaer	1968 births, 2020 deaths, German engineers, Politicians from Berlin
Józef Grzesiak (boxer)	1941 births, 2020 deaths, Polish sportspeople, Olympic bronze medalists, Boxers
Claude Heater	1927 births, 2020 deaths, Cardiovascular disease deaths in California, American opera singers, American movie actors, Actors from Oakland, California, Singers from Oakland, California
Laiana Rodrigues	1982 births, Living people, Brazilian sitting volleyball players
Simone Turck	1924 births, 2020 deaths, French stage actors, French theatre directors, People from Toulouse
Johann Weber (bishop)	1927 births, 2020 deaths, Austrian Roman Catholics, Bishops
Kitbull	2019 movies, Pixar short movies, Disney+ movies
Lava (2014 movie)	2014 animated movies, 2010s musical movies, 2014 romance movies, Pixar short movies, American musical movies, American romance movies
Piper (movie)	Academy Award winning movies, 2016 animated movies, Pixar short movies
Bao (movie)	2018 animated movies, Pixar short movies
The Blue Umbrella	2013 movies, Pixar short movies
Eppie Wietzes	1938 births, 2020 deaths, Canadian sportspeople, Racecar drivers, Sportspeople from Drenthe
François Cevert	1944 births, 1973 deaths, Formula One drivers, Sportspeople from Paris
Horst's tree frog	Frogs, Animals of Oceania
Capitol Hill Autonomous Zone	Seattle, Washington, June 2020 events
Cape Melville tree frog	Animals of Australia, Frogs
Yucca moth	Butterflies
Pâmela Pereira	1988 births, Living people, Brazilian sitting volleyball players, Brazilian Paralympic bronze medalists
Afe­sha Olton-Humphreys	1992 births, Living people, Trinidad and Tobago volleyball players
Nurya de Almeida Silva	1991 births, Living people, Brazilian sitting volleyball players, Brazilian Paralympic bronze medalists
Janaína Petit Cunha	1977 births, Living people, Brazilian sitting volleyball players
Camila Maria Leiria de Castro	1982 births, Living people, Brazilian sitting volleyball players, Brazilian Paralympic bronze medalists
Gizele Maria Dias da Costa	1977 births, Living people, Brazilian sitting volleyball players, Brazilian Paralympic bronze medalists
Edwarda de Oliveira Dias	1999 births, Living people, Brazilian sitting volleyball players, Brazilian Paralympic bronze medalists
Terrorizers	1986 drama movies, Taiwanese movies, Movies directed by Edward Yang
Let's Play in the World	1971 comedy movies, 1970s musical movies, Argentine movies
Shampoo (movie)	1975 comedy movies, American comedy movies, Movies directed by Hal Ashby
Li Ting	1989 births, Living people, Chinese sitting volleyball players, Chinese Paralympic silver medalists
Christina Schwenkel	American anthropologists, Editors, Living people, Year of birth missing (living people)
Alison Sherwood	American journalists, Pulitzer Prize winners, Living people, Year of birth missing (living people)
Rebecca Kimitch	Living people, Year of birth missing (living people), American journalists, Pulitzer Prize winners
Nancy Cleeland	Living people, Year of birth missing (living people), American journalists, Pulitzer Prize winners
Abigail Goldman	American journalists, Pulitzer Prize winners, George Polk Award winners, Living people, Year of birth missing (living people)
Maggie Michael	Living people, Year of birth missing (living people), Egyptian journalists, Pulitzer Prize winners
Lisa Pollak	Living people, Year of birth missing (living people), American journalists, Pulitzer Prize winners
Moscow on the Hudson	1984 comedy movies, 1984 drama movies, 1984 romance movies, 1980s romantic comedy movies, 1980s romantic drama movies, American romantic comedy movies, American romantic drama movies, Movies directed by Paul Mazursky
Rapture (BioShock)	Video games
Colleen McCain Nelson	Living people, Year of birth missing (living people), American journalists, Pulitzer Prize winners
Angiana tree frog	Animals of Asia, Frogs
Diana Dadabaeva	1991 births, Living people, Uzbekistani water polo players
Viktoriya Gorodchanina	1987 births, Living people, Uzbekistani water polo players
Daniela Lavorini	1976 births, Living people, Italian water polo players
Bicycle-sharing system	Cycling, Transport infrastructure
Mary Overlie	American dancers, American educators, American choreographers, Writers from Montana, 1946 births, 2020 deaths, People from Havre, Montana
Basen Murmu	Indian singers, 1987 births, 2020 deaths
Talat Özkarslı	1938 births, 2020 deaths, Turkish footballers, Turkish football managers
Marcel Maréchal	1937 births, 2020 deaths, French movie actors, French television actors, French stage actors, French screenwriters, French movie directors, People from Lyon, French theatre directors
Dennis O'Neil	1939 births, 2020 deaths, Deaths from cardiopulmonary arrest, American comics writers, American editors, Writers from St. Louis, Missouri
Matt Poore	1930 births, 2020 deaths, New Zealand cricketers
Alan Burgess (cricketer)	1920 births, 2021 deaths, New Zealand cricketers, People from Christchurch
Carl Brewer (politician)	1957 births, 2020 deaths, American mayors, Politicians from Wichita, Kansas, US Democratic Party politicians
Brandon Whipple	1982 births, Living people, American mayors, American educators, State legislators of the United States, Politicians from New Hampshire, Politicians from Wichita, Kansas, US Democratic Party politicians
Waka Waka (This Time for Africa)	2010 songs, Shakira songs
Arthur Donald Spatt	1925 births, 2020 deaths, Deaths from blood cancer, Cancer deaths in New York, American judges, Politicians from New York City
Commack, New York	Census-designated places in New York (state)
Ricky Valance	1936 births, 2020 deaths, Deaths from dementia, Welsh singers
Sprague Grayden	1980 births, Actors from Massachusetts, American movie actors, American stage actors, American television actors, American voice actors, Living people
Manchester-by-the-Sea, Massachusetts	Towns in Massachusetts
Essex, Massachusetts	Towns in Massachusetts
Cape Ann	Geography of Massachusetts
Kazimierz Wielki	1975 drama movies, Polish movies
The Cowboys (1972 movie)	1972 movies, 1970s western movies, American western movies, Movies directed by Mark Rydell
The Last Polka	1985 comedy movies, 1980s musical movies, Canadian comedy movies, Mockumentaries
Brahmanda Purana	Hinduism
The Van (1977 movie)	1977 comedy movies, 1970s teen movies, American comedy movies, American independent movies
Decakismyriagon	Polygons
Sandra Schilling	1989 births, Living people, German water polo players
Mariam Salloum	1989 births, Living people, German water polo players
Elena Dukhanova	1994 births, Living people, Uzbekistani water polo players
Phil Lester	1987 births, Living people, BBC radio presenters, Gay men, LGBT entertainers, Internet celebrities, Writers from Lancashire
Lyudmila Chegodayeva	1992 births, Living people, Kazakhstani water polo players
Kamila Marina	1992 births, Living people, Kazakhstani water polo players
Natalya Alexandrova	1987 births, Living people, Kazakhstani water polo players
B. Kannan	1951 births, 2020 deaths, Cardiovascular disease deaths in India, Indian cinematographers
S. Robson Walton	1944 births, Living people, American billionaires, American lawyers, Businesspeople from Arkansas, Businesspeople from Tulsa, Oklahoma
Jim Walton	1948 births, Living people, American billionaires, Businesspeople from Arkansas
Darya Vassilyeva	1988 births, Living people, Kazakhstani water polo players
Alice Walton	1949 births, Living people, American philanthropists, American billionaires, Businesspeople from Arkansas
Yelena Chebotova	1988 births, Living people, Kazakhstani water polo players
Dietrich Mateschitz	1944 births, Living people, Austrian businesspeople, Billionaires
Alisher Usmanov	1953 births, Living people, Russian businesspeople, Billionaires, Uzbekistani people
Azim Premji	1945 births, Living people, Indian businesspeople, Indian scientists, Indian engineers, Indian philanthropists, Business people
Charoen Sirivadhanabhakdi	1944 births, Living people, Thai businesspeople, Billionaires, People from Bangkok
Dieter Schwarz	1939 births, Living people, German businesspeople, German billionaires
Donald Bren	1932 births, Living people, Real estate developers, Businesspeople from Los Angeles, California
François Pinault	1936 births, Living people, French businesspeople
Gennady Timchenko	1952 births, Living people, Russian businesspeople
Germán Larrea Mota-Velasco	1941 births, Living people, Mexican businesspeople, People from Mexico City
Esther Dang	1945 births, Cameroonian people, Economists
Harold Hamm	1945 births, Living people, American billionaires, Republicans (United States), Businesspeople from Oklahoma
S. P. Hinduja	1935 births, Living people, Indian businesspeople, British businesspeople
Gopichand Hinduja	1940 births, Living people, Indian businesspeople, British businesspeople
Jacqueline Mars	1939 births, Living people, American billionaires, Businesspeople from Massachusetts, Businesspeople from Virginia
Fauquier County, Virginia	18th-century establishments in Virginia, 1750s establishments in the Thirteen Colonies, 1759 establishments, Virginia counties
John Franklyn Mars	1935 births, Living people, American billionaires, Businesspeople from Virginia, People from Arlington, Virginia
Christopher Kloeble	1982 births, German writers
Jorge Paulo Lemann	1939 births, Living people, Brazilian businesspeople
Joseph Safra	1938 births, 2020 deaths, Brazilian businesspeople, Syrian people, Lebanese people
Kjeld Kirk Kristiansen	1947 births, Living people, Danish businesspeople, Lego
Lakshmi Mittal	1950 births, Living people, Indian businesspeople
Arfakiana tree frog	Animals of Oceania, Frogs
Lee Kun-hee	1942 births, 2020 deaths, Deaths from myocardial infarction, South Korean businesspeople
Leonardo Del Vecchio	1935 births, Living people, Italian businesspeople, People from Milan
Ma Huateng	1971 births, Living people, Chinese businesspeople, Chinese politicians
Masayoshi Son	1957 births, Living people, South Korean businesspeople, Businesspeople from Tokyo
Mukesh Ambani	1957 births, Living people, Indian businesspeople
Aru tree frog	Animals of Asia, Frogs
Pallonji Mistry	1929 births, Living people, Irish businesspeople, Irish philanthropists, Indian philanthropists, Indian businesspeople
Player versus environment	Video game gameplay
Ranoidea auae	Frogs, Animals of Oceania
Philip Anschutz	1939 births, Living people, American Christians, American billionaires, American political activists, Businesspeople from Kansas, Businesspeople from Wyoming
Stefan Persson	1947 births, Living people, Swedish businesspeople, People from Stockholm
Stefano Pessina	1941 births, Living people, Italian businesspeople, Italian philanthropists, Monegasque people
Susanne Klatten	1962 births, Living people, German businesspeople
Herbert Quandt	1910 births, 1982 deaths, German businesspeople
Kwok Tak-seng	1911 births, 1990 deaths, Chinese businesspeople
Kwong Siu-hing	1929 births, Living people, Chinese businesspeople
Vagit Alekperov	1950 births, Living people, Azerbaijani people, Russian businesspeople
Vladimir Lisin	1956 births, Living people, Russian businesspeople
Summit, Illinois	Villages in Illinois, Settlements in Cook County, Illinois, Suburbs of Chicago, Illinois
Cyril Nauth	1981 births, Living people, French politicians, People from Dijon
Money, Mississippi	Unincorporated communities in Mississippi
Le Parisien	Newspapers in Europe, France
Jean Raspail	1925 births, 2020 deaths, French novelists
Edward C. Meyer	1928 births, 2020 deaths, Deaths from pneumonia, Disease-related deaths in Virginia, American generals, American military personnel of the Vietnam War, American military personnel of the Korean War, People from Pennsylvania
John A. Wickham Jr.	1928 births, Living people, American generals, American military personnel of the Vietnam War, People from New York
Robert W. Sennewald	1929 births, Living people, American generals, People from St. Louis, Missouri
William R. Richardson	1929 births, Living people, American generals, American military personnel of the Vietnam War
Paul F. Gorman	1927 births, American military personnel of the Vietnam War, Living people, People from Syracuse, New York
Wallace H. Nutting	1928 births, Living people, American generals, American military personnel of the Vietnam War, American military personnel of the Korean War, American mayors, Politicians from Massachusetts, Politicians from Maine, People from Newton, Massachusetts
Robert W. RisCassi	1936 births, Living people, American generals, American military personnel of the Vietnam War, People from Hartford, Connecticut
Edwin H. Burba Jr.	1936 births, Living people, American generals, American military personnel of the Vietnam War, People from Oklahoma
Leon E. Salomon	1936 births, Living people, American military personnel of the Vietnam War, American generals, Military people from Chicago, Businesspeople from Chicago
Lauren Sánchez	Emmy Award winners, 1969 births, Living people, American television news anchors, American television personalities, American television producers, American television actors, Writers from Albuquerque, New Mexico, Actors from Albuquerque, New Mexico, Businesspeople from New Mexico
MacKenzie Scott	1970 births, Living people, American philanthropists, American activists, American novelists, American billionaires, Writers from San Francisco, Businesspeople from San Francisco
Blue Origin	2000s establishments in Washington (state), 2000 establishments in the United States, Companies of the United States, Washington (U.S. state), Private spaceflight
Araceli Herrero Figueroa	1948 births, 2020 deaths, Deaths from the COVID-19 pandemic in Spain, Spanish writers
Vera Gancheva	1943 births, 2020 deaths, Bulgarian writers, Translators, Educators, Publishers, Essayists, People from Sofia
COVID-19 pandemic in Bhutan	Bhutan, COVID-19 pandemic by country
COVID-19 pandemic in Taiwan	21st century in Taiwan, COVID-19 pandemic by country
Kartvelian languages	Languages of Asia
Ariana Governorate	1980s establishments in Tunisia, 1983 establishments in Africa, Governorates of Tunisia
Aslan Bzhania	Living people, 1963 births, Presidents of Abkhazia, Current national leaders
Karto-Zan languages	Languages of Asia
COVID-19 pandemic in Abkhazia	COVID-19 pandemic by country, Abkhazia
COVID-19 pandemic in Sierra Leone	Sierra Leone, COVID-19 pandemic by country
Ernest Bai Koroma	1953 births, Living people, Presidents of Sierra Leone
Béja Governorate	Governorates of Tunisia, 1956 establishments in Tunisia
Carmen Machi	1963 births, Living people, Spanish movie actors, Spanish television actors, Spanish stage actors, Spanish voice actors, Actors from Madrid
Juliana Awada	1974 births, Living people, First Ladies and Gentlemen of Argentina, Socialites
Ben Arous Governorate	1980s establishments in Tunisia, 1983 establishments in Africa, Governorates of Tunisia
90s	Decades, 90s
