Recycling symbol	Recycling, Symbols, Waste
Tarragona	Capital cities in Spain, Cities in Catalonia, Municipalities in Catalonia
Tarragonès	Geography of Spain
Teruel	Capital cities in Spain, Cities in Aragon, Municipalities in Aragon
Zamora, Spain	Capital cities in Spain, Cities in Castile and León, Municipalities in Castile and León
Bierné-les-Villages	2019 establishments in France, Communes in Mayenne
Château-Gontier-sur-Mayenne	2019 establishments in France, Communes in Mayenne, Subprefectures in France
Pré-en-Pail-Saint-Samson	2016 establishments in France, Communes in Mayenne
Gennes-Longuefuye	2019 establishments in France, Communes in Mayenne
Montsûrs-Saint-Céneré	2017 establishments in France, 21st century disestablishments in France, 2010s disestablishments in Europe, 2019 disestablishments, Former communes in Mayenne
Bibb County, Georgia	1820s establishments in Georgia (U.S. state), 1822 establishments in the United States, Georgia (U.S. state) counties
Sainte-Suzanne-et-Chammes	2016 establishments in France, Communes in Mayenne
Aleksandra Kornhauser Frazer	Slovenian people, Chemists, Environmentalists, 1926 births, 2020 deaths
Bleckley County, Georgia	1910s establishments in Georgia (U.S. state), 1912 establishments in the United States, Georgia (U.S. state) counties
Brantley County, Georgia	1920 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Brooks County, Georgia	1858 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Cochran, Georgia	County seats in Georgia
Nahunta, Georgia	County seats in Georgia
Bryan County, Georgia	1793 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Quitman, Georgia	County seats in Georgia
Pembroke, Georgia	County seats in Georgia
Bulloch County, Georgia	1796 establishments in Georgia (U.S. state)
The Man Who Laughs (1928 movie)	1928 movies, 1920s romance movies, 1920s horror movies, 1920s drama movies, American romantic drama movies, American horror movies, Movies based on books
Butts County, Georgia	1825 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Mary Philbin	1902 births, 1993 deaths, American silent movie actors, American stage actors, Deaths from pneumonia, Actors from Chicago
Lucille Roybal-Allard	1941 births, Living people, United States representatives from California, Politicians from Los Angeles, California, US Democratic Party politicians
Larry Csonka	1946 births, Living people, American football running backs, Miami Dolphins players, New York Giants players, Writers from Akron, Ohio, Sportspeople from Akron, Ohio
Stow, Ohio	Cities in Ohio
Munroe Falls, Ohio	Cities in Ohio
Silver Lake, Ohio	Villages in Ohio
Alex Winter	1965 births, American movie actors, American television actors, American voice actors, American television directors, American television writers, Movie directors from New Jersey, Screenwriters from New Jersey, Movie producers from New Jersey, Actors from New Jersey, Actors from Missouri, Writers from Missouri, People from Montclair, New Jersey, Naturalized citizens of the United States, English movie actors, English television actors, English voice actors, Living people, Actors from London, Screenwriters from London, Movie directors from London, Movie producers from London
Bill & Ted's Excellent Adventure	1989 movies, American comedy movies, American science fiction movies, American independent movies
Bill & Ted's Bogus Journey	1991 movies, American science fiction movies, American comedy movies, American independent movies
St. Thomas’ Hospital	Hospitals in the United Kingdom
Bill & Ted Face the Music	2020 comedy movies, 2020s science fiction movies, American science fiction movies, American comedy movies, Canadian comedy movies, Italian science fiction movies, Italian comedy movies, Movies directed by Dean Parisot
Godzilla vs. Kong	2021 movies, 2020s science fiction movies, Godzilla, Warner Bros. movies, American monster movies, King Kong, Giant gorilla movies, Movies about dinosaurs, American action movies, MonsterVerse, American science fiction movies, Robot movies, American sequel movies, Movies set in Florida, Movies set in South Korea, Movies set in Asia, Movies set in Hawaii, Movies set in Paris, Movies set in Japan, Movies set in Rome
Jessica Henwick	Living people, Actors from Surrey, English movie actors, English television actors, English voice actors, English child actors, 1992 births
Alexander D. Henderson III	1924 births, 2020 deaths, American military personnel of World War II, Businesspeople from New York City
Patricia Ford Crass	1923 births, Living people, American painters, American illustrators, American fashion designers, Businesspeople from San Francisco
Coming 2 America	2020 comedy movies, Sequel movies, American comedy movies, Movies set in Africa
Denis Pronovost	1953 births, Living people, Sex offenders, Members of the House of Commons of Canada from Quebec
COVID-19 pandemic in Slovenia	COVID-19 pandemic by country, History of Slovenia
COVID-19 pandemic in Tanzania	COVID-19 pandemic by country, Tanzania
Lantana, Florida	Towns in Florida, Palm Beach County, Florida
Loiron-Ruillé	2016 establishments in France, Communes in Mayenne
