Silhouette	Art
Ben Miller	1966 births, Living people, English movie actors, English television actors, English stage actors, English voice actors, English television personalities, English television directors, Comedians from London, Actors from London
Noah Taylor	1969 births, Living people, English movie actors, English television actors, English stage actors, English voice actors, Australian movie actors, Australian television actors, Australian stage actors, Australian voice actors, Actors from London
Freddie Highmore	Saturn Award winners, 1992 births, Living people, English movie actors, English television actors, English stage actors, English voice actors, English child actors, English television directors, English television producers, Screenwriters from London, Actors from London
William Gillock	1917 births, 1993 deaths, American composers
Naser Cheshm Azar	1950 births, 2018 deaths, Deaths from myocardial infarction, Iranian musicians, Asian pianists, Composers
Renate Dorrestein	1954 births, 2018 deaths, Deaths from esophageal cancer, Dutch journalists, Dutch novelists, Feminist writers, Writers from Amsterdam
Paolo Ferrari	1929 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in Italy, Italian movie actors, Italian television actors, Radio actors, Actors from Brussels
Tarcisio Gitti	1936 births, 2018 deaths, Deaths from Parkinson's disease, Disease-related deaths in Italy, Italian lawyers, Italian politicians
Khaled Mohieddin	1922 births, 2018 deaths, Deaths from congestive heart failure, Egyptian politicians, Generals, Communists
Flula Borg	1982 births, Living people, German comedians, German musicians, Actors from Bavaria, DJs
2019 Monster Energy NASCAR Cup Series	Monster Energy NASCAR Cup Series races
Natalia Cordova-Buckley	1982 births, Living people, Mexican movie actors, Mexican television actors, Mexican voice actors, Actors from Mexico City
Nabih Berri	1938 births, Living people, Lebanese politicians
Saad Hariri	1970 births, Living people, Prime Ministers of Lebanon
Émile Lahoud	1936 births, Living people, Presidents of Lebanon, Military people
Paul Goma	1935 births, 2020 deaths, Deaths from the COVID-19 pandemic in France, Political activists, Political writers, Critics, Moldovan people, Romanian writers, Novelists, Essayists, Anti-Communists
Simon MacCorkindale	1952 births, 2010 deaths, Deaths from colorectal cancer, Cancer deaths in London, British movie actors, British television actors, British stage actors, British movie directors, British movie producers, British television producers, British screenwriters, British composers, Actors from Cambridgeshire
George Raft	1901 births, 1980 deaths, Deaths from leukemia, Cancer deaths in Los Angeles, American movie actors, American television actors, American stage actors, American radio actors, American dancers, Comedians from New York City, Actors from New York City
Buona Vista MRT station	Mass Rapid Transit (Singapore) stations
Wilson Frost	1925 births, 2018 deaths, American lawyers, Chicago City Council members, US Democratic Party politicians
Ray Szmanda	1926 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in Wisconsin, Accidental deaths from falls in the United States, American radio personalities, American television personalities, American television presenters, American movie actors, Actors from Milwaukee, Wisconsin
Chase Bank	Banks of the United States, 2000 establishments in the United States
JPMorgan Chase	Companies based in New York City, Slavers
Timeline of prehistoric Britain	Great Britain
Swanscombe Heritage Park	Archaeological sites in England, Hominins, Tools
Happisburgh	Villages in Norfolk, Archaeological sites in England, Civil parishes in England
Firuz Shah Tughluq	Tughlaq dynasty, 1300s births, 1380s deaths, Muslims, Indian people
Alpine orogeny	Geography of Europe, Orogenies
Rockstar North	Video game companies, Edinburgh, 1984 establishments in the United Kingdom, 20th century establishments in Scotland
Charles W. Steger	1947 births, 2018 deaths, American architects, Engineers from Virginia, American educators, People from Richmond, Virginia
Ermanno Olmi	1931 births, 2018 deaths, Disease-related deaths in Italy, Italian movie directors, Italian screenwriters
Jesús Kumate Rodríguez	1924 births, 2018 deaths, Deaths from respiratory failure, Disease-related deaths in Mexico, Mexican politicians, Mexican physicians
Won't You Be My Neighbor? (movie)	2018 movies, English-language movies, American documentary movies, Fred Rogers
Joe Negri	1926 births, Living people, American educators, American jazz musicians, American guitarists, Musicians from Pittsburgh, Pennsylvania
François Clemmons	1945 births, Living people, African-American singers, LGBT actors, LGBT singers, LGBT writers, Gay men, American playwrights, American television actors, American educators, LGBT people from Alabama, Actors from Birmingham, Alabama, Writers from Alabama, Singers from Alabama
Middlebury, Vermont	Towns in Vermont, County seats in Vermont
Antigo, Wisconsin	Cities in Wisconsin, County seats in Wisconsin, Langlade County, Wisconsin
2018 lower Puna eruption	2018 disasters, Disasters in the United States, 2018 in Hawaii, May 2018 events, June 2018 events, July 2018 events, August 2018 events
2018 Hawaii earthquake	2018 in Hawaii, Earthquakes in the United States, May 2018 events, 2018 earthquakes, 2018 in the United States
Stickler syndrome	Genetic disorders, Ophthalmology, Rheumatology, Syndromes
Peter Temple-Morris	1938 births, 2018 deaths, People from Cardiff, UK MPs 1974, UK MPs 1997–2001
Maurane	1960 births, 2018 deaths, Deaths from cardiac arrest, Belgian movie actors, Belgian singers
Eric Schneiderman	1954 births, Living people, American lawyers, Politicians from New York City, US Democratic Party politicians
Sanjeev Bhaskar	1963 births, Living people, Actors from London, British educators, British movie actors, British stage actors, British television actors, British television presenters, British television writers, British voice actors, Comedians from London, Writers from London
Damietta Governorate	Governorates of Egypt
Alexandria Governorate	Governorates of Egypt
ISG Luxury Management	Education, Schools in Switzerland, Schools in France
Solnhofen	Towns in Bavaria, Weißenburg-Gunzenhausen
PBS Kids Go!	PBS Kids shows
Möttingen	Donau-Ries
Tagmersheim	Donau-Ries
Jack Evans (ice hockey)	1928 births, 1996 deaths, American Hockey League players, Canadian ice hockey defencemen, Chicago Blackhawks players, Deaths from prostate cancer, Ice hockey people from Alberta, Naturalized citizens of Canada, New York Rangers players, Stanley Cup champions, Welsh ice hockey players
Saturnalia	Holidays, Ancient Rome
Long Valley Caldera	Calderas, Geography of California
Panphagia	Sauropodomorphs
Temptation of Christ	Gospels, Jesus Christ
Eric Geboers	1962 births, 2018 deaths, Belgian sportspeople, People from Limburg (Belgium)
Atlanta Motor Speedway	Auto racing, Sports in Atlanta, Georgia, 1960 establishments in the United States, 1960s establishments in Georgia (U.S. state)
Juan Morano	1941 births, 2018 deaths, Spanish politicians, Mayors, People from Madrid
Lara Saint Paul	1946 births, 2018 deaths, Italian singers, Deaths from cancer, Italian television presenters, Record producers
Lionel Hampton	1908 births, 2002 deaths, Deaths from heart failure, Cardiovascular disease deaths in New York City, American pianists, American composers, American philanthropists, American bandleaders, American jazz musicians, American movie actors, Actors from Louisville, Kentucky
Teddy Wilson	1912 births, 1986 deaths, Deaths from stomach cancer, Cancer deaths in Connecticut, American jazz musicians, American pianists, Musicians from New Jersey, Musicians from Austin, Texas
Randy Meisner	1946 births, Living people, American musicians, American singers, American songwriters, Entertainers from Nebraska
Arc welding	Electricity, Metals
Rösti	Root vegetables, Swiss food
Edeka	1890s establishments in Germany, 1898 establishments in Europe, Supermarkets of Germany, Hamburg
Osijek	Cities in Croatia
Maribor	Cities in Slovenia
Krasnoyarsk	Capital cities in Russia, Siberia
Klaus Dede	1935 births, 2018 deaths, German journalists, German writers, People from Lower Saxony
Hildisvíni	Norse mythology, Pigs
Hnöss	Norse gods and goddesses
Love & Basketball	2000 romance movies, 2000 drama movies, 2000s romantic drama movies, 2000s sports drama movies, American romantic drama movies, American sports drama movies, American independent movies, Basketball movies
Aracely Arámbula	Mexican actors, 1975 births, Living people, Mexican television actors
Bonds Cay, The Bahamas	Caribbean islands, Islands of the Bahamas
Nikol Pashinyan	1975 births, Living people, Prime Ministers of Armenia, Current national leaders
Anwar Ibrahim	1947 births, Living people, Deputy Prime Ministers of Malaysia, Criminals
János Juszkó	1939 births, 2018 deaths, Cyclists, Olympians, Hungarian sportspeople
Miki Muster	1925 births, 2018 deaths, Deaths from Alzheimer's disease, Slovenian people, Educators, Illustrators, Cartoonists, Animators
Gözleme	Savoury pies, Turkish food
Colour theory	Color
Hurricane Nate	Hurricanes in the United States, 2017 in the United States
Cindy Ashton	Musicians from Toronto, Living people, Year of birth missing (living people)
Kim Heechul	1983 births, Living people
Kevin Systrom	1983 births, American billionaires, American computer scientists, Engineers from Massachusetts, Living people, Stanford University alumni, American chief executives, Businesspeople from California, Google
Jerry Doyle	1956 births, 2016 deaths, Deaths from cirrhosis, American political commentators, American radio personalities, American television actors, American voice actors, Libertarians, Actors from New Jersey
Forrest Mars Jr.	1931 births, 2016 deaths, American billionaires, Businesspeople from Illinois, Businesspeople from Virginia, People from Oak Park, Illinois, Republicans (United States), Deaths from myocardial infarction
Pierre Fauchon	1929 births, 2016 deaths, French politicians
Robert Fano	1917 births, 2016 deaths, American computer scientists, American engineers, Italian Jews, Jewish American academics, Jewish American scientists, Massachusetts Institute of Technology alumni, Massachusetts Institute of Technology faculty, Naturalized citizens of the United States, People from Turin, Refugees
Jerzy Bahr	1944 births, 2016 deaths, Ambassadors of Poland, Cancer deaths in Poland, People from Kraków
Carmen Hernández	1930 births, 2016 deaths, Spanish Roman Catholics, Activists, Feminists
Mu Zi	Female athletes, 1989 births, Living people, Chinese table tennis players
Victor P. Whittaker	1919 births, 2016 deaths, British biochemists
David Huddleston	1930 births, 2016 deaths, American movie actors, American television actors, American military people, Actors from Virginia, Disease-related deaths in the United States
Ivo Pitanguy	1926 births, 2016 deaths, Surgeons, Deaths from myocardial infarction, People from Belo Horizonte
Vander Lee	1966 births, 2016 deaths, Singer-songwriters, People from Belo Horizonte, Deaths from myocardial infarction
Diamond Skulls	1980s thriller movies, 1989 drama movies, British thriller movies, British drama movies
Note-taking	Writing
Jamal Naji	1954 births, 2018 deaths, Deaths from stroke, Novelists, Palestinian people, Jordanian people
Crosbie E. Saint	1936 births, 2018 deaths, Deaths from stroke, American military personnel of the Vietnam War, People from New York
Mustafa Nur-Ul Islam	1927 births, 2018 deaths, Deaths from multiple organ failure, Bangladeshi people, Bangladeshi educators
David Goodall (botanist)	1914 births, 2018 deaths, Australian activists, British activists, British botanists, Deaths by euthanasia, Drug-related suicides, Ecologists, English centenarians, Scientists from London, Writers from London
Don Blankenship	1950 births, Living people, 2020 United States presidential candidates, Businesspeople from Kentucky, Businesspeople from West Virginia, American criminals, Politicians from Kentucky, Politicians from West Virginia, US Republican Party politicians
Evgeni Vasiukov	1933 births, 2018 deaths, Deaths from myocardial infarction, Chess grandmasters, Sportspeople from Moscow
Big Bully Busick	1954 births, 2018 deaths, Deaths from spinal cancer, American professional wrestlers, Sportspeople from Ohio, People from Steubenville, Ohio
Weirton, West Virginia	Cities in West Virginia
Lorraine Hansberry	1930 births, 1965 deaths, Deaths from pancreatic cancer, Cancer deaths in New York City, American essayists, Democrats (United States), American atheists, LGBT writers, LGBT people from Chicago, Lesbian feminists, American feminist writers, American playwrights, American civil rights activists, American LGBT rights activists, African American writers, Journalists from Chicago
Stacy Martin	1991 births, Living people, French movie actors, English movie actors, Actors from Paris, Actors from London
2018 North Korea–United States summit	2018 in Asia, Donald Trump, Events in Singapore, Kim Jong-un
Stopover, Kentucky	Unincorporated communities in Kentucky
Vocabulario de la Lengua Bicol	Vocabulary
Shark finning	Fishing
Siti Hasmah Mohamad Ali	1926 births, Living people, First Ladies, Malaysian people
Sirikit	1932 births, Living people, Kings and queens, Thai people
Vello Asi	1927 births, 2016 deaths, Estonian people
Egyptian Army	Armies, Egypt
Mohamed Aboutrika	1978 births, Egyptian Muslims, Egyptian footballers, Living people, Egypt international footballers
Caelus	Greek gods and goddesses
List of members of the European Parliament for the United Kingdom, 2014–19	MEPs for the United Kingdom
List of twin towns and sister cities in Switzerland	Cities in Switzerland
Clash Royale	Card games, IOS games, Android (operating system) games, 2016 video games, Real-time strategy video games
Camaloon	2011 establishments in Europe, Stationery, 21st century establishments in Spain
Gilles Deleuze	1925 births, 1995 deaths, French philosophers, French people
Destin Onka Malonga	1988 births, 2016 deaths, African footballers, Republic of the Congo, Accidental deaths in France
Jean-Claude Wicky	1946 births, 2016 deaths, Swiss people, Photographers
Little Shop of Horrors	1986 comedy movies, 1986 horror movies, 1980s musical movies, English-language movies, American musical comedy movies
James Alan McPherson	1943 births, 2016 deaths, African American writers, Short story writers, Pulitzer Prize winners, Harvard University alumni, People from Savannah, Georgia, Writers from Georgia (U.S. state), Writers from Iowa, People from Iowa City, Iowa, Deaths from pneumonia
Mahasweta Devi	1926 births, 2016 deaths, Indian educators, Indian novelists, Human rights activists, Short story writers, Biographers, Deaths from multiple organ failure, West Bengal
Ed Ross	1965 births, 2016 deaths, American photographers, Road accident deaths, People from California, Mendocino County, California
Scott Hutchison	1981 births, 2018 deaths, Scottish singer-songwriters, Guitarists, Artists
Adam Parfrey	1957 births, 2018 deaths, American journalists, American novelists, American editors, Writers from New York City
Mikhail Alperin	1956 births, 2018 deaths, Deaths from aortic dissection, Soviet musicians, Educators, Jazz musicians, Pianists, Musicians from Oslo
Bobby Cannavale	Emmy Award winning actors, 1970 births, Drama Desk Award winners, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from New Jersey, People from Union City, New Jersey
La Venganza de Cucamonga	Mexican music, Hard rock albums
Ulla Sallert	1923 births, 2018 deaths, Swedish movie actors, Swedish stage actors, Singers from Stockholm, Actors from Stockholm
Captain (United States O-3)	United States Army, Military ranks
First Motion Picture Unit	World War II, United States Army
Lake Maracaibo	Lagoons, Venezuela, Lakes of South America
Marina del Rey, California	Unincorporated communities in California, Census-designated places in California, Settlements in Los Angeles County, California
George Pell	1941 births, Living people, Australian criminals, Australian Roman Catholics, Cardinals of the Roman Catholic Church, Child sexual abusers, People from Ballarat
Roger Mahony	1936 births, Living people, Cardinals of the Roman Catholic Church, Bishops, American Roman Catholics, People from Los Angeles, California
Francis Arinze	1932 births, Living people, Cardinals of the Roman Catholic Church, Nigerian people
Newton, Kansas	County seats in Kansas
Bad Blood (2003)	World Wrestling Entertainment pay-per-view events, 2003 in professional wrestling, 2003 in Texas
Roadblock (March 2016)	World Wrestling Entertainment pay-per-view events, 2016 in sports, 2010s in Canada, 2016
Arthur Levitt	1931 births, Living people, People from Brooklyn, Jewish American politicians, Members of the U.S. Securities and Exchange Commission, American journalists, US Democratic Party politicians, Businesspeople from New York City, Politicians from New York City, Writers from New York City
William H. Donaldson	1931 births, Living people, Members of the U.S. Securities and Exchange Commission, Yale University alumni, Politicians from Buffalo, New York, Businesspeople from New York, US Republican Party politicians
David Sturtevant Ruder	Members of the U.S. Securities and Exchange Commission, 1929 births, 2020 deaths, American lawyers, American educators, Politicians from Wisconsin, US Republican Party politicians
Gérard Genette	1930 births, 2018 deaths, French educators, French socialists, French literary critics, Writers from Paris
Manchalloor	Villages in Kollam district
Yeroor	Villages in Kollam district
Manappally	Villages in Kollam district
Kundayam	Villages in Kollam district
Panampatta	Villages in Kollam district
National Association of Broadcasters	Television, Radio, 1923 establishments in the United States, 1920s establishments in Illinois, History of Chicago
University of Sarajevo	1949 establishments in Europe, Colleges and universities in Europe, Sarajevo, 1940s establishments in Bosnia and Herzegovina
Rasmussen Reports	2003 establishments in the United States, New Jersey
California Highway Patrol	California
People's Park (Berkeley)	Parks in the United States, Geography of California, Berkeley, California, 1960s establishments in California
Stanley Falkow	1934 births, 2018 deaths, Deaths from myelodysplastic syndrome, Disease-related deaths in California, American biologists, Scientists from New York, American educators, People from Albany, New York
Collared dove	Doves, National symbols of Pakistan, Pakistani culture
Antonio Mercero	Goya Award winners, Emmy Award winning directors, 1936 births, 2018 deaths, Deaths from Alzheimer's disease, Spanish screenwriters, Spanish movie directors, Television directors
Hossam Hassan	1966 births, 1990 FIFA World Cup players, Egyptian footballers, Living people, People from Cairo, Egypt international footballers
Nikah	Islamic law, Marriage
Reykjavík University	1998 establishments in Europe, Colleges and universities in Europe, Reykjavík
Richard Fagan	1947 births, 2016 deaths, American songwriters, Singers from Nashville, Tennessee, American country guitarists, American pianists, American country singers, American singer-songwriters, Deaths from liver cancer, Cancer deaths in Tennessee, Musicians from Philadelphia, Pennsylvania, Musicians from Nashville, Tennessee, Writers from Nashville, Tennessee
Artur Correia	1950 births, 2016 deaths, Portuguese footballers, People from Lisbon, Deaths from stroke
Domiati	Cheeses
Mate Rimac	Living people, Croatian people, Business people, Inventors
Pennzoil 400 (Las Vegas)	NASCAR tracks, 1998 establishments in the United States, 20th-century establishments in Nevada, Monster Energy NASCAR Cup Series races
Dennis Nilsen	1945 births, 2018 deaths, British people convicted of murder, British serial killers, Gay men, LGBT criminals, People convicted of attempted murder, People who died in prison custody, Scottish LGBT people
Kevin Tierney	1950 births, 2018 deaths, Cancer deaths in Quebec, Canadian movie producers, Canadian screenwriters, Canadian television producers, Irish writers, Writers from Montreal
Maria Lourdes Sereno	1960 births, Living people, Chief Justices of the Supreme Court of the Philippines, Filipino lawyers, People from Manila, Women lawyers, Women judges
Bluefield, West Virginia	Cities in West Virginia
Come Home to Mama	2012 albums
I Know You're Married But I've Got Feelings Too	2008 albums
We Are Born	2010 albums
Some People Have Real Problems	2008 albums
Slender Man stabbing	2014 crimes, 2014 in the United States, 2010s crimes in the United States, 21st century in Wisconsin, May 2014 events
Kasamh Se	Indian television series
Randalummoodu	Villages in Kollam district
Panaveli	Villages in Kollam district
Vilakkuvettom	Villages in Kollam district
Kandachira	Villages in Kollam district
Kannanalloor	Villages in Kollam district
Neduvannoor	Villages in Kollam district
Pathanapuram Block Panchayat	Kerala
Umayanalloor	Villages in Kollam district
Alappad	Villages in Kollam district
Ochira	Towns in India, Settlements in Kerala
THKO	Politics of Turkey, Communist parties, 1970 establishments, 20th century establishments in Turkey, 1972 disestablishments
Damietta	Cities in Egypt
Jim Ratcliffe	1952 births, Living people, British businesspeople
Sooranad	Villages in Kollam district
Mynagappally	Villages in Kollam district
Kafr Saad	Cities in Egypt
Sasthamkotta	Villages in Kollam district
Poruvazhy	Villages in Kollam district
Kunnathur, Kerala	Villages in Kollam district
West Kallada	Villages in Kollam district
Bruno Tomberg	Living people, 1926 births
Egyptian Navy	Navies
Andrew Upton	1966 births, Australian screenwriters, Australian movie directors, Australian playwrights, Living people, Writers from New South Wales
Netta Barzilai	1993 births, Living people, Eurovision Song Contest winners, Israeli singers, People from Tel Aviv
Donald Gary Young	1949 births, 2018 deaths, Businesspeople from Salt Lake City, Utah, Deaths from stroke
Edgardo Angara	1934 births, 2018 deaths, Deaths from myocardial infarction, Filipino lawyers, Presidents of the Senate of the Philippines, Minority leaders of the Senate of the Philippines, Recipients of the Order of the Rising Sun
Baadur Tsuladze	1935 births, 2018 deaths, Actors from Georgia (country), Movie producers from Georgia (country), Movie directors from Georgia (country), Screenwriters from Georgia (country)
Pattazhy	Villages in Kollam district
Pattazhy Vadakkekkara	Villages in Kollam district
Cuckoo bee	Bees, Parasitism
Lubec	Towns in Maine
Canaan (Maine)	Towns in Maine
Eurovision Song Contest 2019	2010s in Israel, 2019 in Europe, 2019 in entertainment, Eurovision Song Contest, Tel Aviv
Ria Vedder-Wubben	1951 births, 2016 deaths, Christian Democratic Appeal politicians, Dutch Roman Catholics, Dutch women politicians, Members of the Senate of the Netherlands, Politicians from The Hague
Millennium Island	Islands of Oceania
Winglet	Aircraft
Inigo Jones	English architects, People from London, 1573 births, 1652 deaths
Catatumbo River	Rivers of Venezuela, Rivers of Colombia
Vilakkudy	Villages in Kollam district
Pidavoor	Villages in Kollam district
Piravanthur	Villages in Kollam district
Punnala	Villages in Kollam district
Gennadi Gusarov	1937 births, 2014 deaths, Soviet sportspeople, Sportspeople from Moscow, Russian footballers, 1958 FIFA World Cup players, 1962 FIFA World Cup players
Thalavoor	Villages in Kollam district
Pathanapuram	Towns in India, Settlements in Kerala
Wow... The Story	2000 albums
Ghetto Story	2006 albums
Duckweed	Araceae, Aquatic plants
Henry Lee III	1756 births, 1818 deaths, American Revolutionary War, American generals, Congressional Gold Medal recipients, Freemasons, Governors of Virginia, People from Alexandria, Virginia, Princeton University alumni, United States representatives from Virginia
Omar Gaber	1992 births, Egyptian footballers, Living people, Egypt international footballers
Trnovac (Vrbanja)	Rivers of Bosnia and Herzegovina
Hossam Ashour	1986 births, Egyptian footballers, Living people, Egypt international footballers
Lopača (Vrbanja)	Rivers of Bosnia and Herzegovina
Aplastic anemia	Blood disorders
Hezbe Wahdat	Politics of Afghanistan
Hana to Yume	Manga
Overboard (2018 movie)	2018 comedy movies, 2010s romantic comedy movies, American romantic comedy movies, Lionsgate movies
How to Be a Latin Lover	2017 comedy movies, Lionsgate movies
False color	Color, Photography
Arthur Barnard	1929 births, 2018 deaths, American Olympic bronze medalists, Sportspeople from Seattle, Washington
Will Alsop	1947 births, 2018 deaths, English architects, People from Northampton
Richard Lester	1932 births, Living people, American movie directors, People from Philadelphia, Pennsylvania
Glenn Branca	1948 births, 2018 deaths, Deaths from throat cancer, American composers, American guitarists, Musicians from Pennsylvania
Lay ministry	Church organization, Christian terminology
Epitácio Cafeteira	1924 births, 2018 deaths, Deaths from pneumonia, Brazilian politicians
Steve Hogan	1948 births, 2018 deaths, American mayors, Deaths from cancer, Politicians from Colorado, Politicians from Nebraska, People from Lincoln, Nebraska, US Republican Party politicians
Franz Marc	1880 births, 1916 deaths, German painters, People from Munich
Margot Kidder	Emmy Award winning actors, Saturn Award winners, 1948 births, 2018 deaths, Drug-related suicides in the United States, Naturalized citizens of the United States, People with bipolar disorder, American movie actors, American television actors, American voice actors, American stage actors, American environmentalists, American autobiographers, American LGBT rights activists, American atheists, Canadian movie actors, Canadian television actors, Canadian voice actors, Canadian stage actors, Canadian activists, Writers from Montana, Democrats (United States), Actors from Montana
María Elena Meneses Rocha	1961 births, 2018 deaths, Deaths from surgical complications, Mexican journalists, Mexican educators, People from Monterrey, Writers from Mexico City
E. C. George Sudarshan	1931 births, 2018 deaths, Indian scientists, Indian academics, Physicists, People from Kerala
Roy J. Glauber	1925 births, 2018 deaths, American physicists, American educators, Scientists from New York City, Harvard University faculty
Abdallah Said	1985 births, Egyptian footballers, Living people, Egypt international footballers
Quim Torra	1962 births, Living people, Spanish lawyers, Presidents of the Government of Catalonia
Waleed Al-Husseini	1989 births, Living people, Activists, Atheists, Bloggers, Essayists, Former Muslims, Palestinian Muslims, Writers
Amelita Ramos	1926 births, Living people, First Ladies and First Gentlemen of the Philippines
Jose Miguel Arroyo	1945 births, Living people, Filipino lawyers, First Ladies and First Gentlemen of the Philippines
Loi Ejercito	1931 births, Living people, First Ladies and First Gentlemen of the Philippines
President of the Philippines	Presidents of the Philippines
Vice President of the Philippines	Vice Presidents of the Philippines
Teofisto Guingona Jr.	1928 births, Living people, Vice Presidents of the Philippines, Presidents pro tempore of the Senate of the Philippines, Minority leaders of the Senate of the Philippines, Majority leaders of the Senate of the Philippines
Neri Oxman	1976 births, Living people, Naturalized citizens of the United States, Israeli Jews, American Jews, American architects, American educators, People from Haifa, Scientists from Massachusetts, Businesspeople from Massachusetts
Cecilia Suárez	Emmy Award winning actors, 1971 births, Living people, Mexican movie actors, Mexican television actors, Mexican voice actors
Elsa Raven	1929 births, 2020 deaths, American movie actors, American television actors, Actors from South Carolina, People from Charleston, South Carolina
Isidor Straus	1845 births, 1912 deaths, Victims of the RMS Titanic, German businesspeople, German politicians, Naturalized citizens of the United States, United States representatives from New York, US Democratic Party politicians, Businesspeople from New York City, Politicians from New York City
Clint Capela	1994 births, Living people, Basketball players, Swiss sportspeople, People from Geneva, Houston Rockets players
Benjamin Guggenheim	1865 births, 1912 deaths, Victims of the RMS Titanic, Businesspeople from Philadelphia, Pennsylvania
Ida Straus	1849 births, 1912 deaths, Victims of the RMS Titanic, German Jews, American Jews, People from Worms, Germany
Luigi Gatti	1875 births, 1912 deaths, Victims of the RMS Titanic, Italian businesspeople
Edward Austin Kent	1854 births, 1912 deaths, Victims of the RMS Titanic, American architects, Businesspeople from Maine, Businesspeople from Buffalo, New York, People from Bangor, Maine
Sidney Leslie Goodwin	1910 births, 1912 deaths, Victims of the RMS Titanic
Frank M. Warren Sr.	1848 births, 1912 deaths, Victims of the RMS Titanic, Businesspeople from Portland, Oregon, Businesspeople from Maine
Thomas Byles	1870 births, 1912 deaths, Victims of the RMS Titanic, English Roman Catholics, Roman Catholic priests, People from Leeds
Cyst	Tissues
Walter Reed National Military Medical Center	Buildings and structures in Maryland, Hospitals in the United States
President of Israel	Presidents of Israel
Prokopis Pavlopoulos	1950 births, Living people, Presidents of Greece, Greek lawyers, Greek educators
President of Greece	Presidents of Greece
B Flow	Living people, Musicians, 1986 births, Singers, Zambian people
2017–18 UEFA Champions League	UEFA Champions League seasons, 2017 in association football, 2018 in association football
Essam El-Hadary	1973 births, Egyptian footballers, Living people, Egypt international footballers
Shukhov Lab	Colleges and universities in Russia, Buildings and structures in Moscow, 2010s establishments in Europe, 21st century establishments in Russia
Patrick Morrisey	1967 births, Living people, Attorneys general, Politicians from West Virginia, US Republican Party politicians
Adinad	Villages in Kollam district
Karunagappally	Settlements in Kerala, Municipalities
Thazhava	Villages in Kollam district
Pavumba	Villages in Kollam district
Thodiyoor	Villages in Kollam district
Kallelibhagom	Villages in Kollam district
Saint Petersburg Central Bus Terminal	Buildings and structures in Saint Petersburg, Bus transport
Koronadal	Cities in the Philippines, Establishments in the Philippines
Kahoot!	Learning
List of British pornographic actors	British actors, Pornographic actors, Lists of entertainers, United Kingdom-related lists
Open Shortest Path First	Computer networking
Serekunda	Cities in the Gambia
Ayman Hefny	1985 births, Egyptian footballers, Living people
An-Nasai	Muslims, History of Islam, Hadith scholars
Labor Management Relations Act of 1947	1947 in the United States, United States federal legislation
House Un-American Activities Committee	1938 establishments in the United States, 1975 disestablishments, Cold War, United States House of Representatives, 1970s disestablishments in the United States
Ahmed Salah Hosny	1979 births, Egyptian footballers, Living people
American Conservative Union	20th-century establishments in Virginia, 1964 establishments in the United States, Political organizations based in the United States, Conservatism
Frank Quilici	1939 births, 2018 deaths, Minnesota Twins players, Sportspeople from Chicago
Jlloyd Samuel	1981 births, 2018 deaths, Road accident deaths in the United Kingdom, Trinidad and Tobago footballers
Chuck Knox	1932 births, 2018 deaths, Deaths from dementia, American football coaches, Sportspeople from Pittsburgh, Pennsylvania
UNB (group)	K-pop music groups, South Korean boy bands, 2018 establishments in Asia, 2010s establishments in South Korea
And TV	Indian television, Television channels, 2015 establishments in India
List Of Programs Broadcast By &TV	Indian television
Waaris	2010s television series, 2016 Indian television series debuts, Hindi-language television series, Drama television series
Boyhood (EP)	2018 albums
Thevalakkara	Villages in Kollam district
Chavara	Villages in India
Neendakara	Villages in Kollam district
Clappana	Villages in Kollam district
Kulasekharapuram	Villages in Kollam district
Ayanivelikulangara	Villages in Kollam district
Panmana	Villages in Kollam district
Vadakkumthala	Villages in Kollam district
Tri-State Tornado	Tornadoes in the United States, 1920s in the United States, 1925, 20th century in Kentucky, 20th century in Kansas, 20th century in Alabama, 20th century in Tennessee
Kevin Kamenetz	1957 births, 2018 deaths, Deaths from cardiopulmonary arrest, American lawyers, Politicians from Maryland, US Democratic Party politicians
Peter Mayer	1936 births, 2018 deaths, Deaths from amyloidosis, Disease-related deaths in New York City, Naturalized citizens of the United States, Businesspeople from London, Businesspeople from New York City
Ken Hodgkisson	1933 births, 2018 deaths, English footballers, English football managers
Graham Lovett	1947 births, 2018 deaths, English footballers, Sportspeople from Birmingham
William Vance	1935 births, 2018 deaths, Deaths from Parkinson's disease, Disease-related deaths in Spain, Belgian artists, Comics artists
Roberto Farias	1932 births, 2018 deaths, Deaths from stomach cancer, Cancer deaths in Brazil, Brazilian movie directors, Brazilian movie producers, Brazilian screenwriters, People from Rio de Janeiro
Lochearn, Maryland	Census-designated places in Maryland, Unincorporated communities in Maryland
Towson, Maryland	Census-designated places in Maryland, County seats in Maryland, Unincorporated communities in Maryland
Caribou, Maine	Cities in Maine
Hilario Davide Jr.	1935 births, Living people, Filipino lawyers, Chief Justices of the Supreme Court of the Philippines, Minority leaders of the House of Representatives of the Philippines
Chief Justice of the Supreme Court of the Philippines	Chief Justices of the Supreme Court of the Philippines
Antonio Carpio	1949 births, Living people, Filipino lawyers, Chief Justices of the Supreme Court of the Philippines
President of the Senate of the Philippines	Presidents of the Senate of the Philippines
Koko Pimentel	1964 births, Living people, Filipino lawyers, Presidents of the Senate of the Philippines
House of Representatives of the Philippines	Politics of the Philippines
Speaker of the House of Representatives of the Philippines	Speakers of the House of Representatives of the Philippines
