Oil tanker	Ship types
Parfondru	Communes in Aisne
Pargnan	Communes in Aisne
Pargny-Filain	Communes in Aisne
Pargny-la-Dhuys	Communes in Aisne
Pargny-les-Bois	Communes in Aisne
Parpeville	Communes in Aisne
Pasly	Communes in Aisne
Passy-en-Valois	Communes in Aisne
Passy-sur-Marne	Communes in Aisne
Pavant	Communes in Aisne
Perles, Aisne	Former communes in Aisne
Pernant	Communes in Aisne
Petit-Verly	Communes in Aisne
Pierremande	Communes in Aisne
Pierrepont, Aisne	Communes in Aisne
Pignicourt	Communes in Aisne
Pinon, Aisne	Communes in Aisne
Pithon	Communes in Aisne
Pleine-Selve, Aisne	Communes in Aisne
Ploisy	Communes in Aisne
Plomion	Communes in Aisne
Ployart-et-Vaurseine	Communes in Aisne
Pommiers, Aisne	Communes in Aisne
Pont-Arcy	Communes in Aisne
Pont-Saint-Mard	Communes in Aisne
Pontavert	Communes in Aisne
Phantasmal poison frog	Poison dart frogs
Pontru	Communes in Aisne
Pontruet	Communes in Aisne
Pouilly-sur-Serre	Communes in Aisne
Presles-et-Boves	Communes in Aisne
Presles-et-Thierny	Communes in Aisne
Priez	Communes in Aisne
Prisces	Communes in Aisne
Proisy	Communes in Aisne
Proix	Communes in Aisne
Prouvais	Communes in Aisne
Proviseux-et-Plesnoy	Communes in Aisne
Prémont	Communes in Aisne
Prémontré	Communes in Aisne
Puiseux-en-Retz	Communes in Aisne
Puisieux-et-Clanlieu	Communes in Aisne
Quierzy	Communes in Aisne
Quincy-Basse	Communes in Aisne
Quincy-sous-le-Mont	Communes in Aisne
Raillimont	Communes in Aisne
Ramicourt	Communes in Aisne
Regny	Communes in Aisne
Remaucourt, Aisne	Communes in Aisne
Remies	Communes in Aisne
Remigny, Aisne	Communes in Aisne
Renansart	Communes in Aisne
Renneval	Communes in Aisne
Ressons-le-Long	Communes in Aisne
Retheuil	Communes in Aisne
Reuilly-Sauvigny	Communes in Aisne
Ribeauville	Communes in Aisne
Ribemont	Communes in Aisne
Rocourt-Saint-Martin	Communes in Aisne
Rocquigny, Aisne	Communes in Aisne
Rogny	Communes in Aisne
Rogécourt	Communes in Aisne
Romeny-sur-Marne	Communes in Aisne
Romery, Aisne	Communes in Aisne
Ronchères, Aisne	Communes in Aisne
Roucy	Communes in Aisne
Rougeries	Communes in Aisne
Roupy	Communes in Aisne
Rouvroy, Aisne	Communes in Aisne
Rouvroy-sur-Serre	Communes in Aisne
Royaucourt-et-Chailvet	Communes in Aisne
Rozet-Saint-Albin	Communes in Aisne
Rozières-sur-Crise	Communes in Aisne
Rozoy-Bellevalle	Communes in Aisne
Rozoy-sur-Serre	Communes in Aisne
Résigny	Communes in Aisne
Révillon	Former communes in Aisne
Saconin-et-Breuil	Communes in Aisne
Sains-Richaumont	Communes in Aisne
Saint-Agnan, Aisne	Former communes in Aisne
Saint-Algis	Communes in Aisne
Saint-Aubin, Aisne	Communes in Aisne
Saint-Bandry	Communes in Aisne
Saint-Christophe-à-Berry	Communes in Aisne
Saint-Clément, Aisne	Communes in Aisne
Saint-Erme-Outre-et-Ramecourt	Communes in Aisne
Saint-Eugène, Aisne	Communes in Aisne
Saint-Gengoulph	Communes in Aisne
Saint-Gobain, Aisne	Communes in Aisne
Saint-Gobert	Communes in Aisne
Saint-Mard, Aisne	Communes in Aisne
Saint-Martin-Rivière	Communes in Aisne
Saint-Michel, Aisne	Communes in Aisne
Saint-Nicolas-aux-Bois	Communes in Aisne
Saint-Paul-aux-Bois	Communes in Aisne
Saint-Pierre-Aigle	Communes in Aisne
Saint-Pierre-lès-Franqueville	Communes in Aisne
Saint-Pierremont, Aisne	Communes in Aisne
Saint-Quentin, Aisne	Communes in Aisne, Subprefectures in France
Saint-Rémy-Blanzy	Communes in Aisne
Saint-Simon, Aisne	Communes in Aisne
Saint-Thibaut	Communes in Aisne
Saint-Thomas, Aisne	Communes in Aisne
Sainte-Croix, Aisne	Communes in Aisne
Sainte-Geneviève, Aisne	Communes in Aisne
Sainte-Preuve	Communes in Aisne
Samoussy	Communes in Aisne
Sancy-les-Cheminots	Communes in Aisne
Saponay	Communes in Aisne
Saulchery	Communes in Aisne
Savy	Communes in Aisne
Seboncourt	Communes in Aisne
Selens	Communes in Aisne
Septmonts	Communes in Aisne
Septvaux	Communes in Aisne
Sequehart	Communes in Aisne
Serain	Communes in Aisne
Seraucourt-le-Grand	Communes in Aisne
Serches	Communes in Aisne
Sergy, Aisne	Communes in Aisne
Seringes-et-Nesles	Communes in Aisne
Sermoise	Communes in Aisne
Servais	Communes in Aisne
Serval, Aisne	Communes in Aisne
Silly-la-Poterie	Communes in Aisne
Sinceny	Communes in Aisne
Sissonne	Communes in Aisne
Sissy, Aisne	Communes in Aisne
Soissons	Communes in Aisne, Subprefectures in France
Soize	Communes in Aisne
Sommelans	Communes in Aisne
Sommeron	Communes in Aisne
Sommette-Eaucourt	Communes in Aisne
Sons-et-Ronchères	Communes in Aisne
Sorbais	Communes in Aisne
Soucy, Aisne	Communes in Aisne
Soupir	Communes in Aisne
Surfontaine	Communes in Aisne
Suzy, Aisne	Former communes in Aisne
Séry-lès-Mézières	Communes in Aisne
Taillefontaine	Communes in Aisne
Tannières	Communes in Aisne
Tartiers	Communes in Aisne
Tavaux-et-Pontséricourt	Communes in Aisne
Tergnier	Communes in Aisne
Terny-Sorny	Communes in Aisne
Thenailles	Communes in Aisne
Thenelles	Communes in Aisne
Thiernu	Communes in Aisne
Torcy-en-Valois	Communes in Aisne
Toulis-et-Attencourt	Communes in Aisne
Travecy	Communes in Aisne
Trefcon	Communes in Aisne
Trosly-Loire	Communes in Aisne
Troësnes	Communes in Aisne
Trucy	Communes in Aisne
Trélou-sur-Marne	Communes in Aisne
Tugny-et-Pont	Communes in Aisne
Tupigny	Communes in Aisne
Ugny-le-Gay	Communes in Aisne
Urcel	Communes in Aisne
Urvillers	Communes in Aisne
Vadencourt, Aisne	Communes in Aisne
Vailly-sur-Aisne	Communes in Aisne
Variscourt	Communes in Aisne
Vassens	Communes in Aisne
Vasseny	Communes in Aisne
Vassogne	Communes in Aisne
Vaucelles-et-Beffecourt	Communes in Aisne
Vaudesson	Communes in Aisne
Vaux-Andigny	Communes in Aisne
Vaux-en-Vermandois	Communes in Aisne
Vauxaillon	Communes in Aisne
Vauxbuin	Communes in Aisne
Vauxcéré	Former communes in Aisne
Vauxrezis	Communes in Aisne
Vauxtin	Communes in Aisne
Vendelles	Communes in Aisne
Vendeuil	Communes in Aisne
Vendhuile	Communes in Aisne
Vendières	Communes in Aisne
Vendresse-Beaulne	Communes in Aisne
Venizel	Communes in Aisne
Verdilly	Communes in Aisne
Vermand	Communes in Aisne
Verneuil-sous-Coucy	Communes in Aisne
Verneuil-sur-Serre	Communes in Aisne
Versigny, Aisne	Communes in Aisne
Vervins	Communes in Aisne, Subprefectures in France
Vesles-et-Caumont	Communes in Aisne
Veslud	Communes in Aisne
Veuilly-la-Poterie	Communes in Aisne
Vic-sur-Aisne	Communes in Aisne
Vichel-Nanteuil	Communes in Aisne
Viel-Arcy	Communes in Aisne
Viels-Maisons	Communes in Aisne
Vierzy	Communes in Aisne
Viffort	Communes in Aisne
Vigneux-Hocquet	Communes in Aisne
Ville-Savoye	Communes in Aisne
Villemontoire	Communes in Aisne
Villeneuve-Saint-Germain	Communes in Aisne
Villeneuve-sur-Fère	Communes in Aisne
Villequier-Aumont	Communes in Aisne
Villeret, Aisne	Communes in Aisne
Villers-Agron-Aiguizy	Communes in Aisne
Villers-Cotterêts	Communes in Aisne
Villers-Hélon	Communes in Aisne
Villers-Saint-Christophe	Communes in Aisne
Villers-en-Prayères	Former communes in Aisne
Villers-le-Sec, Aisne	Communes in Aisne
Villers-lès-Guise	Communes in Aisne
Villers-sur-Fère	Communes in Aisne
Villiers-Saint-Denis	Communes in Aisne
Vincy-Reuil-et-Magny	Communes in Aisne
Viry-Noureuil	Communes in Aisne
Vivaise	Communes in Aisne
Vivières	Communes in Aisne
Voharies	Communes in Aisne
Vorges	Communes in Aisne
Voulpaix	Communes in Aisne
Voyenne	Communes in Aisne
Vregny	Communes in Aisne
Vuillery	Communes in Aisne
Vénérolles	Communes in Aisne
Vézaponin	Communes in Aisne
Vézilly	Communes in Aisne
Wassigny	Communes in Aisne
Watigny	Communes in Aisne
Wimy	Communes in Aisne
Wissignicourt	Communes in Aisne
Wiège-Faty	Communes in Aisne
Ébouleau	Communes in Aisne
Épagny, Aisne	Communes in Aisne
Éparcy	Communes in Aisne
Épaux-Bézu	Communes in Aisne
Épieds, Aisne	Communes in Aisne
Étampes-sur-Marne	Communes in Aisne
Étaves-et-Bocquiaux	Communes in Aisne
Étouvelles	Communes in Aisne
Étreillers	Communes in Aisne
Étreux	Communes in Aisne
Étréaupont	Communes in Aisne
Étrépilly, Aisne	Communes in Aisne
Évergnicourt	Communes in Aisne
Œuilly, Aisne	Communes in Aisne
Leeds railway station	Railway stations in England, Leeds
Communes of the Pas-de-Calais department	Communes in Pas-de-Calais, Lists of communes of France
Huetter, Idaho	Cities in Idaho
Idaho City, Idaho	Cities in Idaho, County seats in Idaho
Idaho Falls	Cities in Idaho, County seats in Idaho, 1864 establishments in Idaho Territory
Inkom, Idaho	Cities in Idaho
Iona, Idaho	Cities in Idaho
Irwin, Idaho	Cities in Idaho
Island Park, Idaho	Cities in Idaho
Jerome, Idaho	Cities in Idaho, County seats in Idaho, Jerome County, Idaho
Juliaetta, Idaho	Cities in Idaho
Kamiah, Idaho	Cities in Idaho
Kellogg, Idaho	Cities in Idaho
Kendrick, Idaho	Cities in Idaho
Ketchum, Idaho	Cities in Idaho
Kimberly, Idaho	Cities in Idaho, Twin Falls County, Idaho, 1905 establishments in the United States, 1900s establishments in Idaho
Kooskia, Idaho	Cities in Idaho
Kootenai, Idaho	Cities in Idaho
Kuna, Idaho	Cities in Idaho, Ada County, Idaho
Lapwai, Idaho	Cities in Idaho
Lava Hot Springs, Idaho	Cities in Idaho
Leadore, Idaho	Cities in Idaho
Lewiston, Idaho	Cities in Idaho, County seats in Idaho
Lewisville, Idaho	Cities in Idaho
Mackay, Idaho	Cities in Idaho, Custer County, Idaho
Malad City, Idaho	Cities in Idaho, County seats in Idaho
Malta, Idaho	Cities in Idaho
Marsing, Idaho	Cities in Idaho, Owyhee County, Idaho
McCall, Idaho	Cities in Idaho
McCammon, Idaho	Cities in Idaho
Melba, Idaho	Cities in Idaho
Menan, Idaho	Cities in Idaho
Meridian, Idaho	Cities in Idaho, Ada County, Idaho
Middleton, Idaho	Cities in Idaho
Midvale, Idaho	Cities in Idaho
Minidoka, Idaho	Cities in Idaho
Montpelier, Idaho	Cities in Idaho
Moore, Idaho	Cities in Idaho
Moscow, Idaho	Cities in Idaho, County seats in Idaho
Mountain Home, Idaho	Cities in Idaho, County seats in Idaho
Moyie Springs, Idaho	Cities in Idaho
Mud Lake, Idaho	Cities in Idaho
Ablain-Saint-Nazaire	Communes in Pas-de-Calais
Mullan, Idaho	Cities in Idaho
Murtaugh, Idaho	Cities in Idaho, Twin Falls County, Idaho
Nampa, Idaho	Cities in Idaho, 1886 establishments in the United States, 1880s establishments in Idaho Territory
New Meadows, Idaho	Cities in Idaho
New Plymouth, Idaho	Cities in Idaho
Newdale, Idaho	Cities in Idaho
Nezperce, Idaho	Cities in Idaho, County seats in Idaho
Notus, Idaho	Cities in Idaho
Oakley, Idaho	Cities in Idaho
Oldtown, Idaho	Cities in Idaho
Ablainzevelle	Communes in Pas-de-Calais
Acheville	Communes in Pas-de-Calais
Achicourt	Communes in Pas-de-Calais
Onaway, Idaho	Cities in Idaho
Achiet-le-Grand	Communes in Pas-de-Calais
Orofino, Idaho	Cities in Idaho, County seats in Idaho
Achiet-le-Petit	Communes in Pas-de-Calais
Acq	Communes in Pas-de-Calais
Osburn, Idaho	Cities in Idaho
Acquin-Westbécourt	Communes in Pas-de-Calais
Oxford, Idaho	Cities in Idaho
Adinfer	Communes in Pas-de-Calais
Affringues	Communes in Pas-de-Calais
Agnez-lès-Duisans	Communes in Pas-de-Calais
Agnières	Communes in Pas-de-Calais
Agny	Communes in Pas-de-Calais
Aire-sur-la-Lys	Communes in Pas-de-Calais
Airon-Notre-Dame	Communes in Pas-de-Calais
Paris, Idaho	Cities in Idaho, County seats in Idaho
Airon-Saint-Vaast	Communes in Pas-de-Calais
Aix-Noulette	Communes in Pas-de-Calais
Parker, Idaho	Cities in Idaho
Seacroft	Leeds, 1950s establishments in England
Aix-en-Ergny	Communes in Pas-de-Calais
Aix-en-Issart	Communes in Pas-de-Calais
Alembon	Communes in Pas-de-Calais
Alette	Communes in Pas-de-Calais
Alincthun	Communes in Pas-de-Calais
Allouagne	Communes in Pas-de-Calais
Alquines	Communes in Pas-de-Calais
Ambleteuse	Communes in Pas-de-Calais
Ambricourt	Communes in Pas-de-Calais
Ambrines	Communes in Pas-de-Calais
Ames, Pas-de-Calais	Communes in Pas-de-Calais
Amettes	Communes in Pas-de-Calais
Amplier	Communes in Pas-de-Calais
Andres, Pas-de-Calais	Communes in Pas-de-Calais
Angres	Communes in Pas-de-Calais
Annay, Pas-de-Calais	Communes in Pas-de-Calais
Annequin	Communes in Pas-de-Calais
Annezin	Communes in Pas-de-Calais
Anvin	Communes in Pas-de-Calais
Anzin-Saint-Aubin	Communes in Pas-de-Calais
Ardres	Communes in Pas-de-Calais
Arleux-en-Gohelle	Communes in Pas-de-Calais
Arques, Pas-de-Calais	Communes in Pas-de-Calais
Arras	Communes in Pas-de-Calais, Departmental capitals in France
Athies, Pas-de-Calais	Communes in Pas-de-Calais
Attin	Communes in Pas-de-Calais
Lemming	Rodents
Aubigny-en-Artois	Communes in Pas-de-Calais
Aubin-Saint-Vaast	Communes in Pas-de-Calais
Aubrometz	Communes in Pas-de-Calais
Auchel	Communes in Pas-de-Calais
Auchy-au-Bois	Communes in Pas-de-Calais
Auchy-les-Mines	Communes in Pas-de-Calais
Auchy-lès-Hesdin	Communes in Pas-de-Calais
Audembert	Communes in Pas-de-Calais
Parma, Idaho	Cities in Idaho
Audincthun	Communes in Pas-de-Calais
Audinghen	Communes in Pas-de-Calais
Paul, Idaho	Cities in Idaho
Audrehem	Communes in Pas-de-Calais
Payette, Idaho	Cities in Idaho, County seats in Idaho
Audresselles	Communes in Pas-de-Calais
Peck, Idaho	Cities in Idaho
Audruicq	Communes in Pas-de-Calais
Aumerval	Communes in Pas-de-Calais
Pierce, Idaho	Cities in Idaho
Autingues	Communes in Pas-de-Calais
Pinehurst, Idaho	Cities in Idaho
Auxi-le-Château	Communes in Pas-de-Calais
Averdoingt	Communes in Pas-de-Calais
Placerville, Idaho	Cities in Idaho
Avesnes	Communes in Pas-de-Calais
Plummer, Idaho	Cities in Idaho
Avesnes-le-Comte	Communes in Pas-de-Calais
Pocatello, Idaho	Cities in Idaho, County seats in Idaho, Oregon Trail
Avesnes-lès-Bapaume	Communes in Pas-de-Calais
Avion, Pas-de-Calais	Communes in Pas-de-Calais
Avondance	Communes in Pas-de-Calais
Avroult	Communes in Pas-de-Calais
Ayette	Communes in Pas-de-Calais
Azincourt	Communes in Pas-de-Calais
Bailleul-Sir-Berthoult	Communes in Pas-de-Calais
Bailleul-aux-Cornailles	Communes in Pas-de-Calais
Ponderay, Idaho	Cities in Idaho, 1947 establishments in the United States, 20th-century establishments in Idaho
Bailleul-lès-Pernes	Communes in Pas-de-Calais
Bailleulmont	Communes in Pas-de-Calais
Bailleulval	Communes in Pas-de-Calais
Baincthun	Communes in Pas-de-Calais
Bainghen	Communes in Pas-de-Calais
Bajus, Pas-de-Calais	Communes in Pas-de-Calais
Post Falls, Idaho	Cities in Idaho
Balinghem	Communes in Pas-de-Calais
Potlatch, Idaho	Cities in Idaho
Bancourt	Communes in Pas-de-Calais
Preston, Idaho	Cities in Idaho, County seats in Idaho
Bapaume	Communes in Pas-de-Calais
Priest River, Idaho	Cities in Idaho
Baralle	Communes in Pas-de-Calais
Rathdrum, Idaho	Cities in Idaho
Barastre	Communes in Pas-de-Calais
Barlin	Communes in Pas-de-Calais
Reubens, Idaho	Cities in Idaho
Barly, Pas-de-Calais	Communes in Pas-de-Calais
Rexburg, Idaho	Cities in Idaho, County seats in Idaho, 1883 establishments in the United States, 1880s establishments in Idaho Territory
Basseux	Communes in Pas-de-Calais
Bavincourt	Communes in Pas-de-Calais
Richfield, Idaho	Cities in Idaho
Bayenghem-lès-Seninghem	Communes in Pas-de-Calais
Bayenghem-lès-Éperlecques	Communes in Pas-de-Calais
Bazinghen	Communes in Pas-de-Calais
Beaudricourt	Communes in Pas-de-Calais
Beaufort-Blavincourt	Communes in Pas-de-Calais
Beaulencourt	Communes in Pas-de-Calais
Beaumerie-Saint-Martin	Communes in Pas-de-Calais
Rigby, Idaho	Cities in Idaho, County seats in Idaho
Beaumetz-lès-Aire	Communes in Pas-de-Calais
Riggins, Idaho	Cities in Idaho
Beaumetz-lès-Cambrai	Communes in Pas-de-Calais
Ririe, Idaho	Cities in Idaho
Beaumetz-lès-Loges	Communes in Pas-de-Calais
Roberts, Idaho	Cities in Idaho
Beaurains	Communes in Pas-de-Calais
Rockland, Idaho	Cities in Idaho
Beaurainville	Communes in Pas-de-Calais
Rupert, Idaho	Cities in Idaho, County seats in Idaho
Beauvoir-Wavans	Communes in Pas-de-Calais
Beauvois, Pas-de-Calais	Communes in Pas-de-Calais
Salmon, Idaho	Cities in Idaho, County seats in Idaho
Belle-et-Houllefort	Communes in Pas-de-Calais
Sandpoint, Idaho	Cities in Idaho, County seats in Idaho
Shelley, Idaho	Cities in Idaho
Bellebrune	Communes in Pas-de-Calais
Shoshone, Idaho	Cities in Idaho, County seats in Idaho
Bellonne	Communes in Pas-de-Calais
Smelterville, Idaho	Cities in Idaho
Berck	Communes in Pas-de-Calais
Bergueneuse	Communes in Pas-de-Calais
Berlencourt-le-Cauroy	Communes in Pas-de-Calais
Soda Springs, Idaho	Cities in Idaho, County seats in Idaho, Oregon Trail
Berles-Monchel	Communes in Pas-de-Calais
Berles-au-Bois	Communes in Pas-de-Calais
Spencer, Idaho	Cities in Idaho
Bermicourt	Communes in Pas-de-Calais
Berneville	Communes in Pas-de-Calais
Spirit Lake, Idaho	Cities in Idaho
Bernieulles	Communes in Pas-de-Calais
Bertincourt	Communes in Pas-de-Calais
St. Anthony, Idaho	Cities in Idaho, County seats in Idaho
Beugin	Communes in Pas-de-Calais
Beugny	Communes in Pas-de-Calais
St. Charles, Idaho	Cities in Idaho
Beugnâtre	Communes in Pas-de-Calais
St. Maries, Idaho	Cities in Idaho, County seats in Idaho
Beussent	Communes in Pas-de-Calais
Stanley, Idaho	Cities in Idaho, Custer County, Idaho
Beutin	Communes in Pas-de-Calais
Star, Idaho	Cities in Idaho, Ada County, Idaho
Beuvrequen	Communes in Pas-de-Calais
Beuvry	Communes in Pas-de-Calais
Bezinghem	Communes in Pas-de-Calais
Biache-Saint-Vaast	Communes in Pas-de-Calais
State Line, Idaho	Cities in Idaho
Biefvillers-lès-Bapaume	Communes in Pas-de-Calais
Stites, Idaho	Cities in Idaho
Bienvillers-au-Bois	Communes in Pas-de-Calais
Bihucourt	Communes in Pas-de-Calais
Sugar City, Idaho	Cities in Idaho
Billy-Berclau	Communes in Pas-de-Calais
Sun Valley, Idaho	Cities in Idaho
Billy-Montigny	Communes in Pas-de-Calais
Bimont	Communes in Pas-de-Calais
Blairville	Communes in Pas-de-Calais
Swan Valley, Idaho	Cities in Idaho
Blangerval-Blangermont	Communes in Pas-de-Calais
Tensed, Idaho	Cities in Idaho
Blangy-sur-Ternoise	Communes in Pas-de-Calais
Teton, Idaho	Cities in Idaho
Blendecques	Communes in Pas-de-Calais
Blessy, Pas-de-Calais	Communes in Pas-de-Calais
Tetonia, Idaho	Cities in Idaho
Blingel	Communes in Pas-de-Calais
Bléquin	Communes in Pas-de-Calais
Troy, Idaho	Cities in Idaho
Boffles	Communes in Pas-de-Calais
Boiry-Becquerelle	Communes in Pas-de-Calais
Twin Falls, Idaho	Cities in Idaho, County seats in Idaho, Twin Falls County, Idaho, 1904 establishments in the United States, 1900s establishments in Idaho
Boiry-Notre-Dame	Communes in Pas-de-Calais
Ucon, Idaho	Cities in Idaho
Boiry-Saint-Martin	Communes in Pas-de-Calais
Victor, Idaho	Cities in Idaho
Boiry-Sainte-Rictrude	Communes in Pas-de-Calais
Wallace, Idaho	Cities in Idaho, County seats in Idaho
Bois-Bernard	Communes in Pas-de-Calais
Boisdinghem	Communes in Pas-de-Calais
Boisjean	Communes in Pas-de-Calais
Boisleux-Saint-Marc	Communes in Pas-de-Calais
Boisleux-au-Mont	Communes in Pas-de-Calais
Bomy	Communes in Pas-de-Calais
Bonningues-lès-Ardres	Communes in Pas-de-Calais
Bonningues-lès-Calais	Communes in Pas-de-Calais
Bonnières, Pas-de-Calais	Communes in Pas-de-Calais
Boubers-lès-Hesmond	Communes in Pas-de-Calais
Boubers-sur-Canche	Communes in Pas-de-Calais
Bouin-Plumoison	Communes in Pas-de-Calais
Boulogne-sur-Mer	Communes in Pas-de-Calais, Subprefectures in France
Bouquehault	Communes in Pas-de-Calais
Bourecq	Communes in Pas-de-Calais
Bouret-sur-Canche	Communes in Pas-de-Calais
Bourlon	Communes in Pas-de-Calais
Bournonville, Pas-de-Calais	Communes in Pas-de-Calais
Bours, Pas-de-Calais	Communes in Pas-de-Calais
Boursin	Communes in Pas-de-Calais
Bourthes	Communes in Pas-de-Calais
Bouvelinghem	Communes in Pas-de-Calais
Bouvigny-Boyeffles	Communes in Pas-de-Calais
Boyaval	Communes in Pas-de-Calais
Boyelles	Communes in Pas-de-Calais
Wardner, Idaho	Cities in Idaho
Brebières	Communes in Pas-de-Calais
Warm River, Idaho	Cities in Idaho
Brias	Communes in Pas-de-Calais
Weippe, Idaho	Cities in Idaho
Brimeux	Communes in Pas-de-Calais
Weiser, Idaho	Cities in Idaho, County seats in Idaho
Bruay-la-Buissière	Communes in Pas-de-Calais
Brunembert	Communes in Pas-de-Calais
Brévillers, Pas-de-Calais	Communes in Pas-de-Calais
Wendell, Idaho	Cities in Idaho, Gooding County, Idaho
Bréxent-Énocq	Communes in Pas-de-Calais
Brêmes	Communes in Pas-de-Calais
Bucquoy	Communes in Pas-de-Calais
Buire-au-Bois	Communes in Pas-de-Calais
Buire-le-Sec	Communes in Pas-de-Calais
Buissy	Communes in Pas-de-Calais
Bullecourt	Communes in Pas-de-Calais
Bully-les-Mines	Communes in Pas-de-Calais
Buneville	Communes in Pas-de-Calais
Weston, Idaho	Cities in Idaho
Burbure	Communes in Pas-de-Calais
Bus, Pas-de-Calais	Communes in Pas-de-Calais
White Bird, Idaho	Cities in Idaho
Busnes	Communes in Pas-de-Calais
Wilder, Idaho	Cities in Idaho
Béalencourt	Communes in Pas-de-Calais
Winchester, Idaho	Cities in Idaho
Bécourt	Communes in Pas-de-Calais
Worley, Idaho	Cities in Idaho
Béhagnies	Communes in Pas-de-Calais
Bénifontaine	Communes in Pas-de-Calais
Béthonsart	Communes in Pas-de-Calais
Béthune	Communes in Pas-de-Calais, Subprefectures in France
Caffiers	Communes in Pas-de-Calais
Cagnicourt	Communes in Pas-de-Calais
Calonne-Ricouart	Communes in Pas-de-Calais
Calonne-sur-la-Lys	Communes in Pas-de-Calais
Camblain-Châtelain	Communes in Pas-de-Calais
Camblain-l'Abbé	Communes in Pas-de-Calais
Cambligneul	Communes in Pas-de-Calais
Cambrin	Communes in Pas-de-Calais
Camiers	Communes in Pas-de-Calais
Campagne-lès-Boulonnais	Communes in Pas-de-Calais
Campagne-lès-Guines	Communes in Pas-de-Calais
Campagne-lès-Hesdin	Communes in Pas-de-Calais
Campagne-lès-Wardrecques	Communes in Pas-de-Calais
Campigneulles-les-Grandes	Communes in Pas-de-Calais
Campigneulles-les-Petites	Communes in Pas-de-Calais
Canettemont	Communes in Pas-de-Calais
Canlers	Communes in Pas-de-Calais
Canteleux	Former communes in Pas-de-Calais
Capelle-Fermont	Communes in Pas-de-Calais
Capelle-lès-Hesdin	Communes in Pas-de-Calais
Carency	Communes in Pas-de-Calais
Carly, Pas-de-Calais	Communes in Pas-de-Calais
Carvin	Communes in Pas-de-Calais
Cauchy-à-la-Tour	Communes in Pas-de-Calais
Caucourt	Communes in Pas-de-Calais
Caumont, Pas-de-Calais	Communes in Pas-de-Calais
Cavron-Saint-Martin	Communes in Pas-de-Calais
Chelers	Communes in Pas-de-Calais
Chocques	Communes in Pas-de-Calais
Chériennes	Communes in Pas-de-Calais
Chérisy	Communes in Pas-de-Calais
Clairmarais	Communes in Pas-de-Calais
Clarques	Former communes in Pas-de-Calais
Clenleu	Communes in Pas-de-Calais
Clerques	Communes in Pas-de-Calais
Cléty	Communes in Pas-de-Calais
Colembert	Communes in Pas-de-Calais
Colline-Beaumont	Communes in Pas-de-Calais
Conchil-le-Temple	Communes in Pas-de-Calais
Conchy-sur-Canche	Communes in Pas-de-Calais
Condette	Communes in Pas-de-Calais
Contes, Pas-de-Calais	Communes in Pas-de-Calais
Conteville-en-Ternois	Communes in Pas-de-Calais
Conteville-lès-Boulogne	Communes in Pas-de-Calais
Coquelles	Communes in Pas-de-Calais
Corbehem	Communes in Pas-de-Calais
Cormont	Communes in Pas-de-Calais
Couin	Communes in Pas-de-Calais
Coullemont	Communes in Pas-de-Calais
Coulogne	Communes in Pas-de-Calais
Coulomby	Communes in Pas-de-Calais
Coupelle-Neuve	Communes in Pas-de-Calais
Coupelle-Vieille	Communes in Pas-de-Calais
Courcelles-le-Comte	Communes in Pas-de-Calais
Courcelles-lès-Lens	Communes in Pas-de-Calais
Courrières	Communes in Pas-de-Calais
Courset	Communes in Pas-de-Calais
Couturelle	Communes in Pas-de-Calais
Coyecques	Communes in Pas-de-Calais
Croisette, Pas-de-Calais	Communes in Pas-de-Calais
Croisilles, Pas-de-Calais	Communes in Pas-de-Calais
Croix-en-Ternois	Communes in Pas-de-Calais
Crémarest	Communes in Pas-de-Calais
Crépy, Pas-de-Calais	Communes in Pas-de-Calais
Créquy	Communes in Pas-de-Calais
Cucq	Communes in Pas-de-Calais
Cuinchy	Communes in Pas-de-Calais
Dainville	Communes in Pas-de-Calais
Dannes	Communes in Pas-de-Calais
Delettes	Communes in Pas-de-Calais
Denier, Pas-de-Calais	Communes in Pas-de-Calais
Dennebrœucq	Communes in Pas-de-Calais
Desvres	Communes in Pas-de-Calais
Divion	Communes in Pas-de-Calais
Diéval	Communes in Pas-de-Calais
Dohem	Communes in Pas-de-Calais
Douchy-lès-Ayette	Communes in Pas-de-Calais
Doudeauville, Pas-de-Calais	Communes in Pas-de-Calais
Dourges	Communes in Pas-de-Calais
Douriez	Communes in Pas-de-Calais
Douvrin	Communes in Pas-de-Calais
Drocourt, Pas-de-Calais	Communes in Pas-de-Calais
Drouvin-le-Marais	Communes in Pas-de-Calais
Duisans	Communes in Pas-de-Calais
Dury, Pas-de-Calais	Communes in Pas-de-Calais
Echinghen	Communes in Pas-de-Calais
Ecquedecques	Communes in Pas-de-Calais
Ecques	Communes in Pas-de-Calais
Elnes	Communes in Pas-de-Calais
Embry, Pas-de-Calais	Communes in Pas-de-Calais
Enguinegatte	Former communes in Pas-de-Calais
Enquin-les-Mines	Former communes in Pas-de-Calais
Enquin-sur-Baillons	Communes in Pas-de-Calais
Eps, Pas-de-Calais	Communes in Pas-de-Calais
Ergny	Communes in Pas-de-Calais
Erny-Saint-Julien	Communes in Pas-de-Calais
Ervillers	Communes in Pas-de-Calais
Escalles	Communes in Pas-de-Calais
Escœuilles	Communes in Pas-de-Calais
Esquerdes	Communes in Pas-de-Calais
Essars	Communes in Pas-de-Calais
Estevelles	Communes in Pas-de-Calais
Estrée	Communes in Pas-de-Calais
Estrée-Blanche	Communes in Pas-de-Calais
