Oil tanker	Ship types
Pincé	Communes in Sarthe
Pirmil	Communes in Sarthe
Pizieux	Communes in Sarthe
Poillé-sur-Vègre	Communes in Sarthe
Poncé-sur-le-Loir	Former communes in Sarthe
Pontvallain	Communes in Sarthe
Précigné	Communes in Sarthe
Préval	Communes in Sarthe
Prévelles	Communes in Sarthe
Pruillé-l'Éguillé	Communes in Sarthe
Pruillé-le-Chétif	Communes in Sarthe
Rahay	Communes in Sarthe
René, Sarthe	Communes in Sarthe
Requeil	Communes in Sarthe
Roézé-sur-Sarthe	Communes in Sarthe
Rouessé-Fontaine	Communes in Sarthe
Rouessé-Vassé	Communes in Sarthe
Rouez	Communes in Sarthe
Rouillon	Communes in Sarthe
Roullée	Former communes in Sarthe
Rouperroux-le-Coquet	Communes in Sarthe
Ruaudin	Communes in Sarthe
Ruillé-en-Champagne	Communes in Sarthe
Ruillé-sur-Loir	Former communes in Sarthe
Sablé-sur-Sarthe	Communes in Sarthe
Saint-Aignan, Sarthe	Communes in Sarthe
Saint-Aubin-de-Locquenay	Communes in Sarthe
Saint-Aubin-des-Coudrais	Communes in Sarthe
Saint-Biez-en-Belin	Communes in Sarthe
Saint-Calais	Communes in Sarthe
Saint-Calez-en-Saosnois	Communes in Sarthe
Saint-Célerin	Communes in Sarthe
Saint-Christophe-du-Jambet	Communes in Sarthe
Saint-Christophe-en-Champagne	Communes in Sarthe
Saint-Corneille	Communes in Sarthe
Saint-Cosme-en-Vairais	Communes in Sarthe
Saint-Denis-d'Orques	Communes in Sarthe
Saint-Denis-des-Coudrais	Communes in Sarthe
Saint-Georges-de-la-Couée	Communes in Sarthe
Saint-Georges-du-Bois, Sarthe	Communes in Sarthe
Saint-Georges-du-Rosay	Communes in Sarthe
Saint-Georges-le-Gaultier	Communes in Sarthe
Saint-Germain-d'Arcé	Communes in Sarthe
Saint-Germain-sur-Sarthe	Former communes in Sarthe
Saint-Gervais-de-Vic	Communes in Sarthe
Saint-Gervais-en-Belin	Communes in Sarthe
Saint-Hilaire-le-Lierru	Former communes in Sarthe
Saint-Jean-d'Assé	Communes in Sarthe
Saint-Jean-de-la-Motte	Communes in Sarthe
Saint-Jean-des-Échelles	Communes in Sarthe
Saint-Jean-du-Bois	Communes in Sarthe
Saint-Léonard-des-Bois	Communes in Sarthe
Saint-Longis	Communes in Sarthe
Saint-Maixent	Communes in Sarthe
Saint-Marceau, Sarthe	Communes in Sarthe
Saint-Mars-d'Outillé	Communes in Sarthe
Saint-Mars-de-Locquenay	Communes in Sarthe
Saint-Mars-la-Brière	Communes in Sarthe
Saint-Mars-sous-Ballon	Former communes in Sarthe
Saint-Martin-des-Monts	Communes in Sarthe
Saint-Michel-de-Chavaignes	Communes in Sarthe
Saint-Ouen-de-Mimbré	Communes in Sarthe
Saint-Ouen-en-Belin	Communes in Sarthe
Saint-Ouen-en-Champagne	Communes in Sarthe
Saint-Paterne	Former communes in Sarthe
Saint-Paul-le-Gaultier	Communes in Sarthe
Saint-Pavace	Communes in Sarthe
Saint-Pierre-de-Chevillé	Communes in Sarthe
Saint-Pierre-des-Bois	Communes in Sarthe
Saint-Pierre-des-Ormes	Communes in Sarthe
Saint-Pierre-du-Lorouër	Communes in Sarthe
Saint-Rémy-de-Sillé	Communes in Sarthe
Saint-Rémy-des-Monts	Communes in Sarthe
Saint-Rémy-du-Val	Communes in Sarthe
Saint-Rigomer-des-Bois	Former communes in Sarthe
Saint-Saturnin, Sarthe	Communes in Sarthe
Saint-Symphorien, Sarthe	Communes in Sarthe
Saint-Ulphace	Communes in Sarthe
Saint-Victeur	Communes in Sarthe
Saint-Vincent-des-Prés, Sarthe	Communes in Sarthe
Saint-Vincent-du-Lorouër	Communes in Sarthe
Sainte-Cérotte	Communes in Sarthe
Sainte-Jamme-sur-Sarthe	Communes in Sarthe
Sainte-Osmane	Former communes in Sarthe
Sainte-Sabine-sur-Longève	Communes in Sarthe
Saosnes	Communes in Sarthe
Sarcé	Communes in Sarthe
Sargé-lès-le-Mans	Communes in Sarthe
Savigné-l'Évêque	Communes in Sarthe
Savigné-sous-le-Lude	Communes in Sarthe
Sceaux-sur-Huisne	Communes in Sarthe
Ségrie	Communes in Sarthe
Semur-en-Vallon	Communes in Sarthe
Sillé-le-Guillaume	Communes in Sarthe
Sillé-le-Philippe	Communes in Sarthe
Solesmes, Sarthe	Communes in Sarthe
Sougé-le-Ganelon	Communes in Sarthe
Souillé	Communes in Sarthe
Souligné-Flacé	Communes in Sarthe
Souligné-sous-Ballon	Communes in Sarthe
Soulitré	Communes in Sarthe
Souvigné-sur-Même	Communes in Sarthe
Souvigné-sur-Sarthe	Communes in Sarthe
Spay, Sarthe	Communes in Sarthe
Surfonds	Communes in Sarthe
Tassé	Communes in Sarthe
Tassillé	Communes in Sarthe
Teillé, Sarthe	Communes in Sarthe
Teloché	Communes in Sarthe
Tennie	Communes in Sarthe
Terrehault	Communes in Sarthe
Théligny	Communes in Sarthe
Thoigné	Communes in Sarthe
Thoiré-sous-Contensor	Communes in Sarthe
Thoiré-sur-Dinan	Communes in Sarthe
Thorée-les-Pins	Communes in Sarthe
Thorigné-sur-Dué	Communes in Sarthe
Torcé-en-Vallée	Communes in Sarthe
Trangé	Communes in Sarthe
Tresson	Communes in Sarthe
Tuffé	Former communes in Sarthe
Vaas, Sarthe	Communes in Sarthe
Valennes	Communes in Sarthe
Vallon-sur-Gée	Communes in Sarthe
Vancé	Communes in Sarthe
Verneil-le-Chétif	Communes in Sarthe
Vernie	Communes in Sarthe
Vezot	Communes in Sarthe
Vibraye	Communes in Sarthe
Villaines-la-Carelle	Communes in Sarthe
Villaines-la-Gonais	Communes in Sarthe
Villaines-sous-Lucé	Communes in Sarthe
Villaines-sous-Malicorne	Communes in Sarthe
Vion, Sarthe	Communes in Sarthe
Viré-en-Champagne	Communes in Sarthe
Vivoin	Communes in Sarthe
Voivres-lès-le-Mans	Communes in Sarthe
Volnay, Sarthe	Communes in Sarthe
Vouvray-sur-Huisne	Communes in Sarthe
Vouvray-sur-Loir	Former communes in Sarthe
Yvré-l'Évêque	Communes in Sarthe
Yvré-le-Pôlin	Communes in Sarthe
Communes of the Vendée department	Communes in Vendée, Lists of communes of France
Aizenay	Communes in Vendée
Angles, Vendée	Communes in Vendée
Antigny, Vendée	Communes in Vendée
Apremont, Vendée	Communes in Vendée
Aubigny, Vendée	Former communes in Vendée
Auzay	Former communes in Vendée
Avrillé, Vendée	Communes in Vendée
Barbâtre	Communes in Vendée
Bazoges-en-Paillers	Communes in Vendée
Bazoges-en-Pareds	Communes in Vendée
Beaufou	Communes in Vendée
Beaulieu-sous-la-Roche	Communes in Vendée
Beaurepaire, Vendée	Communes in Vendée
Beauvoir-sur-Mer	Communes in Vendée
Belleville-sur-Vie	Former communes in Vendée
Benet, Vendée	Communes in Vendée
Bessay	Communes in Vendée
Bois-de-Céné	Communes in Vendée
Boufféré	Former communes in Vendée
Bouillé-Courdault	Communes in Vendée
Bouin, Vendée	Communes in Vendée
Boulogne, Vendée	Former communes in Vendée
Bourneau	Communes in Vendée
Bournezeau	Communes in Vendée
Brem-sur-Mer	Communes in Vendée
Bretignolles-sur-Mer	Communes in Vendée
Breuil-Barret	Communes in Vendée
Cezais	Communes in Vendée
Chaillé-les-Marais	Communes in Vendée
Chaillé-sous-les-Ormeaux	Former communes in Vendée
Chaix	Former communes in Vendée
Challans	Communes in Vendée
Chambretaud	Former communes in Vendée
Champagné-les-Marais	Communes in Vendée
Chantonnay	Communes in Vendée
Chasnais	Communes in Vendée
Château-d'Olonne	Former communes in Vendée
Château-Guibert	Communes in Vendée
Châteauneuf, Vendée	Communes in Vendée
Chauché	Communes in Vendée
Chavagnes-en-Paillers	Communes in Vendée
Chavagnes-les-Redoux	Communes in Vendée
Cheffois	Communes in Vendée
Coëx	Communes in Vendée
Commequiers	Communes in Vendée
Corpe	Communes in Vendée
Cugand	Communes in Vendée
Curzon, Vendée	Communes in Vendée
Damvix	Communes in Vendée
Doix	Former communes in Vendée
Dompierre-sur-Yon	Communes in Vendée
Falleron	Communes in Vendée
Faymoreau	Communes in Vendée
Fontaines, Vendée	Former communes in Vendée
Fontenay-le-Comte	Communes in Vendée, Subprefectures in France
Fougeré, Vendée	Communes in Vendée
Foussais-Payré	Communes in Vendée
Froidfond	Communes in Vendée
Givrand	Communes in Vendée
Grand'Landes	Communes in Vendée
Grosbreuil	Communes in Vendée
Grues, Vendée	Communes in Vendée
L'Île d'Yeu	Communes in Vendée, Islands of France
Jard-sur-Mer	Communes in Vendée
L'Aiguillon-sur-Mer	Communes in Vendée
L'Aiguillon-sur-Vie	Communes in Vendée
L'Épine, Vendée	Communes in Vendée
L'Herbergement	Communes in Vendée
