Kenning	Medieval literature, Poetry, Iceland
Benton County, Missouri	1835 establishments in Missouri, Missouri counties
Warsaw, Missouri	Cities in Missouri, County seats in Missouri
Linn County, Missouri	1837 establishments in Missouri, Missouri counties
Cactus, Texas	Cities in Texas
Springfield, Nebraska	Cities in Nebraska
Douglas County, Missouri	1857 establishments in Missouri, Missouri counties
Osceola County, Michigan	1860s establishments in Michigan, 1869 establishments in the United States, Michigan counties
Reed City, Michigan	Cities in Michigan, County seats in Michigan
Dallas County, Missouri	1840s establishments in Missouri, 1844 establishments in the United States, Missouri counties
Buffalo, Missouri	Cities in Missouri, County seats in Missouri
Setsuko Inoue	1946 births, Living people, Medalists at the 1968 Summer Olympics, Japanese Olympic silver medalists
Jordan Sinnott	1994 births, 2020 deaths, English footballers, People from Bradford, Sportspeople from Yorkshire
List of territorial entities where French is an official language	French language
Suckless.org	Websites, Websites established in 2002
2019 San Francisco 49ers season	San Francisco 49ers, 2019 in sports, 2019 in California, 2010s in California, 2019 in the United States
Vikramaditya	Indian leaders
Mount Bulusan	Volcanoes, Geography of the Philippines
Ibsen Pinheiro	1935 births, 2020 deaths, Presidents of the Chamber of Deputies (Brazil), Brazilian writers, Deaths from cardiac arrest, Brazilian journalists, Brazilian lawyers, People from Rio Grande do Sul
Gmünd District	Districts of Lower Austria
Haslau bei Birkfeld	Cities and towns in Styria
Chariton County, Missouri	1820 establishments in Missouri Territory, Missouri counties
Birmingham Mail	Newspapers published in the United Kingdom, 1870s establishments in the United Kingdom, 1870 establishments in Europe
Mamadysh district	Tatarstan
Screenonline	Websites, Movie organizations
3D Brick Breaker Revolution	2009 video games, IOS games
Spassky district	Tatarstan
Induction heating	Engineering
Lineal championship	Sports
ASMR	Internet culture, Perception, Sensory system
Boone County, Missouri	1820 establishments in Missouri Territory, Missouri counties
Scotland County, Missouri	1841 establishments in Missouri, Missouri counties
Memphis, Missouri	Cities in Missouri, County seats in Missouri
St. Francois County, Missouri	1821 establishments in Missouri, Missouri counties
Pulaski County, Missouri	1833 establishments in Missouri, Missouri counties
Monroe County, Missouri	1830s establishments in Missouri, 1831 establishments in the United States, Missouri counties
Oregon, Missouri	Cities in Missouri, County seats in Missouri
Amelia County, Virginia	Virginia counties
Nottoway County, Virginia	Virginia counties
Progressive muscular atrophy	Diseases
Michou	1931 births, 2020 deaths, Deaths from pulmonary embolism, Disease-related deaths in France, French singers, French businesspeople
Guy Arnold	1932 births, 2020 deaths, Deaths from dementia, British journalists, Political writers, Political commentators, Writers from London
Norman Amadio	1928 births, 2020 deaths, Canadian pianists, Canadian composers, Canadian educators, Jazz musicians
Sean Reinert	1971 births, 2020 deaths, American drummers, American heavy metal musicians, American songwriters, LGBT musicians, LGBT writers, Gay men, LGBT people from California, People from Long Beach, California, Musicians from California
Narciso Parigi	1927 births, 2020 deaths, Italian singers, Italian movie actors, Italian television actors
Stephen R. Reed	1949 births, 2020 deaths, Deaths from prostate cancer, Cancer deaths in Pennsylvania, State legislators of the United States, American mayors, American criminals, Politicians from Pennsylvania, People from Harrisburg, Pennsylvania, US Democratic Party politicians
Maharaj Kishan Bhan	1947 births, 2020 deaths, Indian scientists, Medical researchers, Cancer deaths in India
Vsevolod Chaplin	1968 births, 2020 deaths, Priests, Writers from Moscow
Nathaniel R. Jones	1926 births, 2020 deaths, Deaths from congestive heart failure, American judges, Politicians from Cincinnati, Ohio, People from Youngstown, Ohio, US Democratic Party politicians
Tom Belsø	1942 births, 2020 deaths, Deaths from stomach cancer, Danish sportspeople, Formula One drivers, People from Copenhagen
Pat Danner	1934 births, Living people, United States representatives from Missouri, US Democratic Party politicians, Politicians from Louisville, Kentucky
William Vollie Alexander Jr.	1934 births, Living people, United States representatives from Arkansas, Politicians from Memphis, Tennessee, US Democratic Party politicians
Buddy Leach	1934 births, Living people, American lawyers, United States representatives from Louisiana, Businesspeople from Louisiana, US Democratic Party politicians
Norman D. Shumway	1934 births, Living people, United States representatives from California, Politicians from Phoenix, Arizona, US Republican Party politicians
Blanche Lincoln	1960 births, Living people, American lawyers, Businesspeople from Arkansas, United States senators from Arkansas, United States representatives from Arkansas, US Democratic Party politicians
Helena, Arkansas	Cities in Arkansas
The Impossible (2012 movie)	2012 drama movies, Spanish movies
Max Linder	1883 births, 1925 deaths, Drug-related suicides, French movie actors, French movie directors, French screenwriters, French movie producers, French comedians
Eli Roth	1972 births, Living people, American movie actors, American television actors, American television directors, American television producers, American movie directors, American movie producers, American screenwriters, Writers from Massachusetts, Actors from Massachusetts, People from Newton, Massachusetts
Joe Bryant	1954 births, Living people, Los Angeles Clippers players, Philadelphia 76ers players, Houston Rockets players, Sportspeople from Philadelphia, Pennsylvania
Itta Bena, Mississippi	Cities in Mississippi
Cefalù Cathedral	Sicily, World Heritage Sites in Italy, Cathedrals in Italy
Scattered Islands in the Indian Ocean	2000s establishments in Africa, 2007 establishments in France, Islands of France, Islands of Africa, Madagascar, French Southern and Antarctic Lands, Atolls, Indian Ocean, Dependent territories, Territorial disputes, Uninhabited islands
Kazuo Sakurada	1948 births, Japanese professional wrestlers, 2020 deaths, Deaths from cardiac arrhythmia
James Stockdale	1923 births, 2005 deaths, Deaths from Alzheimer's disease, Disease-related deaths in California, American military personnel of the Vietnam War, Independent politicians in the United States, Writers from Illinois, Politicians from Illinois, Military people from Illinois
Anne Arundel County, Maryland	Maryland counties
Miami County, Ohio	1800s establishments in Ohio, 1807 establishments in the United States, Ohio counties
Troy, Ohio	Cities in Ohio, County seats in Ohio
Clark County, Ohio	1810s establishments in Ohio, 1818 establishments in the United States, Ohio counties
Darke County, Ohio	1810s establishments in Ohio, 1817 establishments in the United States, Ohio counties
Matthew Quashie	1951 births, 2020 deaths, People from Accra, Military people
Lina Ben Mhenni	1983 births, 2020 deaths, Deaths from stroke, Deaths from autoimmune disease, Political activists, Educators, Journalists, People from Tunis
Zvi Dershowitz	1928 births, American rabbis, American conservatives, People from Brno, Living people
Todd Portune	1958 births, 2020 deaths, Deaths from spinal cancer, American lawyers, Politicians from Cincinnati, Ohio, US Democratic Party politicians
Remission (medicine)	Medical signs
Joe Altobelli	1932 births, 2021 deaths, Cleveland Indians players, Minnesota Twins players, Sportspeople from Detroit, Michigan
Newark, Ohio	Cities in Ohio, County seats in Ohio
Licking County, Ohio	1808 establishments in Ohio, Ohio counties
Delaware County, Ohio	1808 establishments in Ohio, Ohio counties
Fairfield County, Ohio	1800s establishments in Ohio, 1800 establishments in the United States, Ohio counties
Franklin County, Ohio	1803 establishments in Ohio, Ohio counties
Dutch Flat, California	Unincorporated communities in California, Census-designated places in California, Settlements in Placer County, California, California Historical Landmarks
Tallmadge, Ohio	Cities in Ohio
Tyler Joseph	1988 births, Living people, Grammy Award winners, American rock singers, American pop singers, American rock guitarists, American pianists, American pop musicians, American singer-songwriters, American rap musicians from Ohio, Record producers, Singers from Columbus, Ohio, Musicians from Columbus, Ohio, Writers from Columbus, Ohio
Judah Folkman	1933 births, 2008 deaths, American biologists, American physicians, Medical researchers, Scientists from Cleveland, Ohio, Scientists from Columbus, Ohio, Scientists from Boston, Massachusetts, Deaths from myocardial infarction
Wallace, North Carolina	Towns in North Carolina
Duplin County, North Carolina	1750s establishments in North Carolina, 1750 establishments, North Carolina counties
Kenansville, North Carolina	Towns in North Carolina, County seats in North Carolina
Pender County, North Carolina	19th-century establishments in North Carolina, 1875 establishments in the United States, North Carolina counties
Burgaw, North Carolina	Towns in North Carolina, County seats in North Carolina
New Hanover County, North Carolina	1730s establishments in North Carolina, 1739 establishments, North Carolina counties
Georgetown, Delaware	County seats in Delaware, Towns in Delaware
Jefferson County, Georgia	1796 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Louisville, Georgia	County seats in Georgia, Cities in Georgia (U.S. state)
Carrollton, Georgia	Cities in Georgia (U.S. state), County seats in Georgia
Roopville, Georgia	Towns in Georgia (U.S. state)
List of presidents of the Reichstag	Politics of Germany
Sir George Stokes, 1st Baronet	1819 births, 1903 deaths, Irish scientists, Mathematicians, Physicists
Claude-Louis Navier	1785 births, 1836 deaths, French physicists, French engineers, French mathematicians
Paul Löbe	1875 births, 1967 deaths, Politicians of the Social Democratic Party of Germany, Weimar Republic politicians, Members of the Reichstag (Weimar Republic), Members of the German Bundestag, Order of Merit of the Federal Republic of Germany, People from Prussia
Reichsmarschall	Military ranks, Nazi Germany
Erich Köhler	1892 births, 1958 deaths, People from Erfurt, Politicians from Thuringia, Politicians of the Christian Democratic Union of Germany
Alan Sieroty	1930 births, Living people, State legislators of the United States, Politicians from Los Angeles, California, US Democratic Party politicians
Minister President of Prussia	Ministers-President of Prussia
Johannes Dieckmann	1893 births, 1969 deaths, German Lutherans, German politicians, German journalists, German military personnel of World War I, German military personnel of World War II, Politicians from Lower Saxony
Leadership of East Germany	Leaders of East Germany
Rita Süssmuth	1937 births, Living people, Politicians of the Christian Democratic Union of Germany, People from Wuppertal, German Roman Catholics, Politicians from North Rhine-Westphalia
Kereru	Birds of New Zealand
Mikey North	1986 births, Living people, English television actors, People from North Yorkshire
Stephen Downes	1959 births, Living people, People from Montreal, Canadian academics
Kamkata-viri language	Languages of Afghanistan
Second Industrial Revolution	19th century, 20th century, Economic history, History of Europe, History of technology, Innovation, Revolutions
Ramganga	Rivers of India, Uttarakhand, Uttar Pradesh
Olivia Cooke	1993 births, Actors from London, British child actors, British movie actors, British television actors, Living people, People from Oldham, Greater Manchester
Lepi Mića	1959 births, Republika Srpska, Singer-songwriters, Living people
Bob Shane	1934 births, 2020 deaths, American folk singers, American guitarists, Deaths from pneumonia, Infectious disease deaths in the United States, Musicians from Hawaii, Singers from Hawaii
Hubert Mingarelli	1956 births, 2020 deaths, Cancer deaths in France, French novelists
Tor Obrestad	1938 births, 2020 deaths, Biographers, Norwegian writers, Novelists, Poets, Short story writers
Bob Falkenburg	1926 births, Living people, American male tennis players, Businesspeople from New York City, People from Manhattan, US Open (tennis) champions, Wimbledon champions
Bill Sidwell	1920 births, Living people, Australian male tennis players, Sportspeople from New South Wales, US Open (tennis) champions
Frank Sedgman	1927 births, Living people, Australian male tennis players, Australian Open champions, French Open champions, Order of Australia, Sportspeople from Melbourne, US Open (tennis) champions, Wimbledon champions
Geoff Brown (tennis)	1924 births, Living people, Australian male tennis players, Sportspeople from New South Wales
Budge Patty	1924 births, Living people, American male tennis players, French Open champions, Sportspeople from Arkansas, Wimbledon champions
Catherine Tyldesley	1983 births, Living people, English television actors
IÉSEG School of Management	1960s establishments in France, 1964 establishments in Europe, Education in France, Lille, Paris
The quick brown fox jumps over the lazy dog	Language
Yang Xiaobo (Hubei politician)	1963 births, 2020 deaths, Deaths from pneumonia, Deaths from the COVID-19 pandemic in China, Chinese communist politicians, Mayors
Patti Clare	1976 births, Living people, English television actors, Actors from Manchester
Incendiary (movie)	English-language movies, Movies about terrorism, 2008 drama movies, British drama movies, Movies set in London
Peter Gunn (actor)	1963 births, Living people, English television actors, English movie actors, Actors from Lancashire
Monique van Vooren	1927 births, 2020 deaths, Actors from Brussels, American movie actors, American stage actors, American television actors, Naturalized citizens of the United States
Cherylee Houston	1974 births, Living people, English television actors, Actors from Lancashire
Erikson's stages of psychosocial development	Psychology
Escape Room 2	2021 movies, American horror movies, Upcoming sequel movies, 2020s horror movies
List of Caillou episodes	1997 television series debuts, 2010 television series endings, 1997 establishments in Canada, 2010 disestablishments in North America, 2010s disestablishments in Canada
Appetite for Destruction	1987 albums, Guns N' Roses, Hard rock albums, Debut albums
Alberto Naranjo	1941 births, 2020 deaths, Composers, Jazz musicians, People from Caracas
Jack Burns	1933 births, 2020 deaths, Deaths from respiratory failure, Deaths from pancreatic cancer, Cancer deaths in Los Angeles, American movie actors, American television actors, American voice actors, American stage actors, American television writers, American television producers, Actors from Boston, Massachusetts, Writers from Boston, Massachusetts, Comedians from Massachusetts
Duško Gojković	1931 births, Living people, Czech musicians, Trumpeters, Jazz musicians, Composers
Stan Getz	American jazz musicians, American saxophonists, 1927 births, 1991 deaths, Grammy Award winners, Musicians from New York City, Musicians from Philadelphia, Pennsylvania, People from the Bronx, People from Malibu, California, Deaths from liver cancer, Cancer deaths in California
Woody Herman	Grammy Award winners, 1913 births, 1987 deaths, Deaths from emphysema, Deaths from pneumonia, Deaths from congestive heart failure, American jazz musicians, American clarinetists, American saxophonists, American jazz singers, American bandleaders, Musicians from Milwaukee, Wisconsin, Singers from Milwaukee, Wisconsin
Tito Puente	1923 births, 2000 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in New York City, American jazz musicians, American songwriters, American drummers, American composers, Record producers, Musicians from New York City, Writers from New York City
Jim Sasser	1936 births, Living people, Politicians from Memphis, Tennessee, Ambassadors of the United States, United States senators from Tennessee, US Democratic Party politicians
Albert A. Gore Sr.	1907 births, 1998 deaths, United States senators from Tennessee, United States representatives from Tennessee, American military personnel of World War II, US Democratic Party politicians
Granville, Tennessee	Unincorporated communities in Tennessee
Carthage, Tennessee	Towns in Tennessee, County seats in Tennessee
Smith County, Tennessee	Tennessee counties
Williamson County, Tennessee	Tennessee counties
Rutherford County, Tennessee	Tennessee counties
Animaniacs	1993 American television series debuts, 1998 American television series endings, American animated television series, English-language television programs
Joseph P. Riley Jr.	1943 births, Living people, American mayors, People from Charleston, South Carolina, Politicians from South Carolina, US Democratic Party politicians
Moncks Corner, South Carolina	Towns in South Carolina, County seats in South Carolina
Abdul Ghafoor	1959 births, 2020 deaths, Indian politicians
Eville Gorham	1925 births, 2020 deaths, Naturalized citizens of the United States, American biologists, American chemists, Ecologists, Canadian scientists, People from Nova Scotia
Frank Edwards (politician)	1950 births, 2020 deaths, Aviation deaths in the United States, American mayors, Politicians from Springfield, Illinois, US Republican Party politicians
Timothy Davlin	1957 births, 2010 deaths, Suicides by firearm in the United States, American mayors, Politicians from Springfield, Illinois, US Democratic Party politicians
George Shirley	1934 births, Grammy Award winners, Living people, Singers from Indianapolis, Indiana, Singers from Detroit, Michigan
Freddie Hubbard	1938 births, 2008 deaths, Deaths from myocardial infarction, American jazz musicians, American composers, American bandleaders, Writers from Indianapolis, Indiana, Musicians from Indianapolis, Indiana
Wes Montgomery	1923 births, 1968 deaths, Deaths from myocardial infarction, American jazz musicians, American guitarists, Musicians from Indianapolis, Indiana
David Wolf (astronaut)	1956 births, American astronauts, American physicians, Engineers from Indiana, Living people, Scientists from Indianapolis, Indiana
Dickson City, Pennsylvania	Boroughs in Pennsylvania
Narciso Elvira	1967 births, 2020 deaths, Murders by firearm, Milwaukee Brewers players, Mexican sportspeople
Katie McGlynn	1993 births, Living people, English child actors, English television actors, People from Rochdale, Actors from Greater Manchester
Other Ocean Interactive	Companies based in California, 2006 establishments
Landaff	Districts, Wales
Tofig Gasimov	1938 births, 2020 deaths, Diplomats, Azerbaijani politicians
Ellie Leach	2001 births, Living people, English child actors, English television actors, Actors from Greater Manchester
Abulfaz Elchibey	1938 births, 2000 deaths, Presidents of Azerbaijan, Deaths from prostate cancer, Azerbaijani historians, Azerbaijani writers, Burials at Alley of Honor, Soviet politicians
Lisa George	1970 births, Living people, English television actors, Actors from Lincolnshire
Marj Dusay	1936 births, 2020 deaths, American movie actors, American television actors, American stage actors, Actors from Kansas
Joe Duttine	1970 births, Living people, English television actors, Actors from West Yorkshire
Dan O'Herlihy	1919 births, 2005 deaths, American stage actors, American movie actors, American television actors, American radio actors, Actors from Dublin, Disease-related deaths in California, Irish movie actors, Irish television actors, Irish radio actors, Irish stage actors, Naturalized citizens of the United States, Actors from California, Deaths from natural causes
Sair Khan	1988 births, Living people, English television actors, Actors from Leeds
Shelley King	1955 births, Living people, English television actors, English stage actors, Indian television actors, Lesbians, English LGBT people, LGBT actors, People from Kolkata
Adam Robitel	American movie actors, American movie directors, American screenwriters, 1978 births, Living people
Ida Siekmann	1902 births, 1961 deaths, Accidental deaths from falls
Qasim Akhtar	1991 births, Living people, English television actors, Actors from Manchester
Daniel Brocklebank	1979 births, Living people, English child actors, English television actors, English movie actors, English stage actors, English radio actors, LGBT actors, People from Warwickshire
Melanie Hill	1962 births, Living people, English television actors, English movie actors, People from Sunderland
The Brittas Empire	1991 television series debuts, 1997 television series endings, 1990s British sitcoms, BBC television sitcoms, Black comedy television series, English-language television programs
Teen Titans Go!	2013 television series debuts, Cartoon Network series, Parody television shows
Collectivism	Collectivism, Political philosophy, Social sciences
Walt Martin	1940s births, 2014 deaths, Engineers from California, Deaths from vasculitis, People from Burbank, California
2020 Elazığ earthquake	Earthquakes in Asia, January 2020 events, 2020s in Turkey
Małgorzata Kidawa-Błońska	1957 births, Living people, Sociologists, Movie producers, Marshals of the Sejm, Politicians from Warsaw
Elżbieta Witek	1957 births, Living people, Marshals of the Sejm
Marshal of the Sejm	Marshals of the Sejm
Józef Zych	1938 births, Living people, Marshals of the Sejm
Parliament of Poland	Politics of Poland
Senate of Poland	Politics of Poland
Marshal of the Senate of the Republic of Poland	Marshals of the Senate of the Republic of Poland
Tomasz Grodzki	1958 births, Living people, Marshals of the Senate of the Republic of Poland
Stanisław Karczewski	1955 births, Living people, Marshals of the Senate of the Republic of Poland
Stickney Township, Cook County, Illinois	Townships in Illinois, Settlements in Cook County, Illinois
Smoluća Gornja	War crimes, Settlements in Bosnia and Herzegovina
Abergavenny	Towns in Monmouthshire
Captain Sensible	1954 births, Living people, British punk musicians, English rock guitarists, Singer-songwriters from London
Richard Hawley (actor)	1955 births, Living people, English television actors, English movie actors, Actors from Bradford
Overlord (novel series)	Light novels
Faye Brookes	1987 births, Living people
Draize test	Animal rights
Hen's egg test on chorioallantoic membrane	Animal rights, Toxicology
Social choice theory	Economics, Politics
Quasimodo	1466 births, 1482 deaths, Animated characters, Characters in written fiction, Comics characters, Disney characters, Fictional characters, Fictional murderers, French literature, Movie characters, Works by Victor Hugo
Bhavna Limbachia	British actors, 1984 births, Living people, People from Preston, Lancashire
Julia Goulding	1985 births, Living people, English stage actors, English television actors, Actors from Greater Manchester
Nicola Thorp	1988 births, Living people, British television actors, People with borderline personality disorder, People from Blackpool
Coronation Street Omnibus	Coronation Street
Louiza Patikas	1970s births, Living people, British radio actors, British television actors, British journalists, Actors from Surrey
Birmingham High School	1950s establishments in California, 1953 establishments in the United States, Schools in California, Los Angeles County, California
Wexford Rebellion	History of Ireland
Herbert Baumann	1925 births, 2020 deaths, German composers, German conductors, Musicians from Berlin, Order of Merit of the Federal Republic of Germany
ANZUS	Military alliances, Military of Australia, Military of the United States
All Hail to Massachusetts	Music, Massachusetts, Songs
Renault Twingo	Renault automobiles, 1990s automobiles, 2000s automobiles, 2010s automobiles
Sally Carman	1981 births, Living people, English television actors, People from South Yorkshire
Vitaliy Boiko	1937 births, 2020 deaths, Ukrainian lawyers, Ukrainian politicians
Roger Holeindre	1929 births, 2020 deaths, French military people, French writers, French politicians
Yannis Tseklenis	1937 births, 2020 deaths, Fashion designers, People from Athens
Queen Anne-Marie of Greece	1946 births, Living people, Kings and queens, Greek people, People from Copenhagen
Ingrid of Sweden	1910 births, 2000 deaths, People from Stockholm, Kings and Queens of Denmark, Kings and Queens consort
Othmar Mága	1929 births, 2020 deaths, German conductors, People from Brno
Japanese dialects	Japanese language
Lucy Jarvis (producer)	1917 births, 2020 deaths, American centenarians, American television producers, Movie producers from New York City
Robert Harper (actor)	1951 births, 2020 deaths, Cancer deaths in the United States, American movie actors, American stage actors, American television actors, Actors from New York City
Jake Godbold	1933 births, 2020 deaths, American mayors, Politicians from Jacksonville, Florida, US Democratic Party politicians
Cameron, North Carolina	Towns in North Carolina
Moore County, North Carolina	18th-century establishments in North Carolina, 1784 establishments in the United States, North Carolina counties
Carthage, North Carolina	Towns in North Carolina, County seats in North Carolina
Fred Silverman	1937 births, 2020 deaths, Cancer deaths in California, American television producers, Businesspeople from New York City
Lucien Barbarin	1956 births, 2020 deaths, Cancer deaths in the United States, American trombonists, American jazz musicians, Musicians from New Orleans, Louisiana
Luboš Dobrovský	1932 births, 2020 deaths, Czech writers, Czech politicians, Political activists, Czech journalists, Communists
Pony Express	Companies of the United States, 1860 establishments in the United States, 1861 disestablishments, Postal service
Mutt & Stuff	2015 American television series debuts, 2017 American television series endings, Nickelodeon television series, English-language television programs
Gauteng	Provinces of South Africa, 1994 establishments in South Africa
North West (South African province)	Provinces of South Africa, 1994 establishments in South Africa
Čavoglave	Villages in Europe, Geography of Croatia
Oscar N. Harris	1939 births, 2020 deaths, Accountants, American mayors, Politicians from North Carolina, United States Marine Corps personnel, US Democratic Party politicians
Dunn, North Carolina	Cities in North Carolina
Newton Grove, North Carolina	Towns in North Carolina
Sampson County, North Carolina	18th-century establishments in North Carolina, 1784 establishments in the United States, North Carolina counties
Lillington, North Carolina	County seats in North Carolina, Towns in North Carolina
Clinton, North Carolina	Cities in North Carolina, County seats in North Carolina
Ian Bartholomew	1954 births, Living people, English stage actors, English television actors, Actors from Hampshire, People from Portsmouth
LibriVox	Books, Websites
Mileva Marić	Serbian scientists, Physicists, Female scientists
Wives of King Henry VIII	History of England, House of Tudor
Šibenik-Knin County	Dalmatia, Counties of Croatia
Alex Bain (actor)	2001 births, Living people, English child actors, English television actors, Actors from Lancashire
Elle Mulvaney	2002 births, Living people, English child actors, English television actors, Actors from Greater Manchester
Misurata province	Libya
Neutrality Acts of the 1930s	History of the United States
Jane Slavin	1970 births
Horn District	Districts of Lower Austria
Waidhofen an der Thaya District	Districts of Lower Austria
Young Plan	1929 in Europe, 1929 in the United States, Economy of Germany, History of Germany, Weimar Republic, World War I
Waidhofen an der Thaya	Cities and towns in Lower Austria
Yangzhou	Cities in China
Changsha	Cities in China
Hermann Ehlers	1904 births, 1954 deaths, Politicians from Berlin, German Protestants, Politicians of the Christian Democratic Union of Germany, Order of Merit of the Federal Republic of Germany
Chocolate ice cream	Chocolate, Ice cream
Northern Cape	Provinces of South Africa, 1994 establishments in South Africa
Bollinger County, Missouri	1851 establishments in Missouri, Missouri counties
Magdalena Department	Departments of Colombia
Tom Bean, Texas	Cities in Texas
Ukrainian State Film Agency	Movie organizations, Movie ratings
Peanut butter sandwich	Sandwiches
Wharram Percy	Archaeological sites in England, Villages in North Yorkshire, History of England
Shakib Khan	1979 births, Bangladeshi movie actors, Movie producers, Recipients of Bangladesh National Film Awards
Haakon Chevalier	1901 births, 1985 deaths, Translators, Writers from New Jersey
Miguel Arroyo	1966 births, 2020 deaths, Deaths from surgical complications, Mexican sportspeople, Cyclists
Homero Gómez González	1970s births, 2020 deaths, Mexican politicians, Mexican activists, Mexican engineers, Environmentalists, Murder victims
Khaled Bichara	1971 births, 2020 deaths, Road accident deaths, Egyptian businesspeople
Alexander Joseph Brunett	1934 births, 2020 deaths, American Roman Catholics, Bishops, People from Detroit, Michigan, People from Seattle, Washington
President of Slovenia	Presidents of Slovenia
Danilo Türk	1952 births, Living people, Presidents of Slovenia
Janez Drnovšek	Presidents of Slovenia, Prime Ministers of Slovenia, 1950 births, 2008 deaths, Deaths from kidney cancer, Presidents of Yugoslavia
Milan Kučan	1941 births, Living people, Presidents of Slovenia
Prime Minister of Slovenia	Prime Ministers of Slovenia
Mary Higgins Clark	1927 births, 2020 deaths, American novelists, Writers from New York City, Writers from New Jersey
Janez Stanovnik	1922 births, 2020 deaths, People from Ljubljana, Presidents of Slovenia, Economists
Dalip Kaur Tiwana	1935 births, 2020 deaths, Indian writers, Deaths from lung disease
Livingston County, Missouri	1837 establishments in Missouri, Missouri counties
Pettis County, Missouri	1833 establishments in Missouri, Missouri counties
Lilienfeld District	Districts of Lower Austria
Melk District	Districts of Lower Austria
Golling an der Erlauf	Cities and towns in Lower Austria
Keytesville, Missouri	Cities in Missouri, County seats in Missouri
Sandra Huggett	1973 births, English television actors, People from Herefordshire, Actors from Surrey, Living people
Philip Hill-Pearson	Actors from West Yorkshire, 1987 births, Living people
Simon Naylor	1983 births, Living people, English movie actors, English stage actors, English television actors, People from Bury, Actors from Greater Manchester
Lewis County, Missouri	1833 establishments in Missouri, Missouri counties
Lasagna	Italian food, Pasta
S'more	Desserts, Snack foods
Polk County, Missouri	1835 establishments in Missouri, Missouri counties
Holt County, Missouri	1841 establishments in Missouri, Missouri counties
Rainbow Butterfly Unicorn Kitty	2019 television series debuts, Nickelodeon television series, English-language television programs
Not Your Personal Army	Internet memes
Taylor, Texas	Cities in Texas
Kyle, Texas	Cities in Texas
Leander, Texas	Cities in Texas
Elgin, Texas	Cities in Texas
Lago Vista, Texas	Cities in Texas
Penguin (biscuit)	1932 establishments in the United Kingdom, Chocolate, Baked foods
System/370	Computers
Jekyll (TV series)	2000s British drama television series, 2007 British television series debuts, 2007 British television series endings, BBC television dramas, English-language television programs
Forsyth, Montana	Cities in Montana, County seats in Montana, 1876 establishments in the United States
Libby, Montana	Cities in Montana, County seats in Montana
Hardin, Montana	Cities in Montana, County seats in Montana
Mercer County, Missouri	1845 establishments in Missouri, Missouri counties
Harlowton, Montana	Cities in Montana, County seats in Montana, 1900 establishments in the United States
Malta, Montana	Cities in Montana, County seats in Montana
Henry County, Missouri	1830s establishments in Missouri, 1834 establishments in the United States, Missouri counties
Tooele, Utah	Cities in Utah, County seats in Utah
Chef Boyardee	20th-century establishments in Pennsylvania, 1928 establishments in the United States, American food companies, Pasta
Mike Moore	1949 births, 2020 deaths, Ambassadors to the United States, Order of Australia, Politicians from North Island, Prime Ministers of New Zealand, World Trade Organization Directors-General, Leaders of the Opposition (New Zealand)
Pitt County, North Carolina	1760s establishments in North Carolina, 1760
Ayden, North Carolina	Towns in North Carolina
Andy Gill	1956 births, 2020 deaths, English rock guitarists, English songwriters, Punk musicians, Record producers, Deaths from pneumonia, Disease-related deaths in London
Kent Riley	British actors
Manimuthar River (tributary of Thamirabarani)	Rivers of Tamil Nadu
Maurice Sanford Fox	2020 deaths, 1924 births, American geneticists, American biologists, American educators, Scientists from New York City
Sophie Thompson	1962 births, Actors from London, British movie actors, British television actors, Living people, British stage actors
Péter Andorai	1948 births, 2020 deaths, Actors from Budapest
Ilie Bărbulescu (footballer)	1957 births, 2020 deaths, Deaths from myocardial infarction, Romanian footballers
Jevons paradox	Economics
Jaswant Singh Kanwal	1919 births, 2020 deaths, Centenarians, Indian novelists, Indian essayists, Short story writers
Nodaway County, Missouri	1845 establishments in Missouri, Missouri counties
Disappearance of Morgan Nick	1988 births, 2015 deaths, Missing people
Pou (video game)	2012 video games, Science fiction, Android (operating system) games, IOS games, Pets
New Madrid County, Missouri	1812 establishments in Missouri Territory, Missouri counties
Peter Dodds McCormick	1830s births, 1916 deaths, Australian composers, Australian educators, People from Sydney, Presbyterians
Laclede County, Missouri	1849 establishments in Missouri, Missouri counties
Maries County, Missouri	1855 establishments in Missouri, Missouri counties
Vernon County, Missouri	1855 establishments in Missouri, Missouri counties
Dominic Thiem	1993 births, Living people, Austrian sportspeople, Male tennis players, People from Lower Austria
Kristina Mladenovic	1993 births, Living people, Australian Open champions, Female tennis players, French Open champions, French tennis players, Wimbledon champions
Madison County, Missouri	1818 establishments in Missouri Territory, Missouri counties
Jefferson County, Missouri	1818 establishments in Missouri Territory, Missouri counties
Murray Halberg	1933 births, Living people, Members of the Order of the British Empire, Olympic gold medalists, Sportspeople from North Island
Film4 Productions	Channel 4, Movie production, Companies of the United Kingdom
Lawrence County, Missouri	1845 establishments in Missouri, Missouri counties
Ste. Genevieve County, Missouri	1812 establishments in Missouri Territory, Missouri counties
Johnson County, Missouri	1830s establishments in Missouri, 1834 establishments in the United States, Missouri counties
Louis Emerick	1960 births
Floating exchange rate	Economics
Fixed exchange rate system	Economics
Newport, Pennsylvania	Boroughs in Pennsylvania
Potter County, Pennsylvania	1820s establishments in Pennsylvania, 1826 establishments in the United States, Pennsylvania counties
Perry County, Pennsylvania	1820s establishments in Pennsylvania, 1820 establishments in the United States, Pennsylvania counties
