Kenning	Medieval literature, Poetry, Iceland
Lloyd Morrisett	1929 births, American psychologists, Living people, Scientists from Oklahoma City, American educators, American philanthropists
Lizzo	1988 births, Living people, American singer-songwriters, American rap musicians from Michigan, American hip hop musicians, American R&B singers, American pop singers, American soul singers, American feminists, American voice actors, American movie actors, American LGBT rights activists, Singers from Detroit, Michigan, Writers from Detroit, Michigan, Singers from Minnesota, Writers from Minnesota, Musicians from Minnesota, Musicians from Detroit, Michigan, Actors from Detroit, Michigan, Actors from Minneapolis, Minnesota, African American musicians
Ubirajara Penacho dos Reis	Brazilian musicians, 1934 births, 2019 deaths, Deaths from stroke
Jô Soares	1938 births, Living people, Brazilian television actors, Brazilian writers, Brazilian musicians, Brazilian artists, Painters, Brazilian television presenters, Brazilian movie directors, People from Rio de Janeiro
Thor Bjarne Bore	1938 births, 2019 deaths, Deaths from pneumonia, Norwegian politicians, Norwegian businesspeople, Editors
Édison Realpe	1996 births, 2019 deaths, Road accident deaths, Ecuadorian footballers
Esmeraldas, Ecuador	Cities in Ecuador
Emanuel Ungaro	1933 births, 2019 deaths, French fashion designers
Manfred Stolpe	1936 births, 2019 deaths, Deaths from liver cancer, Cancer deaths in Germany, Cancer survivors, German politicians
Werner Klumpp	1928 births, 2021 deaths, German politicians
Erwin Teufel	1939 births, Living people, Politicians of the Christian Democratic Union of Germany, Politicians from Baden-Württemberg
Berndt Seite	1940 births, Living people, German politicians
Harald Ringstorff	1939 births, Living people, Politicians of the Social Democratic Party of Germany, Politicians from Mecklenburg-Vorpommern
Wolfgang Clement	1940 births, 2020 deaths, Deaths from lung cancer, German politicians, People from North Rhine-Westphalia
Bernhard Vogel	1932 births, Living people, German politicians
Tino Chrupalla	1975 births, German politicians, Living people
Malu Dreyer	1961 births, Living people, Politicians of the Social Democratic Party of Germany, Politicians from Rhineland-Palatinate
Norbert Walter-Borjans	Living people, 1952 births, German economists, German politicians
Saskia Esken	Living people, 1961 births, German politicians
Gesine Schwan	1943 births, Living people, German politicians
Kurt Biedenkopf	1930 births, 2021 deaths, Politicians from Saxony, People from Rhineland-Palatinate
Werner Münch	1940 births, Living people, German politicians
Wolfgang Böhmer	1936 births, Living people, German politicians
Björn Engholm	1939 births, Politicians of the Social Democratic Party of Germany, People from Lübeck, Living people
Josef Duchac	1938 births, Living people, German politicians
Michael Müller (politician)	1964 births, Politicians of the Social Democratic Party of Germany, Living people, Mayors of Berlin
Walter Momper	1945 births, Living people, Mayors of Berlin
Eberhard Diepgen	1941 births, Living people, Mayors of Berlin
Henning Scherf	1938 births, Living people, German politicians
Hans-Ulrich Klose	1937 births, Living people, German politicians
Klaus von Dohnanyi	1928 births, Living people, German politicians
Alfons Pawelczyk	1933 births, Living people, German politicians
Hans-Jürgen Krupp	1933 births, Living people, German politicians, German economists
Shankha Ghosh	1932 births, 2021 deaths, Indian poets, Deaths from the COVID-19 pandemic in India
White Christmas (movie)	1954 comedy movies, 1950s musical movies, American musical comedy movies, Movies set in the 1940s, Movies directed by Michael Curtiz
Caution (Mariah Carey album)	2018 albums, Mariah Carey albums, Electronica albums, Hip hop albums, R&B albums
K. Michelle	Atlantic Records artists, Living people, Singers from Memphis, Tennessee, Year of birth missing (living people), Participants in American reality television series
Masked tree frog	Frogs, Animals of South America
Amden	Municipalities of St. Gallen, Ski areas and resorts in Switzerland, Villages in St. Gallen
Benken, St. Gallen	Municipalities of St. Gallen
Schmerikon	Municipalities of St. Gallen
Kaltbrunn	Municipalities of St. Gallen
Rieden, Switzerland	Former municipalities of St. Gallen, Villages in St. Gallen
Jona	Former municipalities of St. Gallen
Krisztián Zahorecz	1975 births, 2019 deaths, Hungarian footballers
Bentley Kassal	1917 births, 2019 deaths, American centenarians, American lawyers, State legislators of the United States, Politicians from New York City, US Democratic Party politicians
Jürgen Kühling	German judges, German lawyers, German politicians, 1934 births, 2019 deaths
Cameron Monaghan	1993 births, Living people, American movie actors, American television actors, American voice actors, American child actors, American video game actors, American models, Actors from Santa Monica, California, Actors from Los Angeles, California, Actors from Florida, People from Boca Raton, Florida
Viagra Boys	Stockholm, Swedish rock music groups, 2016 establishments
Wealth inequality in the United States	Economy of the United States, Society, Capitalism, Economic indicators
Makhnovia	Anarchism, Ukraine
Paris Agreement	Treaties and Conventions, History of the United Nations
Mr. Niebla	1973 births, 2019 deaths, Deaths from blood disease, Mexican professional wrestlers, Sportspeople from Mexico City
Diane Watson	1933 births, Living people, Ambassadors of the United States, United States representatives from California, American psychologists, American educators, Politicians from Los Angeles, California, Scientists from Los Angeles, California, Writers from Los Angeles, California, US Democratic Party politicians
William P. Curlin Jr.	1933 births, Living people, United States representatives from Kentucky, US Democratic Party politicians
Ed Foreman	1933 births, Living people, United States representatives from Texas, United States representatives from New Mexico, Businesspeople from Texas, US Republican Party politicians
Portales, New Mexico	Cities in New Mexico, County seats in New Mexico
Roosevelt County, New Mexico	New Mexico counties
No Fun at All	1991 establishments, Punk bands, Swedish musical groups
Jesse & Joy	1982 births, 1986 births, Living people, Musical duos, Mexican singer-songwriters, Mexican musicians, Folk singers, Folk musicians, Rock singers, Rock musicians, Musicians from Mexico City, Singers from Mexico City, LGBT musicians, LGBT singers, Lesbians
Variety (magazine)	Media in the United States, Companies based in Los Angeles, 1905 establishments in the United States, 1900s establishments in California
Jehan Sadat	1933 births, 2021 deaths, Researchers, Feminists, Egyptian writers, First Ladies of Egypt, People from Cairo, Deaths from cancer
Noor Ali Tabandeh	1927 births, 2019 deaths, Human rights activists, Religious leaders, People from Tehran
David Rice Atchison	1807 births, 1886 deaths, United States senators from Missouri, Presidents pro tempore of the United States Senate, Politicians from Kentucky, People from Lexington, Kentucky, US Democratic Party politicians
Gower, Missouri	Cities in Missouri
Plattsburg, Missouri	Cities in Missouri, County seats in Missouri
Clinton County, Missouri	Missouri counties, 1833 establishments in Missouri
Buchanan County, Missouri	1838 establishments in Missouri, Missouri counties
Platte County, Missouri	Missouri counties, 1838 establishments in Missouri
Platte City, Missouri	1840s establishments in Missouri, 1843 establishments in the United States, Cities in Missouri, County seats in Missouri
Cass County, Missouri	Missouri counties, 1835 establishments in Missouri
Harrisonville, Missouri	Cities in Missouri, County seats in Missouri
Barney & Friends	1992 American television series debuts, 2010 American television series endings, American children's television series, English-language television programs
Shirley Douglas	1934 births, 2020 deaths, Deaths from pneumonia, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian voice actors, Canadian activists, People from Saskatchewan
