Leo Tindemans	1922 births, 2014 deaths, Belgian mayors, Belgian Roman Catholics, Christelijke Volkspartij politicians, Disease-related deaths in Belgium, Flemish politicians, Former MEPs, Government ministers of Belgium, MEPs for Belgium, People from Antwerp (province), Prime Ministers of Belgium
Steven Adler	American drummers, American heavy metal musicians, American rock musicians, Jewish American musicians, Musicians from Cleveland, Ohio, Rock and Roll Hall of Fame inductees, 1965 births
Black operation	Espionage
Covert operation	Security
Spy movie	Spy movies
Diana Rigg	1938 births, 2020 deaths, Deaths from lung cancer, BAFTA Award winning actors, Emmy Award winning actors, Tony Award winning actors, Actors from Yorkshire, Actresses who played Bond girls, English movie actors, English stage actors, English television actors, People from Doncaster, Cancer deaths in London
Emma Peel	Fictional British people, Television characters, Spies, Movie characters
Steubenville High School rape case	2012 crimes in the United States, 2010s in Ohio, Rape, Trials in the United States
Count of Soissons	Titles in the old Kingdom of France
Pink Floyd—The Wall	Pink Floyd, 1982 movies, Movies directed by Alan Parker
Margot Robbie	1990 births, Living people, Actors from Queensland, Australian movie actors, Australian television actors, Australian voice actors, Australian movie producers, Gold Coast, Queensland
Soledad O'Brien	Television personalities from New York, American journalists, 1966 births, Living people, Emmy Award winners
Multilevel marketing	Marketing
Naomi Wolf	1962 births, Living people, Alumni of the University of Oxford, American feminist writers, Jewish American writers, Jewish feminists, Writers from San Francisco, Yale University alumni
Do What U Want	Lady Gaga songs, 2013 songs
Cliff Carpenter	1915 births, 2014 deaths, Deaths from natural causes, Disease-related deaths in Connecticut, American movie actors, American television actors, American radio actors, Actors from San Francisco
Death by natural causes	Deaths from natural causes
Frank Marth	1922 births, 2014 deaths, Deaths from heart failure, Deaths from Alzheimer's disease, American movie actors, American television actors, American stage actors, Actors from New York City
Paracanthurus	Perciformes
John Horsley (actor)	1920 births, 2014 deaths, Actors from Essex, Deaths from natural causes, English movie actors, English stage actors, English television actors
Anjali Devi	1927 births, 2014 deaths, Deaths from multiple organ failure, Indian movie actors, Indian movie producers, People of British India
Mihai Fotino	1930 births, 2014 deaths, Deaths from myocardial infarction, Entertainers from Bucharest, Romanian movie actors, Romanian television actors, Romanian stage actors
Harry Caray	1914 births, 1998 deaths, Deaths from cardiac arrest, American radio personalities, People with foods named after them, Sportspeople from St. Louis, Missouri
Kang Young-hoon	1922 births, 2016 deaths, Prime Ministers of South Korea
Anker Jørgensen	1922 births, 2016 deaths, Prime Ministers of Denmark, People from Copenhagen
Miloš Jakeš	1922 births, 2020 deaths, Presidents of Czechoslovakia
Parker	2013 action movies, 2013 crime movies, 2013 thriller movies, 2010s action thriller movies, 2010s crime thriller movies, English-language movies, Movies set in Chicago, Illinois, Movies set in Florida, Movies set in Ohio, Murder in movies
Killer Elite	2010s crime thriller movies, 2010s crime drama movies, 2011 movies
Puebloan peoples	Native American, Ethnic groups in the United States
Nadya Suleman	People from California, American dancers, 1975 births, Living people
Loki (comics)	Marvel Comics supervillains, Fictional characters introduced in the 1940s
Division of Riverina	Electoral divisions of Australia, New South Wales, 1901 establishments in Australia, 1984 disestablishments in Australia, 1992 establishments in Australia
Nonverbal learning disorder	Neurology, Learning
Red snapper	Edible fish, Perciformes
Ed Schultz	American radio personalities, American television personalities, American political commentators, Television talk show hosts, American progressives, People from Norfolk, Virginia, 1954 births, 2018 deaths
Corkscrew	Food utensils, Tools
Ronan Farrow	1987 births, Living people, American activists, People from New York City, Woody Allen
People v. Jackson	2005 in the United States, People accused of child sexual abuse, Michael Jackson, Trials in the United States
Oswiu of Northumbria	610s births, 670 deaths, Kings and queens, Anglo-Saxons
