Crain Communications Building	Skyscrapers in Chicago, 1984 establishments in the United States, 1980s establishments in Illinois
Cheshire, Connecticut	Towns in Connecticut, 1780 establishments in North America, 1780s establishments in Connecticut
Great hornbill	Birds of Asia, Coraciiformes
New Haven County, Connecticut	Connecticut counties, 1666 establishments in Connecticut
Dutch Empire	Colonialism, Overseas empires, History of the Netherlands
South Windham, Connecticut	Census-designated places in Connecticut
Eastford, Connecticut	Towns in Connecticut, 1847 establishments in the United States, 19th-century establishments in Connecticut
Hampton, Connecticut	Towns in Connecticut, 1786 establishments in the United States
Killingly, Connecticut	Towns in Connecticut, 1700s establishments in Connecticut, 1708 establishments
Danielson, Connecticut	Towns in Connecticut
Plainfield, Connecticut	Towns in Connecticut, 1699 establishments, 17th-century establishments in Connecticut, 1690s establishments in the Thirteen Colonies
Central Village, Connecticut	Towns in Connecticut, National Register of Historic Places
David Bailie	1937 births, 2021 deaths, British movie actors, British television actors, British stage actors, British voice actors, British photographers, South African actors, People from Stockport, Greater Manchester, Actors from Greater Manchester
Antonio Cesaro	1980 births, Professional wrestlers, Living people, Swiss sportspeople, WWE wrestlers, People from Lucerne
Sumiyoshi-jinja	Shinto shrines, Buildings and structures in Japan
Coraciiformes	Coraciiformes
Kanpi	Towns in South Australia, Indigenous Australian communities, Pitjantjatjara
James Daly	1918 births, 1978 deaths, Deaths from heart failure, American movie actors, American television actors, American stage actors, American radio actors, American voice actors, Actors from Wisconsin, Emmy Award winning actors
Tim Daly	1956 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American movie directors, American television directors, American movie producers, American television producers, Actors from New York City, Movie directors from New York, Movie producers from New York
Nyapaṟi, South Australia	Towns in South Australia, Indigenous Australian communities, Pitjantjatjara, 1970s establishments in Australia
House Husbands	Australian television, 2012 television series debuts, Drama television series, 2010s establishments in Australia, English-language television programs
Orlando Jordan	1974 births, African-American wrestlers, American professional wrestlers, Bisexual people, Former WWE wrestlers, LGBT African Americans, LGBT people from New Jersey, LGBT sportspeople, Living people, Sportspeople from Miami, Florida, Sportspeople from Virginia, Total Nonstop Action Wrestling alumni
Bina Shah	Living people, Pakistani people, Pakistani writers, Year of birth missing (living people), People from Karachi
Nadeem Aslam	1966 births, Living people, British novelists, Pakistani writers
Home on the Range (2004 movie)	2004 movies, 2004 animated movies, American animated movies, American family movies, Disney animated movies, Movies about animals
Chicken Little (2005 movie)	2005 animated movies, 2005 computer-animated movies, 2005 science fiction movies, 2005 comedy movies, 2000s 3D movies, American animated movies, American family movies, American science fiction movies, American comedy movies, Disney animated movies, Movies about animals, Buena Vista International movies, Movies composed by John Debney
Bolt (2008 movie)	2008 movies, 2008 animated movies, 2000s 3D movies, 2000s adventure movies, 2008 comedy-drama movies, 2000s road movies, American animated movies, American comedy-drama movies, American family movies, American road movies, Computer-animated movies, Disney animated movies, English-language movies, Movies about cats, Movies about dogs, Movies set in Las Vegas, Movies set in Los Angeles, California, Movies set in New York
Dokkyo Saitama High School	Schools, Education in Japan, 1982 establishments in Japan
Imanpa, Northern Territory	Indigenous Australian communities, Towns in the Northern Territory, Pitjantjatjara, 1978 establishments in Australia
Ashfaq Ahmad	1925 births, 2004 deaths, Deaths from gallbladder cancer, Pakistani writers
Gujranwala	Punjab (Pakistan), Cities in Pakistan
Alain Chevrier	1961 births, Canadian ice hockey goaltenders, Chicago Blackhawks players, Detroit Red Wings players, Ice hockey people from Ontario, Living people, New Jersey Devils players, Pittsburgh Penguins players, Winnipeg Jets (1979–96) players, International Hockey League (1945–2001) players, Quebec Major Junior Hockey League players
Lion's mane jellyfish	Jellyfish
Madamanuru	Villages in Andhra Pradesh
Raëlism	New religious movements, Extraterrestrial life
Unitarian Universalism	Religions
Eckankar	Meditation, New religious movements
Anthony Bell (director)	1973 births, American animators, American movie directors, American screenwriters, The Simpsons, Living people
Aso-jinja	Shinto shrines
Mandarin duck	Birds of China, Ducks
Urial	Mammals of Asia, Bovids
Robert FitzRoy	1805 births, 1865 deaths, Royal Navy officers, People from Suffolk, Fellows of the Royal Society, Meteorologists, Sailors
Willem Barents	Dutch explorers, 1550 births, 1597 deaths
Lady Louise Windsor	2003 births, Living people, British royalty, People from Surrey, House of Windsor
Byte order mark	Computing
Ahmad Faraz	1931 births, 2008 deaths, Pakistani writers, Urdu poets, Muslims
Thomas Hooker	1580s births, 1647 deaths, American Calvinists, Christian ministers, Colonial Americans, Congregationalists, People from Leicestershire
Kim Peek	1951 births, 2009 deaths, Cardiovascular disease deaths in the United States, Deaths from myocardial infarction, Disease-related deaths in Utah, People from Salt Lake City, Utah
Adam Carolla	1964 births, Living people, Actors from Los Angeles County, California, American radio personalities, American television talk show hosts, American voice actors, Carpenters, Comedians from Los Angeles, California, Participants in American reality television series
Crank Yankers	American comedy television series, 2002 American television series debuts, 2007 American television series endings, American television series revived after cancellation
WWE Hell in a Cell	World Wrestling Entertainment pay-per-view events, 2009 establishments
Toco Toucan	Birds of South America
Richard Ponsonby-Fane	1878 births, 1937 deaths, English historians, Gravesend, Japanologists, People educated at Harrow School, Writers from Kent
Tony Barbieri	1963 births, American stand-up comedians, American voice actors, Comedians from Massachusetts, Living people, Writers from Massachusetts, Emmy Award winners
Robert N. Proctor	1954 births, Living people, Harvard University alumni, American historians
Albano Harguindeguy	1927 births, 2012 deaths, Argentine generals, Deaths from natural causes
Nicotiana	Solanaceae
Terry Callier	1945 births, 2012 deaths, Deaths from cancer, American guitarists, American musicians, American singer-songwriters, American folk musicians, American jazz musicians, American soul musicians, Musicians from Chicago, Singer-songwriters from Chicago
Johann von Leers	1902 births, 1965 deaths, German academics, German historians, German journalists, Majors, Muslims, People from Mecklenburg-Vorpommern, SS officers, Waffen-SS people
Indian Cobra	Reptiles of Pakistan, Elapidae
The Princess and the Frog	2009 comedy-drama movies, 2009 animated movies, 2000s fantasy movies, 2000s musical movies, 2000s romantic comedy movies, African-American movies, American animated movies, American buddy movies, American comedy-drama movies, American family movies, American musical comedy movies, American musical fantasy movies, American romantic comedy movies, Disney animated movies, English-language movies, Movies based on fairy tales, Movies set in the 1920s, Movies set in Louisiana
Frank Potenza	1933 births, 2011 deaths, American television personalities, American police officers
Guillermo Rodriguez	1971 births, Living people, American television personalities, Mexican entertainers
Tangled	2010 movies, 2010 animated movies, 2010s fantasy movies, 2010s musical movies, American animated movies, American family movies, American musical comedy movies, American musical fantasy movies, Computer-animated movies, Disney animated movies, Movies based on fairy tales, Movies composed by Alan Menken
Wreck-It Ralph	2010s action movies, 2010s adventure movies, 2012 animated movies, 2012 comedy movies, 2010s fantasy movies, 2012 science fiction movies, American animated movies, American action comedy movies, American family movies, American fantasy-comedy movies, American science fiction movies, Computer-animated movies, Disney animated movies, English-language movies, Movies about revenge
Hina Faisal Imam	1956 births, Living people, Pakistani people, Pakistani writers, Poets
Barry Shabaka Henley	1954 births, American movie actors, American stage actors, American television actors, Actors from New Orleans, Louisiana, American comedians, Living people
Omar Gooding	1976 births, American television actors, Comedians from Los Angeles, California, Actors from Los Angeles, California, Living people
Peugeot 607	Peugeot automobiles, Front wheel drive vehicles, 2000s automobiles, 2010s automobiles
Cam Barker	1986 births, American Hockey League players, Canadian ice hockey defencemen, Chicago Blackhawks players, Edmonton Oilers players, Ice hockey people from Manitoba, Living people, Medicine Hat Tigers players, Minnesota Wild players, Sportspeople from Winnipeg, Vancouver Canucks players
Michal Barinka	1984 births, Living people, Chicago Blackhawks players, Ottawa Senators players, Czech ice hockey players, American Hockey League players, Ice hockey defencemen
Charsfield	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Chediston	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Chillesford	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Cransford	Suffolk Coastal, Civil parishes in Suffolk, Villages in Suffolk
Milan Bartovič	1981 births, American Hockey League players, Brandon Wheat Kings players, Buffalo Sabres players, Chicago Blackhawks players, Living people, Slovak ice hockey players, Tri-City Americans players, Swedish Hockey League players
Impatiens	Ericales, Rapid plant movement
Radim Bičánek	1975 births, Living people, Chicago Blackhawks players, Columbus Blue Jackets players, Ottawa Senators players, Czech ice hockey players, American Hockey League players, International Hockey League (1945–2001) players, Ontario Hockey League players, Ice hockey defencemen
Peter Bondra	1968 births, Atlanta Thrashers players, Chicago Blackhawks players, Living people, Ottawa Senators players, Slovak ice hockey players, Washington Capitals players, International Hockey League (1945–2001) players
Toby	Given names
Jared Padalecki	1982 births, Living people, American television actors, Actors from San Antonio, Texas
Sněžka	Mountains of Europe, Geography of the Czech Republic
New England town	New England
List of governors of Connecticut	Connecticut, Governors of Connecticut
Jhansi	Cities and towns in Uttar Pradesh
Pinaceae	Conifers
Center of population	Demography
Connecticut Colony	1636 establishments, 1776 disestablishments, 1630s establishments in Connecticut, 1770s disestablishments in the United States, Disestablishments in Connecticut
Coventry, Connecticut	Towns in Connecticut, 1712 establishments in the Thirteen Colonies
Old Saybrook, Connecticut	Towns in Connecticut, 1854 establishments in the United States, 1850s establishments in Connecticut
Wethersfield, Connecticut	Towns in Connecticut, 1822 establishments in the United States, 19th-century establishments in Connecticut
Ivan Droppa	1972 births, Chicago Blackhawks players, Living people, Slovak ice hockey players, American Hockey League players, International Hockey League (1945–2001) players, Ice hockey defencemen
Nyangatjatjara College	Schools in Australia, Pitjantjatjara, Northern Territory, 1997 establishments, 1990s establishments in Australia
Lexington Barbecue Festival	Festivals in the United States, 1984 establishments in the United States, 20th-century establishments in North Carolina, North Carolina
Lorentz transformation	Equations, Physics, Functions and mappings, Time
Transformation	Functions and mappings, Geometry
Ken Page	1954 births, Comedians from Missouri, Living people, American movie actors, American television actors, American video game actors, Actors from St. Louis, Missouri
Child-headed family	Family
The Reluctant Dragon (movie)	1941 movies, Disney animated movies, American animated movies, American fantasy movies
Victory Through Air Power (movie)	1943 movies, American animated movies, Disney animated movies, World War II
So Dear to My Heart	Disney movies, 1949 movies
Mary Poppins (movie)	1964 movies, 1960s musical movies, American family movies, American musical fantasy movies, Disney movies, English-language movies, Movies set in London, Movies set in the 1910s, Movies that won the Best Original Song Academy Award
T. J. Miller	1981 births, Actors from Denver, Colorado, American stand-up comedians, Living people, American movie actors, American television actors, American voice actors
Bedknobs and Broomsticks	1971 movies, American musical movies, American fantasy movies, American family movies, Disney movies
Billy Gardell	1969 births, actors from Pittsburgh, Pennsylvania, Living people, American movie actors, American television actors, American voice actors
Judah Friedlander	1969 births, Living people, American movie actors, American television actors, American voice actors, Actors from Maryland
Chris Wedge	Actors from New York, Comedians from New York, Living people, American movie actors, American television actors, American voice actors, People from Binghamton, New York, 1957 births
Karen Disher	American voice actors, American comedians, Living people, American movie actors, American television actors, 1972 births
Seann William Scott	Actors from Minnesota, American comedians, Living people, American movie actors, American television actors, American voice actors, 1976 births
Ali al-Hajvery	990 births, 1077 deaths, Punjabi people, Afghan writers, Asian Sufis, Muslims, Writers, Pakistani culture
Christopher McDonald	1954 births, Actors from New York City, Comedians from New York City, Living people, American movie actors, American television actors
Pete's Dragon (1977 movie)	1977 movies, American family movies, American fantasy movies, American musical movies, Disney movies, Movies about animals, Movies set in Maine, Movies directed by Don Chaffey
Al Roker	1954 births, Comedians from New York City, Living people, American movie actors, American television presenters, American television actors, American video game actors, Actors from New York City, People with cancer, American bloggers
Farid-ud-din Ganj Shakar	1179 births, 1266 deaths, Punjabi people, Asian Sufis, Muslims, Mystics
Maurice LaMarche	1958 births, Canadian voice actors, Canadian comedians, Living people, Canadian movie actors, Canadian television actors, Actors from Toronto, Emmy Award winning actors
Mount Conner	Mountains of the Northern Territory
Crime in Afghanistan	Crime in Afghanistan
Crime in Armenia	Armenia, Crime by country
Crime in Bahrain	Bahrain, Crime by country, Crime in Asia
Glires	Mammals
Euarchonta	Mammals
Crime in Bangladesh	Bangladesh, Crime by country, Crime in Asia
Babcock Street (MBTA station)	Buildings and structures in Boston, Massachusetts, Railway stations in the United States
Peshtigo Fire	Fires, Natural disasters in the United States, 19th century in Wisconsin, 1871 in the United States
Crime in Belgium	Belgium, Crime by country, Crime in Europe
Richard Carmona	1949 births, Living people, Surgeon Generals of the United States, American physicians, Politicians from Arizona, Politicians from New York City
Crime in Bhutan	Bhutan, Crime by country, Crime in Asia
Crime in Brazil	Crime by country, Brazil
Crime in Bulgaria	Bulgaria, Crime by country, Crime in Europe
Surgeon General of the United States	Surgeon Generals of the United States
Crocus	Iridaceae, Flowers
Student's t-test	Statistics, Tests
Pakpattan	Cities in Pakistan, Punjab (Pakistan)
1790 United States Census	United States Census, 1790, 1790s in the United States
1800 United States Census	1800, 1800s in the United States, United States Census
1810 United States Census	1810, 1810s in the United States, United States Census
1820 United States Census	1820 in the United States, United States Census
Mekan clan	Punjabi people, Punjab (Pakistan), Ethnic groups in Pakistan, Pakistani tribes
1830 United States Census	1830 in the United States, United States Census
1840 United States Census	1840, 1840s in the United States, United States Census
1850 United States Census	1850, 1850s in the United States, United States Census
1860 United States Census	1860 in the United States, United States Census
Talokar	Villages in Pakistan, Khyber Pakhtunkhwa
Awan	Abrahamic religions
Dervish	Sufism, Ritual dances
Hazara	Khyber Pakhtunkhwa
Don Dunstan	1926 births, 1999 deaths, Premiers of South Australia, Fijian people, People from Adelaide, Deaths from cancer, Australian Labor Party politicians, University of Adelaide alumni
David Tonkin	1929 births, 2000 deaths, Premiers of South Australia, Liberal Party of Australia politicians, People from Adelaide
Kashan	Cities in Iran, Isfahan Province
Great Victoria Desert	Deserts of Australia
Natanz	Cities in Iran, Isfahan Province
Kings Canyon (Australia)	Protected areas of the Northern Territory, National parks in Australia, Canyons
Ollie	Skateboarding
Madagascar (2005 movie)	2005 animated movies, 2005 computer-animated movies, American animated movies, 2000s family movies, DreamWorks Animation movies, DreamWorks Pictures movies, Madagascar (franchise), Movies about animals, Movies composed by Hans Zimmer, Movies set in Africa, Movies set in New York, English-language movies
Peter Griffin	Fictional characters introduced in 1999, Family Guy characters
H. Paul Varley	Living people, Japanologists, American historians, Columbia University faculty
Hansō Sōshitsu	1923 births, Living people, Japanese people
Sen Sōshitsu	Japanese culture
Brassica rapa	Brassicaceae
Energy transition	Energy
Sensō Sōshitsu	1622 births, 1697 deaths, Japanese people
Metabolic rate	Metabolism
Kashgar	Cities in China
Conrad Vernon	1968 births, Living people, People from Lubbock, Texas, American movie directors, American voice actors, Comedians from Texas, Movie producers from Texas
Programming paradigm	Computer programming
Qadiri	Islam, Sufic orders
Suhrawardi	Islam, Sufic orders
Naqshbandi	Schools of Islamic law, Sufic orders
Mevlevi	Schools of Islamic law, Sufic orders
1870 United States Census	1870, 1870s in the United States, United States Census
1880 United States Census	1880, 1880s in the United States, United States Census
Frank Yamma	Indigenous Australian musicians, Living people, Australian singer-songwriters, Musicians from the Northern Territory, Australian guitarists, Pitjantjatjara, 1960s births, Australian folk musicians, People from Alice Springs
1890 United States Census	United States Census, 1890
1900 United States Census	1900 in the United States, United States Census
Chishti	Islam, Sufic orders
1910 United States Census	1910 in the United States, United States Census
1920 United States Census	United States Census, 1920 in the United States
1930 United States Census	1930 in the United States, United States Census
1940 United States Census	1940, 1940s in the United States, United States Census
Moin-ud-din Chishti	1141 births, 1230 deaths, Asian Sufis, Muslims
David Lean	Academy Award winning directors, British movie editors, English movie directors, English movie producers, English screenwriters, Golden Globe Award winning directors, Writers from Surrey, 1908 births, 1991 deaths
Isaac Yamma	1940 births, 1990 deaths, Australian guitarists, Australian singer-songwriters, Indigenous Australian musicians, Musicians from the Northern Territory, Pitjantjatjara, Australian country musicians
Bicentenaria	Dinosaurs of South America, Cretaceous dinosaurs, Coelurosaurs
Elasticity of substitution	Economics
Suicide Silence	2000s American music groups, 2010s American music groups, Deathcore bands, Musical groups from California, People from Riverside, California, 2002 establishments in the United States, Musical groups established in 2002, 2000s establishments in California
Kirklees	West Yorkshire
Helen Hardacre	1949 births, Living people, Japanologists, American historians
Shandy	Beer
Tjunkaya Tapaya	1947 births, Living people, Indigenous Australian artists, Australian painters, Artists from South Australia, Pitjantjatjara, Weavers, Textile artists, Australian printmakers, Ceramists
1968 Atlantic hurricane season	Atlantic hurricane seasons, 1968
Basil Hall Chamberlain	1850 births, 1935 deaths, Foreign advisors to the government in Meiji-period Japan, Japanologists, British historians
The Gherkin	Architectural styles, Buildings and structures in London
Pancho Villa	1878 births, 1923 deaths, Assassinated people, Generals, Mexican military people
Order of the Rising Sun	1875 establishments in Asia, Orders, decorations, and medals, 1870s establishments in Japan
Marina City	Skyscrapers in Chicago, 1964 establishments in the United States, 1960s establishments in Illinois
Raul Julia	1940 births, 1994 deaths, Deaths from stomach cancer, Deaths from stroke, Puerto Rican actors, Puerto Rican movie actors, Puerto Rican television actors, Voice actors, Stage actors, Radio actors, Actors from New York City, Golden Globe Award winning actors, Emmy Award winning actors, Screen Actors Guild Award winners, People from San Juan, Puerto Rico
Shelley Berman	1925 births, 2017 deaths, Actors from Chicago, American educators, American movie actors, American poets, American radio actors, American stage actors, American teachers, American television actors, American voice actors, Comedians from Chicago, Deaths from Alzheimer's disease, Disease-related deaths in California, Grammy Award winners, Jewish American actors, Jewish American comedians, Jewish American writers, Jewish screenwriters, Screenwriters from Chicago, Television personalities from Chicago, Writers from Chicago
Ole Kirk Christiansen	1891 births, 1958 deaths, Carpenters, Danish businesspeople, Deaths from myocardial infarction, Inventors
Beau Bridges	1941 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Los Angeles, California, Movie directors from California, Golden Globe Award winning actors, Emmy Award winning actors
Fred Haise	1933 births, Living people, American astronauts, Apollo astronauts, Scientists from Massachusetts, Scientists from Mississippi, People from Biloxi, Mississippi
Gurdjieff	1866 births, 1949 deaths, Deaths from liver cancer, Armenian writers, Asian Sufis, Spirituality, Spiritual teachers, Mystics
James Brady	1940 births, 2014 deaths, American murder victims, American activists, American journalists, American crime victims, Politicians from Illinois, Writers from Illinois, White House Press Secretaries
1950 United States Census	1950 in the United States, United States Census
1960 United States Census	1960 in the United States, United States Census
1970 United States Census	1970 in the United States, United States Census
1980 United States Census	1980 in the United States, United States Census
1990 United States Census	1990 in the United States, United States Census
Ann B. Davis	1926 births, 2014 deaths, Accidental deaths from falls in the United States, Actors from New York, Actors from Pennsylvania, American movie actors, American stage actors, American television actors, American voice actors, Emmy Award winning actors, People from Erie, Pennsylvania, People from Schenectady, New York, Twin people from the United States
United States Census	United States Census
Leonard Maltin	1950 births, Living people, American historians, American journalists, American movie critics, People with Parkinson's disease, People from Teaneck, New Jersey, Writers from New Jersey, Writers from New York City
2020 United States Census	2020 in the United States, April events, United States Census
Jimmy Smits	1955 births, Living people, Actors from New York City, American movie actors, American stage actors, American television actors, American voice actors, Emmy Award winning actors, Golden Globe Award winning actors, Puerto Rican actors, Screen Actors Guild Award winners, Saturn Award winners
List of United States senators from Connecticut	United States senators from Connecticut, Lists of politicians from the United States
Interair South Africa	Airlines of South Africa, Johannesburg, 1993 establishments in Africa, 20th-century establishments in South Africa
Aligarh Muslim University	Colleges and universities in India, 1875 establishments in Asia, 1870s establishments in India
Steve Tom	1953 births, Living people, American movie actors, American television actors, Actors from Houston, Texas
List of U.S. states by GDP	Economy of the United States, Lists about U.S. states
67th Punjabis	People of British India, British India, Military of India, 1922 establishments in the United Kingdom, 1920s establishments in India, 1947 disestablishments in India, 1947 disestablishments in the United Kingdom
Johnny Hardwick	1963 births, Living people, American movie actors, American television actors, American voice actors, Comedians from Texas, American writers, American television producers, American movie producers, Actors from Austin, Texas
Darien, Connecticut	Towns in Connecticut, 1820 establishments in the United States, 19th-century establishments in Connecticut
2 Punjab Regiment	British India, Military of India, 1922 establishments in the United Kingdom, 1920s establishments in India, 1947 disestablishments in India, 1947 disestablishments in the United Kingdom
Weston, Connecticut	Towns in Connecticut, 1787 establishments in the United States, 1780s establishments in Connecticut
Pakistan Television	Entertainment in Pakistan, Government of Pakistan, 1964 establishments in Asia, 20th century establishments in Pakistan
Wawiriya Burton	1920s births, Living people, Australian painters, Indigenous Australian artists, Pitjantjatjara, Artists from South Australia
South Hampton Roads	Geography of Virginia
Gene therapy	Genetic engineering
Ruby Tjangawa Williamson	1940 births, Living people, Australian painters, Indigenous Australian artists, Pitjantjatjara, Artists from South Australia, Artists from Western Australia
Military science	Military
Brian Pimental	American animators, Living people, 1960 births, People from Massachusetts
Pituitary adenoma	Neuroendocrinology
Skull bossing	Bones, Health problems, Head (body part)
List of suicide crisis lines	Charities, Suicide, Lists
The Trevor Project	LGBT in the United States, Non-profit organizations of the United States, Suicide, West Hollywood, California, 1998 establishments in California
National Suicide Prevention Lifeline	Suicide, Organizations based in the United States
Kids Help Phone	Children, Charities
John Glover	1944 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, LGBT actors, LGBT people from New York, Gay men, Actors from New York, Actors from Maryland, People from Salisbury, Maryland, People from Kingston, New York, Tony Award winning actors
The Jed Foundation	Suicide, Non-profit organizations of the United States
Frontal bone	Bones of the skull
Acromegaly	Growth disorders, Neuroendocrinology
Nathan Lane	1956 births, Living people, Actors from New Jersey, American movie actors, American stage actors, American television actors, American voice actors, Drama Desk Award winners, Emmy Award winning actors, Gay men, LGBT actors, LGBT writers, People from Jersey City, New Jersey, Screen Actors Guild Award winners, Singers from New Jersey, Tony Award winning actors, Writers from New Jersey
Tara Strong	Biography with signature, 1973 births, Living people, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian voice actors, Canadian singers, American movie actors, American television actors, American stage actors, American voice actors, American singers, Naturalized citizens of the United States, Actors from Toronto
Ryan O'Neal	1941 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Los Angeles, California, People from Malibu, California
Prognathism	Bones, Face, Anthropology, Physical anthropology
Skin tag	Skin
Hyperhidrosis	Health problems, Integumentary system
Hemoglobin Lepore syndrome	Blood disorders, Genetic disorders
Silent stroke	Stroke
Benign paroxysmal vertigo of childhood	Migraine, Health, Children
Mangaka	Japanese culture, Manga
Menstrual migraine	Migraine
Kari Wahlgren	1977 births, Living people, American voice actors, American television actors, American video game actors, Actors from Kansas
Paul Fussell	1924 births, 2012 deaths, Deaths from Parkinson's disease, American historians, American writers, American military people, American educators, People from Pasadena, California, Purple Heart recipients
Army Burn Hall College	Colleges and universities in Pakistan, Abbottabad, 1948 establishments in Asia
Rabia Basri	717 births, 801 deaths, Muslims, Asian Sufis, Iraqi people
2011 Green Bay Packers season	National Football League seasons, Green Bay Packers, 2011 in sports, 2011 in the United States, 21st century in Wisconsin
A Goofy Movie	1995 comedy movies, 1990s animated movies, 1990s musical movies, Disney animated movies, American musical comedy movies
Doug's 1st Movie	1999 movies, 1999 animated movies, American animated movies, Disney animated movies
The Tigger Movie	2000s adventure movies, 2000 animated movies, 2000 comedy-drama movies, American adventure movies, American animated movies, American comedy-drama movies, American family movies, American musical movies, Buddy movies, 2000 comedy movies, Disney animated movies, Movies about animals, Movies based on books, Sequel movies
Daniel Baldwin	1958 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York, Movie directors from New York, Movie producers from New York
Qateel Shifai	Pakistani writers, Cinema of Pakistan, 1919 births, 2001 deaths, Urdu poets
Adventure Time	Adventure Time, English-language television programs
Btrfs	Linux, Files
Flugelhorn	Brass instruments
Loïc Vadelorge	1964 births, French historians, Versailles Saint-Quentin-en-Yvelines University faculty, Living people
Maringka Baker	1950s births, Living people, Australian painters, Indigenous Australian artists, Pitjantjatjara, Artists from South Australia, Artists from Western Australia
James Sloyan	1940 births, Living people, Actors from Indianapolis, Indiana, American television actors
Burn Hall Srinagar	Schools in India, Srinagar, 1930s establishments in India
Farid-ud-din Attar	Muslims, Asian Sufis, Persian poets, Writers, 1220 deaths
Lionel Logue	1880 births, 1953 births, Deaths from natural causes, Australian stage actors, Scientists from South Australia, Australian educators, People from Adelaide
Tamara (Spanish singer)	1984 births, Entertainers from Andalusia, People from Seville, Spanish singers
Carla Medina	1984 births, Living people, Mexican singers, People from Monterrey, Mexican television presenters
René Auberjonois	1940 births, 2019 deaths, Deaths from lung cancer, Cancer deaths in Los Angeles, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York City, Drama Desk Award winners, Tony Award winning actors
Nizam-ud-din Auliya	1238 births, 1325 deaths, Muslims, Asian Sufis, Indian people
Pendleton Ward	Adventure Time, 1982 births, Living people, American animators, American screenwriters, American musicians, American television producers, American voice actors, Musicians from Los Angeles, California, Musicians from San Antonio, Texas, Actors from Los Angeles, California, Actors from San Antonio, Texas, Writers from Los Angeles, California, Writers from San Antonio, Texas
J. G. Quintel	1982 births, Living people, American animators, American voice actors, American television producers, Actors from California, Writers from California, Emmy Award winners
Return to Never Land	2002 movies, 2002 animated movies, Sequel movies, Disney animated movies, American animated movies
Designer drug	Drugs
Royal Birmingham Society of Artists	Birmingham, Art
Piglet's Big Movie	American animated movies, 2003 animated movies, Disney animated movies, Sequel movies, Movies about animals
Gabriel o Pensador	Brazilian rap musicians, 1974 births, Living people
Teacher's Pet (movie)	2004 movies, 2004 animated movies, American animated movies, Disney animated movies
MV Bill	Brazilian rap musicians, 1974 births, Living people
Pooh's Heffalump Movie	2005 movies, Disney animated movies, Sequel movies, American animated movies, Movies about animals
Rappin' Hood	Brazilian rap musicians, 1972 births, Living people
Belle's Magical World	1998 movies, Disney animated movies, Beauty and the Beast (Disney), Sequel movies, American animated movies, Disney direct-to-video movies
Thaíde	Brazilian rap musicians, 1967 births, Living people
Xis	Brazilian rap musicians, 1972 births, Living people
The Game of the District Messenger Boy	Board games
Warta	Rivers of Poland
Aura (symptom)	Migraine, Symptoms, Neurology
Eupleridae	Feliformia
Tracey Walter	1947 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from New Jersey, Saturn Award winners, People from Jersey City, New Jersey
Montgomery Clift	1920 births, 1966 deaths, Actors from New York City, Actors from Omaha, Nebraska, American movie actors, American stage actors, American television actors, American voice actors, Cardiovascular disease deaths in New York City, Deaths from coronary artery disease, Deaths from myocardial infarction, Gay men, LGBT actors, LGBT people from New York City, People from Queens
League of Legends	2009 video games, Online games
Ibn ul-Arabi	1165 births, 1240 deaths, Muslims, Arab people, Poets
Abd al-Qadir al-Gillani	1077 births, 1165 deaths, Asian Sufis, Muslims, Religious leaders, Iranian writers
Donald Keene	1922 births, 2019 deaths, Deaths from heart failure, Columbia University alumni, Harvard University alumni, Japanologists, American historians
Katherine LaNasa	1966 births, Living people, American television actors, American movie actors, Actors from Louisiana
Ryūsaku Tsunoda	1877 births, 1964 deaths, Japanologists
Breton Party	Political parties in France, Nationalist organizations in Europe, Brittany
Minkowski spacetime	Relativity
Diane Pretty	1958 births, 2002 deaths, Deaths from motor neurone disease, Disease-related deaths in England, English activists, Euthanasia activists
Megaevolution	Evolutionary biology
Deep Impact (space mission)	NASA spacecraft, 2005 in Florida
Tempel 1	Comets
Positronium	Physics, Science
Belize Barrier Reef	Geography of Belize, World Heritage Sites in South America, Reefs
San Ignacio, Belize	Towns in Belize, 1800s establishments in North America, Establishments in Belize
San Pedro Town	Towns in Belize
Benque Viejo del Carmen	Towns in Belize
Belize dollar	Belize, Currency of North America
Venison	Meat
Paca	Rodents
Open Database License	Licenses, Databases
Habanero chili	Capsicum
Cross Country Cycling Classic	Sport in Belize, Cycling, 1928 establishments, 1920s establishments in North America, 20th-century establishments in Belize
Prosthechea cochleata	Orchids, Epiphytes
Big leaf mahogany	Belize, Meliaceae, Trees
Cape Canaveral Air Force Station	NASA, United States Air Force, Spaceports
Delta II	Rockets
Bell's palsy	Neurology, Diseases
Sauli Niinistö	Presidents of Finland, 1948 births, Living people, Current national leaders, Speakers of the Parliament of Finland
Claude Dubar	1945 births, French sociologists, Versailles Saint-Quentin-en-Yvelines University faculty, Living people
Grus	Cranes
