Collingwood, Victoria	Melbourne
Middleweight	Boxing
Moneymore	Villages in Northern Ireland
Denpasar	Cities in Indonesia, Bali
Toome	Villages in Northern Ireland, Settlements in County Antrim
Kuta	Bali, Towns in Indonesia
An Inconvenient Truth	2006 movies, Climate change, American documentary movies, Energy, Green politics, Movies that won the Best Original Song Academy Award
Gary Megson	English football managers
Matt Hardy	1974 births, American professional wrestlers, Former WWE wrestlers, Living people, Sportspeople from Raleigh, North Carolina, Total Nonstop Action Wrestling alumni, American bloggers
Kerobokan Prison	Prisons, Bali, Buildings and structures in Indonesia
Edmund Spenser	1552 births, 1599 deaths, People buried in Westminster Abbey, English poets, British poets laureate
Papuan languages	Languages
Lombok	Lombok, Islands of Indonesia, Lesser Sunda Islands, Australasia, Gondwana
The Faerie Queene	16th-century British poems, Epic poems
Torres Strait Islanders	Indigenous peoples of Australia, Queensland
Australian megafauna	Lists of animals, Animals of Australia
Omagh bombing	1998 in the United Kingdom, 1990s crimes in the United Kingdom, 1990s explosions, 1990s in Northern Ireland, 1990s murders in Europe, Attacks on buildings and structures in Northern Ireland, Attacks on buildings and structures in the 1990s, August events, Building bombings in the United Kingdom, Car and truck bombings in Europe, County Tyrone, Explosions in Northern Ireland, Irish Republican Army, Mass murder in Northern Ireland, Mass murder in the 1990s, Massacres in the United Kingdom, Terrorist incidents in the 1990s, The Troubles
Themis (hypothetical moon)	Saturn's moons
Real Irish Republican Army	Northern Ireland, Nationalist organizations in Europe, National liberation movements, Irish Republican Army, 1997 establishments in the United Kingdom, Organisations based in the United Kingdom
The Life and Times of Scrooge McDuck	Comic books, Disney
General Certificate of Secondary Education	General Certificate of Secondary Education, Education in the United Kingdom
Edo	History of Tokyo, 1457 establishments, Establishments in Japan, 1868 disestablishments in Japan, 15th century establishments in Asia
Renault Vel Satis	Renault automobiles
Korean food	Korean food
Cryptanalysis	Mathematics
International General Certificate of Secondary Education	Education
Sánchez Ramírez Province	Provinces of the Dominican Republic, 1952 establishments in the Dominican Republic
Diane Abbott	1953 births, Living people, Alumni of the University of Cambridge, BBC people, Black British people, British feminists, Democratic socialists, Labour MPs (UK), Members of the British House of Commons for English constituencies, People from Paddington, Politicians from London, UK MPs 1987–1992, UK MPs 1992–1997, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–, Women politicians
Hywel Francis	1946 births, 2021 deaths, British historians, Former Labour MPs (UK), Former members of the British House of Commons for Welsh constituencies, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015
Frank Doran	1949 births, 2017 deaths, Members of the British House of Commons for Scottish constituencies, Labour MPs (UK)
Anne Begg	1955 births, Living people, Members of the British House of Commons for Scottish constituencies, Labour MPs (UK)
John Reid, Baron Reid of Cardowan	1947 births, Living people, Former members of the British House of Commons for Scottish constituencies, Former Labour MPs (UK)
Gerald Howarth	1947 births, Living people, Members of the British House of Commons for English constituencies, Conservative MPs (UK)
Mount Agung	Bali, Volcanoes of Indonesia
Mount Batur	Bali, Volcanoes of Indonesia
Mount Rinjani	Lombok, Volcanoes of Indonesia
Mataram	Lombok, Cities in Indonesia, West Nusa Tenggara
Megawati Sukarnoputri	1947 births, Living people, Muslims, Presidents of Indonesia, Vice-Presidents of Indonesia
Kingdom of Kerma	History of Africa, Ancient Egypt
Aladdin (1992 movie)	1992 romance movies, 1990s adventure movies, 1990s musical movies, Aladdin (Disney), American family movies, American musical movies, American romance movies, Disney animated movies, Disney Renaissance, Movies based on fairy tales, Movies composed by Alan Menken, Movies composed by Harry Gregson-Williams
D. B. Cooper	American criminals, Mysterious people, Missing people
Alistair Darling	1953 births, Living people, Chancellors of the Exchequer, Labour MPs (UK), UK MPs 1987–1992, UK MPs 1992–1997, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, Members of the British House of Commons for Scottish constituencies
Moa	Birds of New Zealand, Ratites, Extinct species, Flightless birds, Struthioniformes, Megafauna
Malacology	Branches of zoology, Molluscs
Placard	Human communication
Budíkov	Villages in the Czech Republic
Typha	Poales
Sickle-cell disease	Diseases, Genetic disorders, Blood
David Miliband	1965 births, Living people, Alumni of the University of Oxford, British atheists, Former Labour MPs (UK), Jewish atheists, Jewish British politicians, Members of the British House of Commons for English constituencies, People from Camden (London borough), Politicians from London, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015
Jack Straw	1946 births, Living people, English Anglicans, Former Labour MPs (UK), Former members of the British House of Commons for English constituencies, Lord Chancellors, Politicians from Essex, Privy Councillors (UK), Secretaries of State for the Home Department, Secretaries of State of the United Kingdom, UK MPs 1979–1983, UK MPs 1983–1987, UK MPs 1987–1992, UK MPs 1992–1997, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015
Jacqui Smith	1962 births, Living people, Alumni of the University of Oxford, Former Labour MPs (UK), Former members of the British House of Commons for English constituencies, Politicians from Worcestershire, Secretaries of State for the Home Department, BBC 100 Women
Des Browne, Baron Browne of Ladyton	1952 births, Living people, Former members of the British House of Commons for Scottish constituencies, Former Labour MPs (UK)
Alan Johnson	Labour MPs (UK), Members of the British House of Commons for English constituencies, Politicians from London, 1950 births, Living people
Hilary Benn	Labour MPs (UK), Members of the British House of Commons for English constituencies, Politicians from London, 1953 births, Living people
Douglas Alexander	1967 births, Living people, Members of the British House of Commons for Scottish constituencies, Labour MPs (UK)
John Hutton, Baron Hutton of Furness	1955 births, Living people, Former members of the British House of Commons for English constituencies, Former Labour MPs (UK), UK MPs 1992–1997, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, United Kingdom Life Peers
Harriet Harman	British feminists, Labour MPs (UK), Leaders of the Opposition (United Kingdom), Members of the British House of Commons for English constituencies, Politicians from London, 1950 births, Living people
James Purnell	1970 births, Living people, Former members of the British House of Commons for English constituencies, Former Labour MPs (UK)
Paul Murphy, Baron Murphy of Torfaen	1948 births, Living people, Members of the British House of Commons for Welsh constituencies, Labour MPs (UK)
Ruth Kelly	1968 births, Living people, Former members of the British House of Commons for English constituencies, Former Labour MPs (UK)
Hazel Blears	1956 births, Living people, Members of the British House of Commons for English constituencies, Labour MPs (UK)
Geoff Hoon	1953 births, Living people, Former Labour MPs (UK), Former members of the British House of Commons for English constituencies, People from Derby
Ed Balls	1967 births, Living people, Alumni of the University of Oxford, Co-operative movement, Harvard University alumni, Labour MPs (UK), Members of the British House of Commons for English constituencies, People from Norwich, Politicians from Nottinghamshire, UK MPs 2005–2010, UK MPs 2010–2015
Ed Miliband	1969 births, Living people, Jewish British politicians, Labour MPs (UK), Leaders of the Labour Party (UK), Leaders of the Opposition (United Kingdom), Members of the British House of Commons for English constituencies, People from Camden (London borough), Politicians from London, Privy Councillors (UK), Secretaries of State of the United Kingdom, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–
Andy Burnham	Labour MPs (UK), Members of the British House of Commons for English constituencies, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017, Privy Councillors (UK), British socialists, British feminists, English Roman Catholics, People from Merseyside, People from Warrington, Politicians from Lancashire, 1970 births, Living people, Alumni of the University of Cambridge
Shaun Woodward	1958 births, Living people, English politicians, Former Conservative MPs (UK), Labour MPs (UK), Members of the British House of Commons for English constituencies, People from Bristol
Yvette Cooper	1969 births, Living people, Labour MPs (UK), Members of the British House of Commons for English constituencies, People from Inverness, Scottish politicians
John Denham	1953 births, Living people, Members of the British House of Commons for English constituencies, Labour MPs (UK)
Limnology	Earth sciences
Toyota RAV4	1990s automobiles, 2000s automobiles, 2010s automobiles, 2020s automobiles, Toyota automobiles
Toyota MR2	1980s automobiles, 1990s automobiles, 2000s automobiles, Toyota automobiles
Wheaton College	Colleges and universities in Illinois, Council for Christian Colleges and Universities, Oberlin Group of Libraries, 1860 establishments in the United States, 1860s establishments in Illinois
Sacred site	Religious places
Basil II	Byzantine Emperors
Battle of Manzikert	Byzantine Empire, Battles of the Middle Ages, 1071, August events
Mark Lawrenson	1957 births, Living people, Liverpool F.C. players
Red Square	Moscow, World Heritage Sites in Russia, National squares
George I of Great Britain	1660 births, 1727 deaths, Kings and Queens of Great Britain, People from Osnabrück
Official Opposition (United Kingdom)	Politics of the United Kingdom
Leader of the Opposition (United Kingdom)	Leaders of the Opposition (United Kingdom), Opposition leaders
David Davis	1948 births, Living people, Conservative MPs (UK), Libertarians, Members of the British House of Commons for English constituencies, People from York, Politicians from Yorkshire, Privy Councillors (UK), Secretaries of State of the United Kingdom, UK MPs 1987–1992, UK MPs 1992–1997, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–
William Hague	1961 births, Living people, Alumni of the University of Oxford, English historians, Former Conservative MPs (UK), Former members of the British House of Commons for English constituencies, Leaders of the Conservative Party (UK), Leaders of the Opposition (United Kingdom), Politicians from Yorkshire, Privy Councillors (UK), Royal Society of Literature, Secretaries of State of the United Kingdom, UK MPs 1987–1992, UK MPs 1992–1997, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015
George Osborne	1971 births, Living people, Chancellors of the Exchequer, Conservative MPs (UK), Members of the British House of Commons for English constituencies, Politicians from London, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017
Trojanus of Saintes	Christian saints, French Roman Catholics, Year of birth unknown, 530 deaths
530	530
Celestus microblepharis	Anguids
Anguidae	Anguids
Celestus	Anguids
Celestus warreni	Anguids
Duquesney's galliwasp	Anguids
Celestus fowleri	Anguids
Jamaica giant galliwasp	Anguids
Tammy Wynette	American country musicians, American guitarists, Deaths from pulmonary thrombosis, Cardiovascular disease deaths in the United States, Musicians from Mississippi, Singers from Mississippi, 1942 births, 1998 deaths
Tricity	Cities in Poland
Kaliningrad Oblast	Kaliningrad Oblast, Oblasts of Russia, Federal subjects of Russia
Coat of arms of Poland	Polish culture, National coats of arms
Christianization	Christian terminology, Religious conversion, Culture
Adam Sandler	1966 births, Living people, Actors from New Hampshire, Actors from Brooklyn, American movie actors, Jewish American actors, Comedians from New York City, Movie producers from New York City, Musicians from New York City, Singers from New York City, Musicians from New Hampshire, Singers from New Hampshire, Screenwriters from New York City, Writers from Brooklyn
Anguis	Anguids
Anguis fragilis	Anguids
Major League Baseball on ESPN Radio	Major League Baseball, Radio programs
Calixa Lavallée	1842 births, 1891 deaths, Canadian composers, Romantic composers
Sepsis	Diseases
Patrick McLoughlin	1957 births, Living people, UK MPs 1983–1987, UK MPs 1987–1992, UK MPs 1992–1997, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, Members of the British House of Commons for English constituencies, Conservative MPs (UK)
Oliver Letwin	1956 births, Living people, Alumni of the University of Cambridge, Former Conservative MPs (UK), Former members of the British House of Commons for English constituencies, Jewish British politicians, Politicians from London
Caroline Spelman	1958 births, Living people, Former Conservative MPs (UK), Former members of the British House of Commons for English constituencies, Politicians from Hertfordshire, Privy Councillors (UK), Secretaries of State of the United Kingdom, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, Women politicians
Philip Hammond	1955 births, Living people, Alumni of the University of Oxford, Chancellors of the Exchequer, Conservative MPs (UK), Members of the British House of Commons for English constituencies, Politicians from Essex, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019
Andrew Mitchell	1956 births, Living people, Conservative MPs (UK), Members of the British House of Commons for English constituencies, Politicians from London
David Mundell	1962 births, Living people, Gay men, Members of the British House of Commons for Scottish constituencies, LGBT politicians, Conservative MPs (UK), Scottish LGBT people
Cheryl Gillan	1952 births, 2021 deaths, Former Conservative MPs (UK), Members of the British House of Commons for English constituencies, People from Cardiff, Politicians from Glamorgan, Disease-related deaths in England
Owen Paterson	1956 births, Living people, Members of the British House of Commons for English constituencies, Conservative MPs (UK)
Alan Duncan	1957 births, Living people, Conservative MPs (UK), English LGBT people, Gay men, LGBT politicians, Members of the British House of Commons for English constituencies, Politicians from Hertfordshire
Theresa May	1956 births, Living people, Alumni of the University of Oxford, Commonwealth Chairpersons-in-Office, Conservative MPs (UK), English Anglicans, Leaders of the Conservative Party (UK), Members of the British House of Commons for English constituencies, People from Eastbourne, People from Oxfordshire, Politicians from Sussex, Privy Councillors (UK), Secretaries of State for the Home Department, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–, Women politicians
Francis Maude	1953 births, Alumni of the University of Cambridge, British lawyers, Conservative MPs (UK), English politicians, Living people, Members of the British House of Commons for English constituencies, People from Berkshire
Jeremy Hunt	1966 births, Living people, Alumni of the University of Oxford, Conservative MPs (UK), UK MPs 2005–2010, UK MPs 2015–2017, UK MPs 2017–2019, Members of the British House of Commons for English constituencies, Politicians from London
Eric Pickles	1952 births, Living people, Conservative MPs (UK), Members of the British House of Commons for English constituencies, Politicians from Yorkshire
Peter Ainsworth	1956 births, 2021 deaths, UK MPs 1992–1997, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, Former members of the British House of Commons for English constituencies, Former Conservative MPs (UK)
Chris Grayling	1962 births, Living people, Members of the British House of Commons for English constituencies, Conservative MPs (UK)
Nick Herbert	1963 births, Living people, Members of the British House of Commons for English constituencies, Conservative MPs (UK)
Theresa Villiers	1968 births, Living people, Conservative MPs (UK), Former MEPs, Members of the British House of Commons for English constituencies, MEPs for the United Kingdom
Andrew Lansley	1956 births, Living people, Commanders of the Order of the British Empire, English Anglicans, Former Conservative MPs (UK), Former members of the British House of Commons for English constituencies, Politicians from Essex, Privy Councillors (UK), Secretaries of State of the United Kingdom, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, United Kingdom Life Peers
David Willetts	1956 births, Living people, Conservative MPs (UK), Members of the British House of Commons for English constituencies, Politicians from Birmingham
Michael Gove	1967 births, Living people, Alumni of the University of Oxford, BBC newsreaders and journalists, British adoptees, British Anglicans, British columnists, British journalists, Conservative MPs (UK), Members of the British House of Commons for English constituencies, People from Aberdeen, Politicians from Edinburgh, Privy Councillors (UK), Scottish Christians, Secretaries of State of the United Kingdom, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–
Liam Fox	1961 births, Living people, Scottish politicians, Members of the British House of Commons for English constituencies, UK MPs 1992–1997, UK MPs 1997–2001, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, Conservative MPs (UK), Privy Councillors (UK)
Missionary	Missionaries, Christian religious occupations
Partnership	Society, Business
Ruth Graham	1920 births, 2007 deaths, American painters, American philanthropists, American poets, American Presbyterians, Deaths from pneumonia, Writers from North Carolina
Patrick Star	Fictional characters introduced in 1999, SpongeBob SquarePants characters, Television characters
Nick Clegg	1967 births, Living people, Alumni of the University of Cambridge, Deputy Prime Ministers of the United Kingdom, Former Liberal Democrats MPs (UK), Former members of the British House of Commons for English constituencies, Former MEPs, Leaders of the Liberal Democrats (UK), MEPs for the United Kingdom, People educated at Westminster School, London, Politicians from Buckinghamshire, Privy Councillors (UK), UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017
Magnús Eiríksson	1806 births, 1881 deaths, Christian theologians, Icelandic writers, Lutherans, Unitarians
John Wark	1957 births, Living people, Scottish footballers
Nusa Penida	Bali, Islands of Indonesia
Dungeons & Dragons	Role-playing games
Sakoku	History of Japan
Borneo	Islands of Malaysia, Islands of Brunei, Islands of Indonesia, Greater Sunda Islands
List of islands by area	Lists of islands
Baffin Island	Islands of Canada, Nunavut
Substitution cipher	Cryptography
Ken Spreitzer	1965 births, Living people, Computer scientists
Brandy & Mr. Whiskers	2004 television series debuts, 2006 television series endings, Animated television series, Television shows about rabbits and hares, Television series by Disney, Television series by Buena Vista Television
Dwyane Wade	1982 births, Living people, American basketball players, American Olympic gold medalists, Miami Heat players, Sportspeople from Chicago
Himalayan wolf	Wolves, Mammals of Pakistan, Plants and animals of Kashmir
Angelroda	Settlements in Thuringia, Villages in Germany
Hull, Florida	Unincorporated communities in Florida
Seii	Kings and queens, 1326 births, 1354 deaths, People from Okinawa Prefecture
Cecil Rhodes	1853 births, 1902 deaths, South African businesspeople
Kaioo	Web 2.0, Non-profit organizations, Social networking
Akira Toriyama	Japanese manga artists, 1955 births, Living people, People from Aichi Prefecture
I. M. Pei	1917 births, 2019 deaths, American architects, American centenarians, Chinese people, Pritzker Prize winners, Guangzhou
Isaac Bashevis Singer	1902 births, 1991 deaths, American Nobel Prize winners, American novelists, American short story writers, Jewish American writers, Jewish Nobel Prize winners, Naturalized citizens of the United States, Polish Jews, Polish Nobel Prize winners
John von Neumann	1903 births, 1957 deaths, American mathematicians, American physicists, Cancer deaths in the United States, Disease-related deaths in Washington, D.C., Hungarian scientists, People from Budapest, Systems scientists
Iwan Roberts	1968 births, Living people, Welsh footballers
Ballpoint pen	Writing tools
Bando kickboxing	Kickboxing
Spratly Islands	Islands  of Asia
Sumba	Islands of Indonesia, Lesser Sunda Islands
Gili Trawangan	Islands of Indonesia, Lesser Sunda Islands, Lombok
Gili Meno	Islands of Indonesia, Lesser Sunda Islands, Lombok
Gili Air	Islands of Indonesia, Lesser Sunda Islands, Lombok
Gili Islands	Islands of Indonesia, Lesser Sunda Islands, Lombok
Cidomo	Animal-powered vehicles, Horses, Transport in Indonesia
Grease (musical)	Broadway musicals, West End musicals, 1970s musicals
Ryan Giggs	1973 births, Living people, 2012 Summer Olympics, British Olympians, Manchester United F.C. players, Sportspeople from Cardiff, Welsh football managers, Welsh footballers
Ian Rush	1961 births, Living people, Liverpool F.C. players, Welsh footballers, Welsh football managers
Ogoh-ogoh	Bali, Hinduism, Mythology
Padangbai	Bali, Towns in Indonesia
Tokugawa shogunate	History of Japan, Samurai, 1603 establishments, 17th century establishments in Japan, 1600s establishments in Asia
Liberal Democrats (UK)	Liberal Democrats (UK), 1988 establishments in the United Kingdom, Liberal parties
Houten	Settlements in Utrecht (province), Municipalities of Utrecht (province)
Northampton	County towns in England, Northampton
West Slavs	Slavic peoples
WWE Judgment Day	WWE Judgment Day
Tokugawa Ieyasu	Shoguns, 1543 births, 1616 deaths, People from Aichi Prefecture
Billy Graham Center	Christian organizations, 1981 establishments in the United States
Revival meeting	Christian behavior and experience, Christian worship and liturgy
Bob Jones, Sr.	1883 births, 1968 deaths, American Methodists, Christian religious leaders, Evangelists, People from Greenville, South Carolina
Auditorium	Buildings and structures, Rooms
Pulpit	Church architecture
Level crossing	Rail transport, Traffic signs
Macaulay Culkin	1980 births, Living people, Actors from New York City, American movie actors, American television actors, American voice actors, Musicians from New York City, Singers from New York City
Tencent QQ	Instant messaging software
Princess Jasmine	Aladdin (Disney) characters, Fictional Arabs, Fictional characters introduced in 1992, Fictional princesses, Kingdom Hearts characters
Fürstenfeldbruck (district)	Rural Districts in Upper Bavaria
José Zorrilla y Moral	1817 births, 1893 deaths, Spanish poets
Ottobrunn	Munich Rural District
Aying	Munich Rural District
Höhenkirchen-Siegertsbrunn	Munich Rural District
Habitation at Port-Royal	History of Canada
Mi'kmaq	Native American, Canadian people
Wang Xiaobo	1952 births, 1997 deaths, Chinese writers
Chengdu	Cities in China
Hohenbrunn	Munich Rural District
Albert Schweitzer	1875 births, 1965 deaths, 19th century philosophers, 20th century philosophers, Christian ministers, French Christians, French Nobel Prize winners, French organists, French philosophers, French scientists, French theologians, German academics, German doctors, German Lutherans, German Nobel Prize winners, German organists, German philosophers, German theologians, Humanitarians, Lutherans, Order of Merit, People from Grand Est
Coweta, Oklahoma	Cities in Oklahoma
Tularemia	Diseases caused by bacteria
Neubiberg	Munich Rural District
Brunnthal	Munich Rural District
Putzbrunn	Munich Rural District
Unterföhring	Munich Rural District
Fur trade	Commerce, Trade routes
Argyle, Wisconsin	Villages in Wisconsin, Lafayette County, Wisconsin
Miyuki Komatsu	Japanese movie actors, 1971 births, Living people, People from Fukushima Prefecture
Aschheim	Munich Rural District
NetSolve	American technology companies
Third-person shooter	Shooter video games, Types of video games, Video game genres
Klaus Ebner	1964 births, Living people, Austrian writers, Austrian poets
Wagoner County, Oklahoma	Oklahoma counties, 1907 establishments in Oklahoma
Tulsa County, Oklahoma	Oklahoma counties, 1907 establishments in Oklahoma
National Register of Historic Places	National Register of Historic Places, 1966 establishments in the United States
Wagoner, Oklahoma	County seats in Oklahoma, Cities in Oklahoma
Muskogee County, Oklahoma	Oklahoma counties, 1907 establishments in Oklahoma
Polans	Slavic peoples, Polish people
Cherokee County, Oklahoma	Oklahoma counties, 1907 establishments in Oklahoma
Mao	Settlements in Dominican Republic, 1875 establishments in North America, 19th-century establishments in the Spanish West Indies
Mayes County, Oklahoma	Oklahoma counties, 1907 establishments in Oklahoma
Rogers County, Oklahoma	Oklahoma counties, 1907 establishments in Oklahoma
Koweta Mission Site	Christian organizations
Sean Hannity	1961 births, Living people, Television talk show hosts, American conservatives, Writers from New York City
Brett Favre	Atlanta Falcons players, Green Bay Packers players, Minnesota Vikings players, New York Jets players, Sportspeople from Mississippi, American football quarterbacks, 1969 births, Living people
Headline	Newspaper publishing
Transistor–transistor logic	Electronics
Northwest Ordinance	United States federal legislation, 1787 in the United States
Protactinium	Actinides, Chemical elements
Troy Aikman	1966 births, Living people, Dallas Cowboys players, American football quarterbacks, Football players from California
Johnny Unitas	1933 births, 2002 deaths, Pittsburgh Steelers players, San Diego Chargers players, Sportspeople from Pittsburgh, Pennsylvania, American football quarterbacks
Dick Butkus	1942 births, Living people, American football linebackers, Chicago Bears players, Sportspeople from Chicago
Mike Ditka	1939 births, Living people, American football tight ends, Chicago Bears players, Dallas Cowboys players, New Orleans Saints players, Philadelphia Eagles players, Sportspeople from Pennsylvania, Sportspeople from Chicago, National Football League coaches
The Sean Hannity Show	Radio programs
John Elway	1960 births, Living people, American football quarterbacks, Denver Broncos players, Sportspeople from Washington
Detroit Lions	Detroit Lions
Michael Irvin	American football wide receivers, Dallas Cowboys players, Sportspeople from Florida, People from Fort Lauderdale, Florida, 1966 births, Living people
Howie Long	American football defensive ends, National Football League players, Oakland Raiders players, Sportspeople from Massachusetts, 1960 births, Living people
Hoang Hoa Tham	Vietnamese people, 1858 births, 1913 deaths
Pro Football Hall of Fame	Pro Football Hall of Fame, Canton, Ohio, 1963 establishments in the United States, 1960s establishments in Ohio
Cypress	Cupressaceae
Míkmaq language	Languages of North America
Los Angeles Chargers	National Football League teams, Sports in Los Angeles
Metal leaf	Metals
Foo Fighters	1994 establishments in Washington (state), 1990s American music groups, 2000s American music groups, 2010s American music groups, American rock bands, Brit Award winners, Grammy Award winners, Grunge bands, Musical groups established in 1994, Musical groups from Seattle, Washington, Post-grunge bands
Ronnie O'Sullivan	1975 births, Living people, Snooker players, Sportspeople from Essex, Sportspeople from West Midlands (county)
Rain (entertainer)	South Korean singers, 1982 births, Living people, K-pop singers
Algonquian languages	Languages of North America
Ismaning	Munich Rural District
Grünwald, Bavaria	Munich Rural District
Kirchheim bei München	Munich Rural District
Haar, Bavaria	Munich Rural District
Garching bei München	Munich Rural District
Taufkirchen (bei München)	Munich Rural District
Arena Football League	Arena Football League
Elmo	Sesame Street characters, Muppets
San Francisco 49ers	San Francisco 49ers, 1946 establishments in the United States, 1940s establishments in California
Tennessee Titans	Nashville, Tennessee, National Football League teams, 1960 establishments in the United States, 1960s establishments in Tennessee
Mumps	Diseases caused by viruses
Civilian Conservation Corps	20th century in the United States, Franklin D. Roosevelt, New Deal, Great Depression
Killer app	Video games
Chiang Mai	Cities in Thailand
Hyōgo Prefecture	Hyōgo Prefecture, Prefectures of Japan
Adelaide Zoo	Buildings and structures in Australia, Adelaide, Zoos in Australia
Ruth Harkness	1900 births, 1947 deaths, American fashion designers, American socialites
Brookfield Zoo	Buildings and structures in Chicago, Illinois, Zoos in Illinois
Shirahama, Wakayama	Towns in Japan, Settlements in Wakayama Prefecture
Wakayama Prefecture	Wakayama Prefecture, Prefectures of Japan
Webcast	Internet
Kansas City Chiefs	Kansas City Chiefs, 1960 establishments in the United States, 1960s establishments in Missouri
Jacksonville Jaguars	National Football League teams, Jacksonville, Florida, 1995 establishments in the United States, 1990s establishments in Florida
Houston Texans	National Football League teams, Sports in Houston, Texas
Cleveland Browns	National Football League teams, Sports in Cleveland, Ohio
Cincinnati Bengals	Cincinnati Bengals, Sports in Cincinnati, Ohio, 1968 establishments in the United States, 1960s establishments in Ohio
Commentary	Television, Radio
Kelvedon	Towns in Essex
Baltimore Ravens	Baltimore Ravens, 1996 establishments in Maryland
Buffalo Bills	1959 establishments in the United States, Buffalo Bills, 1950s establishments in New York (state)
Washington Football Team	National Football League teams
Super Princess Peach	2005 video games, Mario platform games, Nintendo DS games, Nintendo DS-only games
Minnesota Vikings	Sports in Minneapolis, Minnesota, National Football League teams, 1961 establishments in the United States, 1960s establishments in Minnesota
Reno, Nevada	Cities in Nevada, County seats in Nevada
Wolong National Nature Reserve	People's Republic of China, Biosphere reserves
Charles Spurgeon	1834 births, 1892 deaths, Charles Spurgeon, Baptists, Christian ministers, Christian religious leaders, Christian theologians, Christian writers, English autobiographers, English Protestants, English theologians, Evangelists, Writers from Suffolk
George Müller	1805 births, 1898 deaths, Autobiographers, British Protestants, Evangelicals, Evangelists, German Protestants, Missionaries, Naturalised citizens of the United Kingdom, People from Saxony-Anhalt
Spectacled bear	Ursidaes
Convergent evolution	Evolution
Michelangelo Antonioni	Italian movie directors, Italian screenwriters, People from Ferrara, 1912 births, 2007 deaths
Salvador de Madariaga	1886 births, 1978 deaths, Spanish writers, Spanish historians, People from A Coruña
Bislama	Languages, Vanuatu
Tariq Ramadan	1962 births, Living people, Muslims, Theologians, Swiss people, People from Geneva
Unterschleißheim	Munich Rural District
Baierbrunn	Munich Rural District
Fitna	2008 movies, Multilingual movies
Geert Wilders	1963 births, Living people, Dutch councillors, Dutch party chairs, Islamophobia, Independent politicians in the Netherlands, Leaders of political parties in the Netherlands, Members of the House of Representatives of the Netherlands, Nationalists, Party for Freedom politicians, People from The Hague, People from Utrecht (city), People from Venlo, People's Party for Freedom and Democracy politicians, Politicians from Limburg (Netherlands), Writers from Limburg (Netherlands)
Cessna 182	Civil aircraft, Cessna aircraft
Asparagus	Vegetables, Asparagales
Armand David	1826 births, 1900 deaths, French botanists, French Roman Catholics, Missionaries, French zoologists
Père David's deer	Deer, Mammals of Asia
Finite element method	Differential equations, Engineering
Sipoo	Municipalities of Uusimaa
Slow	Basic English 850 words
Collar	Basic English 850 words, Clothing
Frame	Basic English 850 words
Parcel	Basic English 850 words
Land hemisphere	Hemispheres
Water hemisphere	Hemispheres, Oceans, Geography
Pasadena, California	Pasadena, California, 1874 establishments in California
202 BC	200s BC
Surprise	Basic English 850 words
Red fox	Foxes, Mammals of North America, Mammals of Europe, Mammals of Asia, Mammals of Australia
Royal Surrey Gardens	Botanical gardens in the United Kingdom, Buildings and structures in London, Charles Spurgeon
Iron Man (movie)	2008 science fiction movies, 2000s superhero movies, American science fiction movies, English-language movies, Iron Man movies, Movies directed by Jon Favreau, Movies set in Afghanistan, Movies set in Los Angeles, California, Marvel Cinematic Universe movies
Molar	Teeth
Qinling Mountains	Mountains of China
Love in This Club Part II	2008 songs, Usher songs, Beyoncé songs
