Estate (law)	Law
Ricaud, Aude	Communes in Aude
Rieux-en-Val	Communes in Aude
Rieux-Minervois	Communes in Aude
Sherman County, Oregon	Oregon counties
Morrow County, Oregon	Oregon counties
Tillamook County, Oregon	Oregon counties
Union County, Oregon	Oregon counties
Prineville, Oregon	Cities in Oregon, County seats in Oregon
Lakeview, Oregon	Cities in Oregon, County seats in Oregon
Roquecourbe-Minervois	Communes in Aude
Roquefère	Communes in Aude
Roubia	Communes in Aude
Sainte-Colombe-sur-Guette	Communes in Aude
Routier, Aude	Communes in Aude
Gold Beach, Oregon	Cities in Oregon, County seats in Oregon
Canyon City, Oregon	Cities in Oregon, County seats in Oregon
Grand Hotel (movie)	1932 movies, 1930s drama movies, American drama movies, Movies directed by Edmund Goulding
Zürich Stock Exchange	Stock exchanges, Buildings and structures in Switzerland
Taiwan Stock Exchange	20th century establishments in Taiwan, 1961 establishments in Asia, Economy of Taiwan, Stock exchanges, Taipei
Schwarzschild metric	Relativity, Astrophysics
Fita	Cyrillic letters
The Reincarnation of Peter Proud	1975 horror movies, 1975 drama movies, American horror movies, American drama movies, Movies based on books, Movies directed by J. Lee Thompson
Johnny McCarthy	1934 births, 2020 deaths, National Basketball Association coaches, Sacramento Kings players, Atlanta Hawks players, Boston Celtics players, Sportspeople from Buffalo, New York
Adolfo Pajares	1937 births, 2020 deaths, Spanish politicians, Spanish businesspeople
Torrelavega	Cities in Spain, Municipalities in Cantabria
Gabriel Bacquier	1924 births, 2020 deaths, French singers
Lyric Opera of Chicago	Theatres in Chicago
Civic Opera Building	Buildings and structures in Chicago, Illinois
Prime Minister of Laos	Prime Ministers of Laos
Bounnhang Vorachith	1938 births, Living people, Prime Ministers of Laos, Presidents of Laos, Vice Presidents of Laos
Thongloun Sisoulith	1946 births, Current national leaders, Living people, President of Laos, Prime Ministers of Laos
President of Laos	Presidents of Laos
Souphanouvong	1909 births, 1995 deaths, Presidents of Laos, Presidents of the National Assembly (Laos)
Phoumi Vongvichit	1909 births, 1994 deaths, Presidents of Laos
Kaysone Phomvihane	1920 births, 1992 deaths, Presidents of Laos, Prime Ministers of Laos
Nouhak Phoumsavanh	1910 births, 2008 deaths, Presidents of Laos, Presidents of the National Assembly (Laos)
J. Lee Thompson	1914 births, 2002 deaths, British movie directors, People from Bristol
Choummaly Sayasone	1936 births, Living people, Presidents of Laos, Vice Presidents of Laos
Vice President of Laos	Vice Presidents of Laos
Phankham Viphavanh	Living people, 1951 births, Prime Ministers of Laos, Vice Presidents of Laos, Recipients of the Order of the Rising Sun
President of the National Assembly of Laos	Presidents of the National Assembly (Laos)
Samane Viyaket	1927 births, 2016 deaths, Presidents of the National Assembly (Laos)
Thongsing Thammavong	1944 births, Living people, Presidents of the National Assembly (Laos), Prime Ministers of Laos
The Yellow Balloon (movie)	1953 drama movies, British drama movies, Movies directed by J. Lee Thompson
Pany Yathotou	1950s births, Living people, Vice Presidents of Laos, Presidents of the National Assembly (Laos)
National Assembly (Laos)	Laos
Vicki (movie)	1950s crime movies, 1953 drama movies, American crime drama movies
Tokyo Story	1953 drama movies, Japanese movies, Japanese-language movies, Movies directed by Yasujirō Ozu
The Money Pit	1986 comedy movies, American comedy movies, Movie remakes, Movies directed by Richard Benjamin
Lattingtown, New York	Villages in New York
Big (movie)	1980s fantasy movies, 1988 comedy-drama movies, American fantasy movies, American comedy-drama movies, Movies directed by Penny Marshall
Henderson, Texas	Cities in Texas, County seats in Texas
COVID-19 pandemic in the United States	COVID-19 pandemic in the United States, COVID-19 pandemic by country
COVID-19 pandemic in Spain	21st century in Spain, COVID-19 pandemic by country
COVID-19 pandemic in Italy	2020s in Italy, COVID-19 pandemic by country
COVID-19 pandemic in mainland China	COVID-19 pandemic in China, COVID-19 pandemic by country
COVID-19 pandemic in Iran	21st century in Iran, COVID-19 pandemic by country
COVID-19 pandemic in India	2020s in India, COVID-19 pandemic by country
COVID-19 pandemic in Germany	2020s in Germany, COVID-19 pandemic by country
COVID-19 pandemic in France	2020 in Europe, 2020s in France, COVID-19 pandemic by country
COVID-19 pandemic in the United Kingdom	2020s in the United Kingdom, COVID-19 pandemic by country
COVID-19 pandemic in Canada	21st century in Canada, COVID-19 pandemic by country
Ryan Russell	Year of birth missing (living people), Living people, British television actors, British television presenters
COVID-19 pandemic in Ecuador	History of Ecuador, COVID-19 pandemic by country
COVID-19 pandemic in Russia	21st century in Russia, COVID-19 pandemic by country, CS1 Russian-language sources (ru), Current events
COVID-19 pandemic in Mexico	21st century in Mexico, COVID-19 pandemic by country
COVID-19 pandemic in Brazil	2020s in Brazil, COVID-19 pandemic by country
2020 Pacific typhoon season	Pacific typhoon seasons
COVID-19 pandemic in Portugal	21st century in Portugal, COVID-19 pandemic by country
COVID-19 pandemic in South Africa	21st century in South Africa, COVID-19 pandemic by country
Stay-at-home order	COVID-19 pandemic
COVID-19 pandemic in the Philippines	21st century in the Philippines, COVID-19 pandemic by country
Royal Flash (movie)	1975 comedy movies, 1970s adventure movies, British comedy movies, British adventure movies, Movies directed by Richard Lester
COVID-19 pandemic in New Zealand	History of New Zealand, COVID-19 pandemic by country
COVID-19 pandemic in Japan	21st century in Japan, COVID-19 pandemic by country
COVID-19 pandemic in South Korea	21st century in South Korea, COVID-19 pandemic by country
COVID-19 pandemic in Norway	21st century in Norway, COVID-19 pandemic by country
If I Had a Million	1932 movies, 1930s comedy movies, 1930s drama movies, American comedy-drama movies, Movies directed by Norman Taurog, Movies directed by William A. Seiter, Movies directed by Ernst Lubitsch, Movies directed by Norman Z. McLeod, Movies directed by H. Bruce Humberstone
COVID-19 pandemic in Vietnam	History of Vietnam, COVID-19 pandemic by country
COVID-19 pandemic in Denmark	21st century in Denmark, COVID-19 pandemic by country
COVID-19 pandemic in Singapore	History of Singapore, COVID-19 pandemic by country
COVID-19 pandemic in Iceland	21st century in Iceland, COVID-19 pandemic by country
COVID-19 pandemic in Serbia	History of Serbia, COVID-19 pandemic by country
Bolliger & Mabillard	1980s establishments in Switzerland, 1988 establishments in Europe, Companies of Switzerland, Roller coasters
COVID-19 pandemic in Jamaica	21st century in Jamaica, COVID-19 pandemic by country
COVID-19 pandemic in Greece	2020s in Greece, COVID-19 pandemic by country
COVID-19 pandemic in Thailand	21st century in Thailand, COVID-19 pandemic by country
COVID-19 pandemic in Finland	21st century in Finland, COVID-19 pandemic by country
COVID-19 pandemic in the Republic of Ireland	21st century in the Republic of Ireland, COVID-19 pandemic by country
Flatten the curve	COVID-19 pandemic
COVID-19 pandemic in Uruguay	History of Uruguay, COVID-19 pandemic by country
COVID-19 pandemic in Paraguay	Paraguay, COVID-19 pandemic by country
COVID-19 pandemic in Peru	History of Peru, COVID-19 pandemic by country
COVID-19 pandemic in the Czech Republic	History of the Czech Republic, COVID-19 pandemic by country
COVID-19 pandemic in Hungary	21st century in Hungary, COVID-19 pandemic by country
COVID-19 pandemic in El Salvador	21st century in El Salvador, COVID-19 pandemic by country
COVID-19 pandemic in Afghanistan	21st century in Afghanistan, COVID-19 pandemic by country
Arthur Holmes	Geologists, Structure of the Earth
COVID-19 pandemic in Pakistan	21st century in Pakistan, COVID-19 pandemic by country
COVID-19 pandemic in Venezuela	History of Venezuela, COVID-19 pandemic by country
COVID-19 pandemic in Panama	History of Panama, COVID-19 pandemic by country
COVID-19 pandemic in Bolivia	History of Bolivia, COVID-19 pandemic by country
COVID-19 pandemic in Iraq	21st century in Iraq, COVID-19 pandemic by country
COVID-19 pandemic in Saudi Arabia	History of Saudi Arabia, COVID-19 pandemic by country
COVID-19 pandemic in Colombia	History of Colombia, COVID-19 pandemic by country
COVID-19 pandemic in Argentina	History of Argentina, COVID-19 pandemic by country
COVID-19 pandemic in Cuba	21st century in Cuba, COVID-19 pandemic by country
COVID-19 pandemic in Trinidad and Tobago	Trinidad and Tobago, COVID-19 pandemic by country
V.Flash	Video game consoles
COVID-19 pandemic in Chile	21st century in Chile, COVID-19 pandemic by country
COVID-19 pandemic in Poland	21st century in Poland, COVID-19 pandemic by country
COVID-19 pandemic in North Korea	History of North Korea, COVID-19 pandemic by country
COVID-19 pandemic in Israel	21st century in Israel, COVID-19 pandemic by country
Diamond Princess (ship)	COVID-19 pandemic, Cruise ships
COVID-19 pandemic in Honduras	History of Honduras, COVID-19 pandemic by country
COVID-19 pandemic in Egypt	21st century in Egypt, COVID-19 pandemic by country
COVID-19 pandemic in Belgium	21st century in Belgium, COVID-19 pandemic by country
COVID-19 pandemic in Syria	21st century in Syria, COVID-19 pandemic by country
COVID-19 pandemic in Sweden	21st century in Sweden, COVID-19 pandemic by country
COVID-19 pandemic in Vatican City	Vatican City, COVID-19 pandemic by country
COVID-19 pandemic in Lebanon	History of Lebanon, COVID-19 pandemic by country
COVID-19 pandemic in Libya	History of Libya, COVID-19 pandemic by country
COVID-19 pandemic in Switzerland	21st century in Switzerland, COVID-19 pandemic by country
COVID-19 pandemic in Ethiopia	History of Ethiopia, COVID-19 pandemic by country
COVID-19 pandemic in Zimbabwe	History of Zimbabwe, COVID-19 pandemic by country
COVID-19 pandemic in the Netherlands	2020s in the Netherlands, COVID-19 pandemic by country
COVID-19 pandemic in Qatar	Qatar, COVID-19 pandemic by country
COVID-19 pandemic in Austria	21st century in Austria, COVID-19 pandemic by country
COVID-19 pandemic in Yemen	Yemen, COVID-19 pandemic by country
COVID-19 pandemic in Sri Lanka	21st century in Sri Lanka, COVID-19 pandemic by country
COVID-19 pandemic in Bangladesh	21st century in Bangladesh, COVID-19 pandemic by country
COVID-19 pandemic in Nepal	History of Nepal, COVID-19 pandemic by country
COVID-19 pandemic in Indonesia	2020s in Indonesia, COVID-19 pandemic by country
COVID-19 pandemic in Algeria	History of Algeria, COVID-19 pandemic by country
COVID-19 pandemic in the Democratic Republic of the Congo	History of the Democratic Republic of the Congo, COVID-19 pandemic by country
Sylvestre Ilunga	Living people, 1947 births, Prime Ministers of the Democratic Republic of the Congo
COVID-19 pandemic in the Republic of the Congo	Republic of the Congo, COVID-19 pandemic by country
COVID-19 pandemic in Haiti	21st century in Haiti, COVID-19 pandemic by country
Joseph Jouthe	Living people, 1961 births, Prime Ministers of Haiti, Current national leaders
COVID-19 pandemic in Turkey	2020s in Turkey, COVID-19 pandemic by country
Louise of Orléans	1812 births, 1850 deaths, People from Palermo, House of Orléans, Princes and princesses
COVID-19 pandemic in Malaysia	History of Malaysia, COVID-19 pandemic by country
COVID-19 pandemic in the United Arab Emirates	United Arab Emirates, COVID-19 pandemic by country
COVID-19 pandemic in Angola	History of Angola, COVID-19 pandemic by country
COVID-19 pandemic in Nigeria	21st century in Nigeria, COVID-19 pandemic by country
COVID-19 pandemic in Benin	Benin, COVID-19 pandemic by country
COVID-19 pandemic in North Macedonia	History of North Macedonia, COVID-19 pandemic by country
COVID-19 pandemic in Ukraine	21st century in Ukraine, COVID-19 pandemic by country
Radhacharan Debbarma	Living people, 1963 births, Tripura
COVID-19 pandemic in the Bahamas	21st century in the Bahamas, COVID-19 pandemic by country
COVID-19 pandemic in Niger	Niger, COVID-19 pandemic by country
COVID-19 pandemic in the State of Palestine	History of Palestine, COVID-19 pandemic by country
Jürgen Osterhammel	1952 births, Living people, German historians
COVID-19 pandemic in Romania	21st century in Romania, COVID-19 pandemic by country
COVID-19 pandemic in Morocco	History of Morocco, COVID-19 pandemic by country
COVID-19 pandemic in Ghana	Ghana, COVID-19 pandemic by country
COVID-19 pandemic in Togo	Togo, COVID-19 pandemic by country
COVID-19 pandemic in Northern Cyprus	Northern Cyprus, COVID-19 pandemic by country
COVID-19 pandemic in Ivory Coast	Ivory Coast, COVID-19 pandemic by country
Zaatari	Settlements in Jordan
COVID-19 pandemic in Burkina Faso	History of Burkina Faso, COVID-19 pandemic by country
COVID-19 pandemic in Albania	History of Albania, COVID-19 pandemic by country
COVID-19 pandemic in Cyprus	Cyprus, COVID-19 pandemic by country
COVID-19 pandemic in Malta	Malta, COVID-19 pandemic by country
COVID-19 pandemic in Belarus	History of Belarus, COVID-19 pandemic by country
COVID-19 pandemic in Liberia	Liberia, COVID-19 pandemic by country
COVID-19 pandemic in Senegal	History of Senegal, COVID-19 pandemic by country
COVID-19 pandemic in Bulgaria	History of Bulgaria, COVID-19 pandemic by country
COVID-19 pandemic in Somalia	Somalia, COVID-19 pandemic by country
COVID-19 pandemic in Azerbaijan	21st century in Azerbaijan, COVID-19 pandemic by country
COVID-19 pandemic in Latvia	History of Latvia, COVID-19 pandemic by country
COVID-19 pandemic in Bermuda	History of Bermuda, COVID-19 pandemic by country
COVID-19 pandemic in Madagascar	Madagascar, COVID-19 pandemic by country
COVID-19 pandemic in Georgia (country)	History of Georgia (country), COVID-19 pandemic by country
COVID-19 pandemic in Kazakhstan	Kazakhstan, COVID-19 pandemic by country
COVID-19 pandemic in Turkmenistan	Turkmenistan, COVID-19 pandemic by country
COVID-19 pandemic in Laos	History of Laos, COVID-19 pandemic by country
COVID-19 pandemic in Uzbekistan	History of Uzbekistan, COVID-19 pandemic by country
COVID-19 pandemic in Kosovo	Kosovo, COVID-19 pandemic by country
COVID-19 pandemic in Cambodia	History of Cambodia, COVID-19 pandemic by country
COVID-19 pandemic in Cameroon	Cameroon, COVID-19 pandemic by country
COVID-19 pandemic in Mauritania	Mauritania, COVID-19 pandemic by country
COVID-19 pandemic in Oman	Oman, COVID-19 pandemic by country
COVID-19 pandemic in Burundi	Burundi, COVID-19 pandemic by country
COVID-19 pandemic in the Central African Republic	Central African Republic, COVID-19 pandemic by country
COVID-19 pandemic in Chad	Chad, COVID-19 pandemic by country
COVID-19 pandemic in Zambia	Zambia, COVID-19 pandemic by country
COVID-19 pandemic in Equatorial Guinea	Equatorial Guinea, COVID-19 pandemic by country
COVID-19 pandemic in Gabon	Gabon, COVID-19 pandemic by country
COVID-19 pandemic in the Gambia	The Gambia, COVID-19 pandemic by country
COVID-19 pandemic in Sudan	Sudan, COVID-19 pandemic by country
COVID-19 pandemic in Djibouti	Djibouti, COVID-19 pandemic by country
COVID-19 pandemic in South Sudan	South Sudan, COVID-19 pandemic by country
COVID-19 pandemic in Rwanda	Rwanda, COVID-19 pandemic by country
COVID-19 pandemic in São Tomé and Príncipe	São Tomé and Príncipe, COVID-19 pandemic by country
COVID-19 pandemic in Uganda	Uganda, COVID-19 pandemic by country
COVID-19 pandemic in Kuwait	Kuwait, COVID-19 pandemic by country
COVID-19 pandemic in Myanmar	History of Myanmar, COVID-19 pandemic by country
COVID-19 pandemic in Eswatini	Eswatini, COVID-19 pandemic by country
COVID-19 pandemic in Luxembourg	History of Luxembourg, COVID-19 pandemic by country
COVID-19 pandemic in Bosnia and Herzegovina	History of Bosnia and Herzegovina, COVID-19 pandemic by country
COVID-19 pandemic in Lesotho	Lesotho, COVID-19 pandemic by country
COVID-19 pandemic in East Timor	East Timor, COVID-19 pandemic by country
COVID-19 pandemic in Papua New Guinea	History of Papua New Guinea, COVID-19 pandemic by country
2020 Palghar mob lynching	2020 in India, April 2020 events, Lynching, Maharashtra, Murder in 2020, Murder in India
Bangladesh University of Engineering and Technology	1876 establishments, Colleges and universities in Bangladesh
Richard Gilder	1932 births, 2020 deaths, Deaths from congestive heart failure, American philanthropists, American conservatives, Businesspeople from New York City
Lewis Lehrman	1938 births, Living people, American political writers, American historians, American conservatives, American philanthropists, Writers from Pennsylvania, Businesspeople from Pennsylvania, Politicians from Pennsylvania, US Republican Party politicians
Lois Chiles	1947 births, Living people, American movie actors, American television actors, American models, Actors from Houston, Texas, Actresses who played Bond girls
Mischa de Vreede	1936 births, 2020 deaths, Critics, Dutch columnists, Dutch novelists, Dutch poets, People from Batavia
Rolf Hochhuth	1931 births, 2020 deaths, German critics, Playwrights
Keith Lyons	1952 births, 2020 deaths, Australian writers, Welsh writers, Australian educators
Buckley	Towns in Flintshire
Anisuzzaman	1937 births, 2020 deaths, Deaths from kidney disease, Deaths from cardiovascular disease, Bangladeshi writers
Jerzy Łapiński	1940 births, 2020 deaths, Polish movie actors, Polish television actors, Polish voice actors, Polish stage actors
Prime Minister of Lebanon	Prime Ministers of Lebanon
Najib Mikati	1955 births, Living people, Prime Ministers of Lebanon
Hassan Diab	1959 births, Living people, Prime Ministers of Lebanon
President of Lebanon	Presidents of Lebanon
Amine Gemayel	1942 births, Living people, Presidents of Lebanon
President of Zambia	Presidents of Zambia
List of presidents of São Tomé and Príncipe	Heads of state of São Tomé and Príncipe
Leonel Mário d'Alva	Living people, 1935 births, Prime Ministers of São Tomé and Príncipe, Heads of state of São Tomé and Príncipe
Miguel Trovoada	1937 births, Living people, Heads of state of São Tomé and Príncipe, Prime Ministers of São Tomé and Príncipe
Manuel Quintas de Almeida	Heads of state of São Tomé and Príncipe, 1957 births, 2006 deaths
Fradique de Menezes	1942 births, Living people, Heads of state of São Tomé and Príncipe
Fernando Pereira (major)	Heads of state of São Tomé and Príncipe, Year of birth missing (living people), Living people
Evaristo Carvalho	1942 births, Heads of state of São Tomé and Príncipe, Prime Ministers of São Tomé and Príncipe, Current national leaders, Living people
List of prime ministers of São Tomé and Príncipe	Prime Ministers of São Tomé and Príncipe
Decap Attack	1991 video games, Platform games, Sega Genesis games, Video games developed in Japan
Jorge Bom Jesus	Prime Ministers of São Tomé and Príncipe, Living people, 1962 births
Wilfred Jacobs	1919 births, 1995 deaths, Governors-general of Antigua and Barbuda
James Carlisle	Governors-general of Antigua and Barbuda, 1937 births, Living people
Rodney Williams	Governors-general of Antigua and Barbuda, 1947 births, Living people
Vere Bird	1910 births, 1999 deaths, Prime Ministers of Antigua and Barbuda
George Walter	1928 births, 2008 deaths, Prime Ministers of Antigua and Barbuda
Gaston Browne	1967 births, Current national leaders, Prime Ministers of Antigua and Barbuda, Living people
Pakalitha Mosisili	1945 births, Living people, Prime Ministers of Lesotho
Moshoeshoe II of Lesotho	1938 births, 1996 deaths, Road accident deaths, Kings and queens, Lesotho
Letsie III of Lesotho	1963 births, Living people, Lesotho, Kings and queens, Current national leaders
COVID-19 pandemic in Cape Verde	Cape Verde, COVID-19 pandemic by country
COVID-19 pandemic in Mali	History of Mali, COVID-19 pandemic by country
COVID-19 pandemic in Barbados	History of Barbados, COVID-19 pandemic by country
COVID-19 pandemic in Kenya	Kenya, COVID-19 pandemic by country
COVID-19 pandemic in Antigua and Barbuda	Antigua and Barbuda, COVID-19 pandemic by country
COVID-19 pandemic in Saint Kitts and Nevis	Saint Kitts and Nevis, COVID-19 pandemic by country
Owen Arthur	1949 births, 2020 deaths, Deaths from cardiovascular disease, Prime Ministers of Barbados
Sandra Mason	1949 births, Living people, Governors-General of Barbados, Current national leaders
Ralph McGehee	1928 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, American critics, Spies, Writers from Illinois, Military people from Illinois
COVID-19 pandemic in Jordan	History of Jordan, COVID-19 pandemic by country
COVID-19 pandemic in Grenada	History of Grenada, COVID-19 pandemic by country
Rouffiac-d'Aude	Communes in Aude
COVID-19 pandemic in Saint Vincent and the Grenadines	Saint Vincent and the Grenadines, COVID-19 pandemic by country
Roullens	Communes in Aude
COVID-19 pandemic in the Dominican Republic	21st century in the Dominican Republic, COVID-19 pandemic by country
COVID-19 pandemic in Dominica	Dominica, COVID-19 pandemic by country
St. Helens, Oregon	Cities in Oregon, County seats in Oregon
COVID-19 pandemic in Costa Rica	History of Costa Rica, COVID-19 pandemic by country
COVID-19 pandemic in Nicaragua	History of Nicaragua, COVID-19 pandemic by country
Heppner, Oregon	Cities in Oregon, County seats in Oregon
COVID-19 pandemic in Guatemala	History of Guatemala, COVID-19 pandemic by country
Rustiques	Communes in Aude
Saint-Amans, Aude	Communes in Aude
Saint-André-de-Roquelongue	Communes in Aude
Ronald J. Shurer	1978 births, 2020 deaths, Deaths from lung cancer, American military people, Medal of Honor recipients, People from Fairbanks, Alaska
Bubble Bobble	1986 video games, Arcade games, Game Boy games, Game Gear games, Amstrad CPC games, Amiga games, Commodore 64 games, DOS games, MSX games, Nintendo Entertainment System games, PlayStation 4 games, Master System games, Sega Saturn games
Yield to the Night	1956 drama movies, 1950s crime movies, British crime drama movies, Movies based on books, Movies directed by J. Lee Thompson
The Rock-afire Explosion	Fictional musical groups
Falmouth, Maine	Towns in Maine
Splash (movie)	1984 romance movies, 1984 comedy movies, 1980s fantasy movies, 1980s romantic comedy movies, American fantasy movies, American romantic comedy movies, Movies directed by Ron Howard
Aboud Khawaja	Yemeni singers, 1972 births, Living people, Yemeni composers
Back Street	1932 movies, 1930s drama movies, American drama movies, Movies based on books, Movies directed by John M. Stahl
Hussein Moheb	Yemeni singers, 1985 births, Living people, Yemeni composers
Banning	1967 drama movies, American sports drama movies
Karen Percy	1966 births, Living people, Canadian Olympic bronze medalists, Sportspeople from Alberta
The Keep (movie)	1983 horror movies, American horror movies, British horror movies, World War II movies, Movies directed by Michael Mann
Kevin Smyth	1973 births, Living people, Canadian ice hockey left wingers, Hartford Whalers players, Ice hockey people from Alberta, Moose Jaw Warriors players
Cutter's Way	1981 thriller movies, American thriller movies, Movies based on books, Movies directed by Ivan Passer
Faces of Women	1985 comedy movies, Ivorian movies
Omri Sharon	1964 births, Living people, Former Members of Knesset, Israeli military people, Israeli prisoners, Jewish Israeli criminals, Jewish Israeli politicians, Jewish military people, Kadima politicians, Likud politicians, Majors
The Great Waldo Pepper	1975 drama movies, American adventure movies, American drama movies
Theatro Technis	Theatres in the United Kingdom, Buildings and structures in London
Infanta Luisa Fernanda, Duchess of Montpensier	1832 births, 1897 deaths, Spanish infantes and infantas, House of Bourbon, House of Orléans, Princes and princesses, Dukes and duchesses of France, People from Madrid
Sacking of Osceola	1860s in Missouri, American Civil War battles, Massacres of the American Civil War
Drumhead court-martial	Law, Military
Death by burning	Fire, Torture, Capital punishment
James Montgomery (colonel)	1814 births, 1871 deaths, American abolitionists
Charles R. Jennison	1834 births, 1884 deaths, American abolitionists, People from Leavenworth, Kansas
George Henry Hoyt	1837 births, 1877 deaths, Kansas Republicans, 19th-century American politicians, Massachusetts Republicans, American abolitionists
William T. Anderson	1840 births, 1864 deaths, Bushwhackers, American rapists, People from Kentucky, People from Missouri, Deaths by firearm in the United States
Steven Cohen	1956 births, Living people, American billionaires, American philanthropists, Businesspeople from New York City, Jewish American politicians, Jewish billionaires, Jewish businesspeople, People from Great Neck, New York
Frank James	1843 births, 1915 deaths, Bushwhackers
Androphilia and gynephilia	Human sexuality
William E. Miller	1914 births, 1983 deaths, 20th-century American politicians, Burials at Arlington National Cemetery
Wisconsin's 8th congressional district	Green Bay, Wisconsin, Congressional districts of Wisconsin
Wisconsin State Senate	State upper houses in the United States, Wisconsin
Val-de-Vie	2016 establishments in France, Communes in Calvados
Saint-Benoît, Aude	Communes in Aude
Saint-Couat-d'Aude	Communes in Aude
Saint-Couat-du-Razès	Communes in Aude
Saint-Denis, Aude	Communes in Aude
Sainte-Camelle	Communes in Aude
Sainte-Colombe-sur-l'Hers	Communes in Aude
Sainte-Eulalie, Aude	Communes in Aude
BMW M3	1980s automobiles, 1990s automobiles, 2000s automobiles, 2010s automobiles, BMW
Sainte-Valière	Communes in Aude
Saint-Ferriol	Communes in Aude
NA 95 (Mianwali I)	Politics of Pakistan
Arcenant	Communes in Côte-d'Or
Orain	Communes in Côte-d'Or
Saint-Frichoux	Communes in Aude
The Happy Years	1950 comedy movies, 1950s romance movies, 1950s romantic comedy movies, American romantic comedy movies, Movies based on books, Movies directed by William A. Wellman
Pofatu Database	Archaeology, Databases
Moya Brennan	1952 births, Living people, Grammy Award winners, Irish singers, New Age music, People from County Donegal
Fingers (1978 movie)	1978 drama movies, 1970s crime drama movies, American crime drama movies
Chasseur (sauce)	Sauces
Hickory	Edible nuts and seeds, Fagales, Flora of Indo-China, Fruits, Trees
Report to the Commissioner	1975 drama movies, 1970s crime drama movies, American crime drama movies
Annie Get Your Gun (movie)	1950 movies, 1950s musical movies, American musical movies, Movies directed by George Sidney, Movies directed by Busby Berkeley
Born Yesterday	1950 comedy movies, American comedy movies, Movies directed by George Cukor, Movies based on plays
Broken Arrow (1950 movie)	1950 movies, 1950s western movies, American western movies, Movies based on books, 20th Century Fox movies, Movies directed by Delmer Daves
Francis the Talking Mule	1950 comedy movies, 1950s fantasy movies, American fantasy movies, American comedy movies, Movies based on books, Movies directed by Arthur Lubin
Mohawk (movie)	1956 drama movies, American drama movies, Movies directed by Kurt Neumann
American Enterprise Institute	Think tanks, Politics
Center for Strategic and International Studies	Politics, Think tanks
Se2grXII	Septuagint manuscripts, 1st-century biblical manuscripts
Mercury-Redstone 3	1961 in the United States, NASA
Arcadia Publishing	Publishing companies of the United States, 1993 establishments in the United States
Riad Ismat	1947 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, Infectious disease deaths in Chicago, Syrian people, Critics, Theatre directors, Playwrights, Educators
Astrid Kirchherr	1938 births, 2020 deaths, Cancer deaths in Germany, German artists, German photographers, People from Hamburg
World Snooker Championship	Articles with hCards, World Snooker Championship
Dick Taylor	1943 births, Living people, The Rolling Stones members, English rock guitarists, English pianists, English songwriters, R&B musicians, Musicians from Kent, Writers from Kent
List of world snooker champions	World Snooker Championship
Judd Trump	Living people, 1989 births
Teresa Aquino-Oreta	1944 births, 2020 deaths, Filipino politicians
Henryk Jaskuła	1923 births, 2020 deaths, Polish people, Engineers
Khalid Mahmood (cleric)	1925 births, 2020 deaths, Deaths from fractured hip, Pakistani politicians, Philosophers, Pakistani judges
Bob Watson	1946 births, 2020 deaths, Deaths from kidney disease, Houston Astros players, Boston Red Sox players, New York Yankees players, Atlanta Braves players, Oakland Athletics, Sportspeople from Los Angeles, California, Businesspeople from Los Angeles, California
Claes Borgström	1944 births, 2020 deaths, Politicians from Stockholm, Swedish lawyers, Deaths from the COVID-19 pandemic in Sweden
Guido Cerniglia	1939 births, 2020 deaths, Italian movie actors, Italian television actors, Italian voice actors, Italian stage actors, Italian theatre directors
Sergio Denis	1949 births, 2020 deaths, Argentine singers, Argentine writers, Argentine actors, Pop musicians, Pop singers, Songwriters, Argentine pianists, Deaths from stroke, Accidental deaths from falls
Ernie Gonzalez	1961 births, 2020 deaths, Deaths from Alzheimer's disease, Disease-related deaths in Chicago, Illinois, American golfers, Sportspeople from San Diego, California, Sportspeople from Las Vegas, Nevada
Bible d'Olivétan	Bible versions
Mitch Greenlick	1935 births, 2020 deaths, State legislators of the United States, Politicians from Detroit, Michigan, Politicians from Portland, Oregon, US Democratic Party politicians
Phil May (singer)	1944 births, 2020 deaths, Deaths from surgical complications, English pop singers, English pop musicians, English rock singers, English rock musicians, English singer-songwriters, Musicians from Kent, Writers from Kent
Triple Crown (snooker)	Pages containing links to subscription-only content, World Snooker Championship, UK Championship
Julio Anguita	1941 births, 2020 deaths, Spanish politicians, Mayors, Deaths from myocardial infarction
Claudie Haigneré	1957 births, Living people, Astronauts, French businesspeople, French physicians, French politicians, French scientists
Pilar Pellicer	1938 births, 2020 deaths, Deaths from the COVID-19 pandemic in Mexico, Mexican movie actors, Mexican television actors, Mexican voice actors, Mexican stage actors, Actors from Mexico City
Henrik Pontén	1965 births, 2020 deaths, Road accident deaths, Swedish businesspeople, Swedish lawyers
K. Varadarajan	1946 births, 2020 deaths, Deaths from respiratory failure, Indian politicians, Indian activists
Jumada al-Ula	Islamic calendar, Months
Lynn Shelton	1956 births, 2020 deaths, Deaths from blood disease, Disease-related deaths in Los Angeles, American television directors, American television producers, American movie actors, American television actors, American editors, LGBT directors, LGBT actors, LGBT producers, LGBT screenwriters, Bisexual people, Movie directors from Ohio, Movie producers from Ohio, Screenwriters from Ohio, Actors from Ohio, Actors from Seattle, Washington, Writers from Seattle, Washington
Oberlin, Ohio	Cities in Ohio
Saint-Gaudéric	Communes in Aude
Saint-Jean-de-Barrou	Communes in Aude
Saint-Jean-de-Paracol	Communes in Aude
