Positron emission tomography	Medical imaging
Loïc Bouvard	1929 births, 2017 deaths, French politicians
Bill Harris	1934 births, 2017 deaths, American military personnel of the Korean War, American military personnel of the Vietnam War, Politicians from Tennessee, Politicians from Ohio, Businesspeople from Tennessee, Businesspeople from Ohio, Military people from Tennessee, Military people from Ohio, US Republican Party politicians
Smashburger	American fast food restaurants, Denver, Colorado, 2007 establishments in the United States
Surfactant	Chemistry
Atatürk Olympic Stadium	Football stadiums in Turkey, Istanbul, 2002 establishments
Bellagio	Towns in Italy, Settlements in Lombardy
Emily Davison	1872 births, 1913 deaths, People from London
Impalement	Torture, Capital punishment
Packet switching	Computer networking
Per Zennstrom	Living people, Swedish photographers
Kyle McCulloch	1962 births, Living people, Actors from Winnipeg, Canadian television producers, Canadian television writers, Canadian voice actors
Dubrovytsia	Cities in Ukraine
Tomb Raider (2013 video game)	2013 video games, Adventure games, MacOS games, PlayStation 3 games, PlayStation 4 games, Windows games, Xbox 360 games, Xbox One games
Meghan, Duchess of Sussex	1981 births, Living people, Actors from Los Angeles, California, American movie actors, American television actors, Humanitarians, Models from Los Angeles, California
Cristina Stamate	1946 births, 2017 deaths, Deaths from stroke, People from Bucharest, Romanian movie actors, Romanian stage actors, Romanian television actors
Golshifteh Farahani	1983 births, Living people, French movie actors, French singers, French stage actors, Iranian actors, Iranian singers, People from Tehran
Zla Kolata	Mountains of Europe, Montenegro
Luemschwiller	Communes in Haut-Rhin
Luttenbach-près-Munster	Communes in Haut-Rhin
Amboise	Communes in Indre-et-Loire
Grammy Award for Best Spoken Word Album	Grammy Awards
Bogdan Maglich	Naturalized citizens of the United States, Serbian people, American physicists, 1928 births, 2017 deaths
Hou Bo	1924 births, 2017 deaths, Chinese people, Photographers, Communists
Bud Moore	Purple Heart recipients, 1925 births, 2017 deaths, NASCAR drivers, American military personnel of World War II, Sportspeople from South Carolina, People from Spartanburg, South Carolina
Richard Cordray	1959 births, Living people, American lawyers, Directors of the Consumer Financial Protection Bureau, Politicians from Ohio, US Democratic Party politicians
Consumer Financial Protection Bureau	2011 establishments in the United States, United States government agencies
Patrícia Gabancho	1952 births, 2017 deaths, Deaths from lung cancer, Cancer deaths in Spain, Argentine writers, Spanish writers, Argentine journalists, People from Barcelona, People from Buenos Aires, Spanish journalists
Unit load device	Aviation, Containers
Landmass	Geology
Dhyan Chand	1905 births, 1979 deaths, Field hockey players, Olympic gold medalists, Indian sportspeople, Autobiographers, People from Uttar Pradesh
Irrawaddy River	Rivers of Myanmar
Google Pixel	Google mobile phones
Domhnall Gleeson	1983 births, Living people, Actors from Dublin, Irish movie actors, Irish stage actors, Irish television actors, Irish voice actors, Writers from Dublin
Will Poulter	1993 births, Living people, Actors from London, BAFTA Award winning actors, English movie actors, English television actors, People from Hammersmith
Slobodan Praljak	1945 births, 2017 deaths, Croatian people, Deaths from heart failure, Criminals who committed suicide, Engineers, Generals, Movie directors, People who committed suicide in prison custody, Prisoners, Suicides by poison, War criminals
The Shadows No. 2	Music
Robert Bosch GmbH	Companies of Germany, Baden-Württemberg, 1886 establishments in Europe, 1880s establishments in Germany
Robert Batailly	1934 births, 2017 deaths, French politicians
Medel (Lucmagn)	Municipalities of Graubünden
Rhäzüns	Municipalities of Graubünden
Tamins	Municipalities of Graubünden
Trin	Municipalities of Graubünden
Lukman Haruna	1990 births, Nigerian footballers, People from Lagos, Living people
Lutter, Haut-Rhin	Communes in Haut-Rhin
Günther Jauch	1956 births, Living people, German journalists, German television presenters, Writers from North Rhine-Westphalia, Writers from Brandenburg, People from Münster, People from Potsdam
Sargans	Municipalities of St. Gallen, Cities in Switzerland
Voov	Social networking
Luis Gutiérrez	1953 births, Living people, United States representatives from Illinois, Politicians from Chicago, US Democratic Party politicians
Belmiro de Azevedo	1938 births, 2017 deaths, Portuguese businesspeople
Life Is Strange	2015 video games, Adventure games, PlayStation 3 games, PlayStation 4 games, Windows games, Xbox 360 games, Xbox One games
Raj Kapoor	1924 births, 1988 deaths, Indian movie actors, Indian movie directors, Indian movie producers, Actors from Mumbai
Hilary B. Price	1969 births, Living people, American cartoonists, People from Massachusetts
Umberto Pettinicchio	People from Apulia, Living people, Italian painters, Italian sculptors
Incus	Bones
Siege of Leningrad	World War II, Saint Petersburg, Sieges
Kirsty MacColl	1959 births, 2000 deaths, Accidental deaths, English pop singers, English singer-songwriters, Manslaughter victims, Singers from Surrey
Eluru	Settlements in Andhra Pradesh, Cities in India
West Godavari district	Districts of Andhra Pradesh
Rob Brydon	1965 births, Living people, Actors from Glamorgan, British comedians, British radio personalities, British television presenters, Members of the Order of the British Empire, Musicians from Glamorgan, Welsh movie actors, Welsh singers, Welsh television actors, Welsh voice actors
Lee Mack	1968 births, Living people, Actors from Lancashire, British stand-up comedians, Comedians from Lancashire, English autobiographers, English television actors
Tommy Cooper	1921 births, 1984 deaths, British stand-up comedians, Cardiovascular disease deaths in London, Deaths from myocardial infarction, British magicians, Welsh entertainers
Gomer Pyle, U.S.M.C.	American television, 1964 television series debuts, American sitcoms, CBS network shows, English-language television programs
2001 southern Peru earthquake	Earthquakes in the 2000s, Peru
Opinion poll	Social sciences
Lester Holt	NBC, American television presenters
Deaths in December 2017	2017 deaths
Ethereum	Cryptocurrency, Software
Adarsh Sein Anand	1936 births, 2017 deaths, Chief Justices of India, Indian lawyers
Patrick O'Brian	1914 births, 2000 deaths, British military personnel of World War II, Commanders of the Order of the British Empire, English novelists, Translators, Writers from Buckinghamshire
Joel Edgerton	1974 births, Living people, Actors from Sydney, Australian movie actors, Australian movie directors, Australian movie producers, Australian screenwriters, Australian television actors, Australian voice actors, Writers from Sydney
Allianz	1890 establishments in Europe, Banks of Germany, Insurance companies, Munich, 1890s establishments in Germany
Schlans	Former municipalities of Graubünden
Vals, Switzerland	Municipalities of Graubünden, Ski areas and resorts in Switzerland, Spa towns
Sagogn	Municipalities of Graubünden
Wanna One	South Korean boy bands, K-pop music groups, 2017 establishments in South Korea
Smart	1994 establishments in Germany, Automobile companies of Germany, Baden-Württemberg
Lutterbach	Communes in Haut-Rhin
Sumvitg	Municipalities of Graubünden
Delsa Solórzano	1971 births, Venezuelan people, Living people
Dr. Oetker	1890s establishments in Germany, 1891 establishments in Europe, Companies of Germany, Food companies of Europe, Bielefeld
Corbynmania	Jeremy Corbyn
Robert Mueller	1944 births, Living people, American military personnel of the Vietnam War, American lawyers, Directors of the Federal Bureau of Investigation, Politicians from New York City, US Republican Party politicians
Republic of Liberia national defence forces	Liberia
Saintes, Charente-Maritime	Subprefectures in France, Communes in Charente-Maritime
Charles C. McDonald	1933 births, 2017 deaths, Deaths from motor neurone disease, Disease-related deaths in Florida, American military personnel of the Vietnam War, People from Wisconsin
Stephen Knapp	1947 births, 2017 deaths, Deaths from acute myeloid leukemia, American artists, Cancer deaths in Massachusetts
Aminul Islam (academic)	1935 births, 2017 deaths, Bangladeshi people, Bangladeshi educators
Surin Pitsuwan	1949 births, 2017 deaths, ASEAN, Deaths from heart failure, Asian diplomats, Thai politicians
Time in the United Arab Emirates	Time by country, United Arab Emirates
Time in Indonesia	Time by country, Indonesia
Cliff Williams	1949 births, Living people, English rock guitarists, English rock singers, Musicians from Essex, Rock and Roll Hall of Fame inductees
Charles E. Merrill Jr.	1920 births, 2017 deaths, Harvard University alumni, American educators, American philanthropists, Writers from Massachusetts
Colin Groves	1942 births, 2017 deaths, Australian writers, Australian educators, People from Canberra
Marina Popovich	1931 births, 2017 deaths, Military people, Russian scientists, Russian engineers
Vincent Scully	1920 births, 2017 deaths, American historians, Writers from New Haven, Connecticut
James Kisicki	1938 births, 2017 deaths, American movie actors, American television actors, American stage actors, American voice actors, Actors from Chicago, Actors from Florida, Actors from Detroit, Michigan, People from Ocala, Florida
Physical unclonable function	Cryptography, Numbers
Amar Singh Thapa	1751 births, 1816 deaths, History of Nepal
Israel Horovitz	1939 births, 2020 deaths, Cancer deaths in New York City, American playwrights, Screenwriters from Massachusetts
Fredy Schmidtke	1961 births, 2017 deaths, Deaths from myocardial infarction, German cyclists, German Olympic gold medalists, People from Cologne, Sportspeople from North Rhine-Westphalia
Philipp Graf Lerchenfeld	1952 births, 2017 deaths, Accountants, Cancer deaths in Germany, Deaths from lung cancer, Former members of the German Bundestag, German Roman Catholics, People from Regensburg, Politicians from Bavaria, Politicians of the Christian Social Union of Bavaria
Grand Prix (TV programme)	BBC Television programmes, Sports television series, 1970s British television series, 1980s British television series, 1990s British television series
Zastava M84	General-purpose machine guns
Asepsis	Medicine, Microbiology
Time in Hungary	Time by country, Hungary
Crato	Cities in Ceará
Trun	Municipalities of Graubünden
CBS Morning News	American television news programs, CBS network shows, English-language television programs
Rondon Pacheco	1919 births, 2016 deaths, Brazilian politicians, Deaths from pneumonia, Disease-related deaths in Brazil, Minas Gerais
Tujetsch	Municipalities of Graubünden, Ski areas and resorts in Switzerland
Gladys Nordenstrom	1924 births, 2016 deaths, American classical musicians, American composers, American pianists, Musicians from Minnesota, Recipients of the Decoration for Services to the Republic of Austria
Valendas	Former municipalities of Graubünden, 2013 disestablishments in Switzerland
Irina Bilyk	1970 births, Ukrainian singers
Versam	Former municipalities of Graubünden, 2013 disestablishments in Switzerland
Safien	Former municipalities of Graubünden, 2013 disestablishments in Switzerland
Garth Ennis	1970 births, Living people, American atheists, American comics writers, British atheists, British writers, People from County Down
Schmitten, Graubünden	Municipalities of Graubünden
Magny, Haut-Rhin	Communes in Haut-Rhin
Alain Jessua	1932 births, 2017 deaths, French movie directors, French screenwriters, Writers from Paris
Magstatt-le-Bas	Communes in Haut-Rhin
Magstatt-le-Haut	Communes in Haut-Rhin
Randall Park	1974 births, Living people, Actors from Los Angeles, California, American comedians, American movie actors, American television actors, American television writers, Comedians from Los Angeles, California, Writers from Los Angeles, California
2017–18 Premier League	Football leagues in the United Kingdom, 2017 in association football, 2018 in association football, Premier League
Time in Oman	Time by country, Oman
Saint-Michel-sur-Orge	Communes in Essonne
Mundell Lowe	1922 births, 2017 deaths, American guitarists, American jazz musicians, Musicians from Mississippi
Jerzy Kłoczowski	1924 births, 2017 deaths, Military personnel of World War II, Polish academics, Polish historians, Polish military people
