Positron emission tomography	Medical imaging
George Walker (composer)	Pulitzer Prize winners, 1922 births, 2018 deaths, Accidental deaths from falls in the United States, American autobiographers, American composers, American educators, Writers from Washington, D.C.
Fire sprinkler	Fire
Kennington tube station	Northern Line stations, Transport in Lambeth, London Travelcard zone 2
Christine King Farris	1927 births, Living people, American educators, American civil rights activists, Martin Luther King Jr., Writers from Atlanta, Georgia
J. Joseph Curran Jr.	1931 births, Living people, American lawyers, Politicians from Florida, Lieutenant Governors of Maryland, US Democratic Party politicians
María Vicuña	1978 births, Living people, Vice Presidents of Ecuador, People from Guayaquil
Hans Frauenfelder	1922 births, Living people, Naturalized citizens of the United States, American physicists, American biologists, Swiss scientists, Schaffhausen
Alain Touraine	1925 births, Living people, French sociologists
Robert Mundell	1932 births, 2021 deaths, Deaths from cholangiocarcinoma, Canadian economists, Writers from Ontario, University of Waterloo, Canadian Nobel Prize winners, Columbia University faculty
Adrienne	Given names
Adrienne Shelly	People murdered in North America, Murdered entertainers, Actors from New York City, 1966 births, 2006 deaths
MusicBrainz	Music media, Entertainment websites
Dhaka International Film Festival	Movie festivals, Bangladesh, 1992 establishments in Asia
Christine Lakin	American movie actors, American television actors, American voice actors, 1979 births, Living people
The Centaurus	Buildings and structures in Islamabad
Johnson County War	19th century in Wyoming, Benjamin Harrison
Payerne	Municipalities of Vaud, Cities in Switzerland
Pignia	Former municipalities of Graubünden
Rongellen	Municipalities of Graubünden
Gerd Cintl	1938 births, 2017 deaths, Sportspeople from North Rhine-Westphalia, German people, Rowers
Didier Burkhalter	1960 births, Living people, Presidents of the Swiss Confederation
Osenbach	Communes in Haut-Rhin
Ostheim, Haut-Rhin	Communes in Haut-Rhin
Coalisland	Towns in Northern Ireland
Arson in royal dockyards	Acts of the Parliament of the United Kingdom, 1772, 1770s in the Kingdom of Great Britain
Prince François, Count of Clermont	1961 births, 2017 deaths, French royalty, Princes and princesses
Henri, Count of Paris (1933–2019)	1933 births, 2019 deaths, French royalty, French painters, French military people, French writers
Cheryll Sotheran	1945 births, 2017 deaths, Deaths from stroke, New Zealand people, Civil servants, Philanthropists
Flag of Egypt	National flags, Egypt
John Clarke (satirist)	1948 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Australia, New Zealand movie actors, New Zealand television actors, New Zealand voice actors, New Zealand comedians, New Zealand writers, Australian movie actors, Australian television actors, Australian voice actors, Australian novelists, Australian screenwriters, Australian comedians
J. Richard Clarke	1927 births, Living people, People from Idaho
John Clarke (actor)	1932 births, 2019 deaths, Deaths from pneumonia, Disease-related deaths in California, American television actors, American movie actors, Actors from Indiana
Zimmersheim	Communes in Haut-Rhin
Tessa Jowell	1947 births, 2018 deaths, Deaths from brain cancer, Deaths from cerebral hemorrhage, Former Labour MPs (UK), Politicians from London
June Brown	1927 births, Living people, English television actors, English stage actors, English movie actors, Actors from Suffolk
Mark E. Smith	1957 births, 2018 deaths, Deaths from lung cancer, Deaths from kidney cancer, Cancer deaths in England, English guitarists, English pianists, English singer-songwriters, Musicians from Lancashire, Singers from Lancashire, Writers from Lancashire
Makoto Shinkai	Living people, 1973 births, Japanese animators, Japanese movie producers, Japanese screenwriters, Japanese movie directors, Anime directors
PM md. 63	Assault rifles
Beautiful Inside	Louise songs, 2000 songs, Hip hop soul songs, Blue-eyed soul songs, R&B songs
Light of My Life	1995 songs, Debut singles, Louise songs, Pop songs, Blue-eyed soul songs, R&B songs
Atalanta	People in Greek mythology
Disco (Grace Jones album)	1977 albums, 1978 albums, 1979 albums, 2015 albums, Grace Jones albums, Compilation albums, Disco albums, R&B albums
National League Division Series	Major League Baseball
Ebrahim Nafae	1934 births, 2018 deaths, Deaths from lung cancer, Deaths from surgical complications, Egyptian writers, Egyptian journalists
Manuel Olivencia	1929 births, 2018 deaths, Deaths from respiratory failure, Accidental deaths from falls, Spanish writers, Spanish politicians, Spanish diplomats, Spanish educators, Spanish economists
Lalo Schifrin	1932 births, Living people, Argentine pianists, Jazz musicians, Composers, Conductors, People from Buenos Aires
Präz	Former municipalities of Graubünden
Ottmarsheim	Communes in Haut-Rhin
Kundali Bhagya	2010s television series, Drama television series, 2017 Indian television series debuts
Saoirse Ronan	1994 births, Living people, Irish actors
Annette Crosbie	BAFTA Award winning actors, 1934 births, Living people, Scottish movie actors, Scottish television actors, Scottish voice actors, Scottish stage actors
The Founder	2010s biographical movies, 2016 drama movies, American biographical movies, American drama movies, Movies set in the 1950s, Movies set in Illinois, Movies set in California, McDonald's
John Carroll Lynch	1963 births, Living people, American movie actors, American television actors, American voice actors, American movie directors, Actors from Denver, Colorado, People from Boulder, Colorado
Richard and Maurice McDonald	1909 births, 1902 births, 1998 deaths, 1971 deaths, Deaths from myocardial infarction, Deaths from heart failure, Businesspeople from California, Sibling duos, McDonald's, People from Manchester, New Hampshire, People from San Bernardino, California
Mauro Staccioli	1937 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in Italy, Italian educators, Italian sculptors, People from Milan
Inverse element	Algebra
Zumbastico Fantástico	Cartoon Network, Cartoon Network series, 2011 television series debuts, 2012 television series endings
Khoisan	South African people
Steatopygia	Anthropology, Human sexuality, Human body features, Physical anthropology
Luo	Ethnic groups in Africa
Ferdinando Imposimato	1936 births, 2018 deaths, Italian human rights activists, Italian politicians, Italian judges, Italian lawyers, People from Campania
Tim Sweeney	1929 births, 2018 deaths, Irish sportspeople
Persistence hunting	Hunting
DStv	Television, Africa, 1991
Bâgé-Dommartin	2018 establishments in France, Communes in Ain
Subaru Ascent	Sport utility vehicles, 2010s automobiles, 2020s automobiles
Lil Pump	2000 births, Living people, Warner Bros. Records artists
Petit-Landau	Communes in Haut-Rhin
Jahn Otto Johansen	1934 births, 2018 deaths, Norwegian writers, Norwegian journalists, Novelists
Ali Akbar Moinfar	1928 births, 2018 deaths, Deaths from renal failure, Iranian politicians
Rick Hall	1932 births, 2017 deaths, Deaths from prostate cancer, Cancer deaths in the United States, American songwriters, American record producers, American country musicians, American soul musicians, American funk musicians, Musicians from Mississippi, Musicians from Alabama, Musicians from Illinois, Writers from Mississippi, Writers from Alabama, Writers from Illinois, People from Rockford, Illinois
George Clements	1932 births, 2019 deaths, Deaths from stroke, Deaths from myocardial infarction, American Roman Catholics, Roman Catholic priests, American civil rights activists, People from Chicago
Jack F. Matlock Jr.	1929 births, Living people, American educators, American historians, Ambassadors of the United States, Politicians from North Carolina, People from Greensboro, North Carolina
Rebecca Matlock	1928 births, Living people, American photographers, Writers from Tennessee
Naina Yeltsina	1932 births, Living people, First Ladies, People from Moscow
Joseph Rose	Canadian singer-songwriters, Living people, Musicians from Vancouver
Robert Mann	1920 births, 2018 deaths, American composers, American conductors, American violinists, American educators, Musicians from New York City, Musicians from Portland, Oregon
The Conjuring 2	2016 horror movies, American horror movies, American ghost movies, Movies set in the 1970s, Movies set in London, Warner Bros. movies
Hurricane Julia (2010)	Category 4 Atlantic hurricanes
American League Division Series	American League, Baseball, Major League Baseball
Wolf Point East Tower	Proposed skyscrapers in the United States
Rock N Roll McDonald's	Buildings and structures in Chicago, Illinois, McDonald's, 1983 establishments in the United States, 1980s establishments in Illinois
1000M	Proposed skyscrapers in the United States
Helmut Jahn	1940 births, 2021 deaths, German architects, Naturalized citizens of the United States, Architects from Chicago, Road accident deaths in the United States
Gateway Tower (Chicago)	Proposed skyscrapers in the United States
Streeterville	Neighborhoods in Chicago
Humboldt Park, Chicago	Community areas of Chicago
Kappalottiya Tamizhan	Tamil-language movies
West Side, Chicago	Neighborhoods in Chicago
North Side, Chicago	Neighborhoods in Chicago
East Side, Chicago	Community areas of Chicago
Oak Street Beach	Landmarks in Chicago, Beaches of the United States
Chicago Park District	Parks in Chicago
Time-Life Building (Chicago)	1969 establishments in Illinois
Cloud Gate	Buildings and structures in Chicago, Illinois
Harold Washington Library	Buildings and structures in Chicago, Illinois
The Loop (CTA)	Transport in Chicago, 1890s establishments in Illinois
Jefferson Park, Chicago	Community areas of Chicago
Happy Birthday to You	Songs
Norwood Park, Chicago	Community areas of Chicago
Mahé, India	Towns in India, Settlements in Puducherry
Coonoor	Nilgiris district
Zillis-Reischen	Municipalities of Graubünden
Pfaffenheim	Communes in Haut-Rhin
Pfastatt	Communes in Haut-Rhin
NGC 6025	Open star clusters
Taye Taiwo	1985 births, Nigerian footballers, People from Lagos, Living people
Pulversheim	Communes in Haut-Rhin
Ton Fan Group	Art movements, Taiwan
Fred Bass	1928 births, 2018 deaths, Deaths from congestive heart failure, Cardiovascular disease deaths in New York City, Businesspeople from New York City
Lawal Kaita	1932 births, 2018 deaths, Deaths from liver failure, Nigerian politicians
Conan the Indomitable	1989 books, American novels, Fantasy books
Yadgir district	Districts of Karnataka
John Skehel	1941 births, Living people, British biologists, Virologists, Knights Bachelor, Fellows of the Royal Society
Francis Crick Institute	Research organizations in the United Kingdom, London Borough of Camden
Nine-dart finish	Darts
Waadhoeke	Waadhoeke, 2018 establishments in the Netherlands
WWE Roadblock	World Wrestling Entertainment pay-per-view events
Bühler	Municipalities of Appenzell Ausserrhoden
Sarn, Switzerland	Former municipalities of Graubünden
Pfetterhouse	Communes in Haut-Rhin
Raedersdorf	Communes in Haut-Rhin
Aharon Appelfeld	1932 births, 2018 deaths, Hebrew University of Jerusalem alumni, Holocaust survivors, Israeli academics, Jewish academics, Jewish Israeli writers, Naturalized citizens of Israel, Novelists, Romanian Jews
Bruce Halle	1930 births, 2018 deaths, American philanthropists, Businesspeople from Massachusetts, American conservatives, Republicans (United States), People from Springfield, Massachusetts, Businesspeople from Phoenix, Arizona
Frank Buxton	1930 births, 2018 deaths, Cardiovascular disease deaths in Washington (state), American movie actors, American television actors, American voice actors, American stage actors, American television directors, American television writers, American screenwriters, Actors from Massachusetts, Writers from Massachusetts, Actors from Washington, Writers from Washington
Trust (U.S. TV series)	American crime television series, Fox television series, J. Paul Getty, English-language television programs
West Orange, New Jersey	Townships in New Jersey
Livingston, New Jersey	Townships in New Jersey
Guida Maria	1950 births, 2018 deaths, Deaths from pancreatic cancer, Portuguese movie actors, Portuguese television actors, Portuguese voice actors, Portuguese stage actors, People from Lisbon
New Glasgow, Nova Scotia	Towns in Nova Scotia
Vladimir Yankilevsky	1938 births, 2018 deaths, Deaths from leukemia, Cancer deaths in France, Russian artists, Painters, Sculptors, People from Moscow
Mary Anne Krupsak	1932 births, Living people, American lawyers, Lieutenant Governors of New York (state), Businesspeople from Buffalo, New York, Politicians from Buffalo, New York, US Democratic Party politicians, People from Schenectady, New York
Ryakuji	Japanese language, Writing systems
Amanda Cottreau	Canadian songwriters, Musicians from Ontario
Grauman's Chinese Theatre	1920s establishments in California, 1927 establishments in the United States
Ravenswood, Chicago	Neighborhoods in Chicago
Lincoln Square, Chicago	Community areas of Chicago
Logan Square, Chicago	Community areas of Chicago
Wicker Park, Chicago	Neighborhoods in Chicago
West Town, Chicago	Community areas of Chicago
Chicago Tonight	1984 American television series debuts, Television series set in Chicago, Illinois, American television news programs, 1980s establishments in Illinois
Asghar Khan	1921 births, 2018 deaths, Deaths from Parkinson's disease, Pakistani politicians, Historians, Military people, Activists
Respiratory tract infection	Infectious diseases
North Center, Chicago	Community areas of Chicago
2003 Chicago balcony collapse	2003 in the United States, 2000s in Chicago
Rogers Park, Chicago	Community areas of Chicago
West Ridge, Chicago	Community areas of Chicago
Uptown, Chicago	Community areas of Chicago
Edison Park, Chicago	Community areas of Chicago
North Park, Chicago	Community areas of Chicago
Albany Park, Chicago	Community areas of Chicago
Hermosa, Chicago	Community areas of Chicago
Belmont Cragin, Chicago	Community areas of Chicago
Montclare, Chicago	Community areas of Chicago
Dunning, Chicago	Community areas of Chicago
River Grove, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Avondale, Chicago	Community areas of Chicago
Austin, Chicago	Community areas of Chicago
Johannes Brost	1946 births, 2018 deaths, Deaths from pancreatic cancer, Cancer deaths in Sweden, Swedish movie actors, Swedish television actors, Swedish voice actors, Swedish comedians, Actors from Stockholm
West Garfield Park, Chicago	Community areas of Chicago
East Garfield Park, Chicago	Community areas of Chicago
North Lawndale, Chicago	Community areas of Chicago
South Lawndale, Chicago	Community areas of Chicago
Lower West Side, Chicago	Community areas of Chicago
Englewood, Chicago	Community areas of Chicago
Mia Love	1975 births, Living people, United States representatives from Utah, American activists, American mayors, Politicians from Brooklyn, US Republican Party politicians
Range Rover	Rover automobiles
Annapolis Royal	Towns in Nova Scotia
Bombycidae	Moths
Stewiacke	Towns in Nova Scotia, 1906 establishments in North America, 1900s establishments in Canada
Demographics of Nova Scotia	Nova Scotia
List of population centres in Nova Scotia	Settlements in Nova Scotia
List of Nanalan' episodes	American animated television series, Lists of animated television series episodes
Ni Hao, Kai-Lan	2008 American television series debuts, 2011 television series endings, Animated television series, Television series by Cookie Jar Entertainment, Nickelodeon television series, 2008 Canadian television series debuts, 2011 disestablishments in the United States, 2010s disestablishments in Canada, English-language television programs
Midden-Groningen	Midden-Groningen, 2018 establishments in the Netherlands
Westerwolde	Westerwolde, 2018 establishments in the Netherlands
John Byron (British Army officer)	1756 births, 1791 deaths, British Army officers
Marián Labuda	1944 births, 2018 deaths, Slovakian actors, Movie actors, Stage actors, Television actors
John Byron (Royal Navy officer)	1723 births, 1786 deaths, Royal Navy officers
Urmein	Municipalities of Graubünden
Man of the Woods	Justin Timberlake albums, 2018 albums
Filthy (song)	Justin Timberlake, 2018 songs
Senichi Hoshino	1947 births, 2018 deaths, Deaths from pancreatic cancer, Japanese baseball players, People from Okayama Prefecture
Philipp Jenninger	1932 births, 2018 deaths, Former members of the German Bundestag, Ambassadors of Germany, Government ministers of Germany, Politicians from Baden-Württemberg, Politicians of the Christian Democratic Union of Germany
Wolfgang Schäuble	1942 births, Living people, Presidents of the German Bundestag
Aydın Boysan	1921 births, 2018 deaths, Deaths from multiple organ failure, Disease-related deaths in Turkey, Turkish writers, Architects, Essayists, Turkish educators, Columnists, People from Istanbul
Marina Ripa Di Meana	1941 births, 2018 deaths, Deaths by euthanasia, Drug-related suicides, People with cancer, Italian movie actors, Italian television actors, Italian movie directors, Italian writers, Italian television personalities, Italian models, Autobiographers, Italian human rights activists, Animal rights activists, Environmentalists
Carlo Ripa di Meana	1929 births, 2018 deaths, Deaths from skin cancer, Italian politicians, Environmentalists
Armour Square, Chicago	Community areas of Chicago
Douglas, Chicago	Community areas of Chicago
Oakland, Chicago	Community areas of Chicago
Fuller Park, Chicago	Community areas of Chicago
Grand Boulevard, Chicago	Community areas of Chicago
Kenwood, Chicago	Community areas of Chicago
Washington Park, Chicago	Community areas of Chicago
Hyde Park, Chicago	Community areas of Chicago
Jackson Park (Chicago)	Parks in Chicago
Woodlawn, Chicago	Community areas of Chicago
South Shore, Chicago	Community areas of Chicago
Greater Grand Crossing, Chicago	Community areas of Chicago
Emily Dole	1957 births, 2018 deaths, Disease-related deaths in California, American professional wrestlers, American track and field athletes, American movie actors, American television actors, Samoan people, Actors from Orange County, California, Sportspeople from California
Ashburn, Chicago	Community areas of Chicago
Fourier inversion theorem	Mathematics
Ellicott's Mills Historic District	Historic districts in the United States, National Register of Historic Places, 1775 establishments in the Thirteen Colonies, 18th-century establishments in Maryland
Michael Pfeiffer	1925 births, 2018 deaths, German football managers, German footballers, People from Eschweiler, Sportspeople from North Rhine-Westphalia
Flag of Chad	National flags, Chad
Flag of Cameroon	National flags, Cameroon
Tartar, Switzerland	Former municipalities of Graubünden
Tschappina	Municipalities of Graubünden
Raedersheim	Communes in Haut-Rhin
Flag of Nigeria	National flags, Nigeria
Flag of Ghana	National flags, Ghana
Crêpe paper	Paper
Rammersmatt	Communes in Haut-Rhin
Chatham, Chicago	Community areas of Chicago
Carlos Heitor Cony	1926 births, 2018 deaths, Deaths from multiple organ failure, Brazilian writers, Brazilian journalists, People from Rio de Janeiro
Gruyère cheese	Swiss cheeses
David Bennent	1966 births, Swiss movie actors, Swiss television actors, Swiss stage actors, Living people, People from Lausanne
Jim Anderton	1938 births, 2018 deaths, Deputy Prime Ministers of New Zealand
Gossau, St. Gallen	Municipalities of St. Gallen, Cities in Switzerland
New City, Chicago	Community areas of Chicago
Ranspach	Communes in Haut-Rhin
Volzhsky	Cities in Russia
Finesse (song)	R&B songs, 2018 songs
Rumersheim-le-Haut	Communes in Haut-Rhin
Rita Crocker Clements	1931 births, 2018 deaths, Deaths from Alzheimer's disease, Disease-related deaths in Texas, Republicans (United States), People from Texas, People from Kansas
Garfield Ridge, Chicago	Community areas of Chicago
Archer Heights, Chicago	Community areas of Chicago
Brighton Park, Chicago	Community areas of Chicago
McKinley Park, Chicago	Community areas of Chicago
West Elsdon, Chicago	Community areas of Chicago
Gage Park, Chicago	Community areas of Chicago
Gage Park murders	Murders by blade weapons, Murders by firearm in the United States, 2016 in Chicago
Clearing, Chicago	Community areas of Chicago
West Lawn, Chicago	Community areas of Chicago
Chicago Lawn, Chicago	Community areas of Chicago
West Englewood, Chicago	Community areas of Chicago
Antonio Valentín Angelillo	1937 births, 2018 deaths, Deaths from lung cancer, Cancer deaths in Italy, Italian footballers, Argentine footballers, Sportspeople from Buenos Aires
Auburn Gresham, Chicago	Community areas of Chicago
Reino Ragnar Lehto	1898 births, 1966 deaths, Prime Ministers of Finland
Dan Ryan Expressway	Transport in Chicago
Kennedy Expressway	Transport in Chicago, John F. Kennedy
Interstate 290 (Illinois)	Transport in Chicago
Elk Grove Village, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois, Settlements in DuPage County, Illinois
Beverly, Chicago	Community areas of Chicago
Washington Heights, Chicago	Community areas of Chicago
Mount Greenwood, Chicago	Community areas of Chicago
Merrionette Park, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Chicago Fire Department	Chicago, Illinois
Bungalow	Houses
Morgan Park, Chicago	Community areas of Chicago
Avalon Park, Chicago	Community areas of Chicago
2018 Northern Cyprus parliamentary election	2018 in Asia, 2018 elections, January 2018 events, Northern Cyprus
Dina Titus	Politicians from Georgia (U.S. state), 1950 births, Living people, US Democratic Party politicians
Planned Parenthood	Non-profit organizations of the United States, 1916 establishments in the United States
Małgorzata Bocheńska	1949 births, 2018 deaths, Polish journalists, Writers from Warsaw
South Chicago, Chicago	Community areas of Chicago
Burnside, Chicago	Community areas of Chicago
Calumet Heights, Chicago	Community areas of Chicago
Liza Egbogah	Living people, Year of birth missing (living people), People from Toronto
Pill Hill, Chicago	Neighborhoods in Chicago
Roseland, Chicago	Community areas of Chicago
Pullman, Chicago	Community areas of Chicago
South Deering, Chicago	Community areas of Chicago
West Pullman, Chicago	Community areas of Chicago
Riverdale, Chicago	Community areas of Chicago
Hegewisch, Chicago	Community areas of Chicago
Chicago Tylenol murders	1982 in the United States, 1980s in Chicago, 1980s murders in the United States, Mass murder in the 1980s, Mass murder in the United States, Unsolved murders in the United States
Horace Ashenfelter	1923 births, 2018 deaths, American Olympic gold medalists, American track and field athletes, American military personnel of World War II, Sportspeople from New Jersey, Sportspeople from Pennsylvania
Shoichiro Toyoda	1925 births, Living people, Japanese businesspeople, Toyota
France Gall	1947 births, 2018 deaths, Deaths from cancer of unknown primary origin, Cancer deaths in France, Eurovision Song Contest winners, French pop singers, Infectious disease deaths in France, Musicians from Paris
Gerhard Weinberg	Pritzker Prize winners, 1928 births, Living people, Naturalized citizens of the United States, German historians, American historians, American educators, People from Hanover
Tony Britton	1924 births, 2019 deaths, English movie actors, English television actors, English stage actors, Actors from Birmingham
Anatoly Filipchenko	1928 births, Living people, Cosmonauts, Soviet people
Daniel Ellsberg	1931 births, Living people, American activists, American economists, American political writers, Writers from Chicago
Peter Sutherland	1946 births, 2018 deaths, Irish politicians, Lawyers, Irish businesspeople, World Trade Organization Directors-General
Florissant, Missouri	Cities in Missouri
Ray Thomas	1941 births, 2018 deaths, Deaths from prostate cancer, English singer-songwriters, English rock musicians, English rock singers, Keyboardists, Musicians from Worcestershire
Jai Shri Krishna	Indian television series, 2008 television series debuts, 2008 establishments in India, 2009 television series endings, Disestablishments in India
Flag of Serbia	National flags, Serbia, 2010 establishments in Europe, Establishments in Serbia
Flag of Moldova	National flags, Moldova
Craig Shoemaker	1958 births, Living people, American game show hosts, American comedians, American movie actors, American television actors, American voice actors, Actors from Philadelphia, Pennsylvania
Ranspach-le-Bas	Communes in Haut-Rhin
Mohammad Manzarpour	1972 births, Living people, People from Tehran, Iranian writers, Iranian journalists, BBC television presenters, BBC newsreaders and journalists
Woodlands MRT station	Mass Rapid Transit (Singapore) stations, Establishments in Singapore
Bicycle path	Cycling
Utility cycling	Cycling
Zevenaar	Cities in the Netherlands, Municipalities of Gelderland, Settlements in Gelderland
Turkmen people	Turkic peoples
Pamiri people	Ethnic groups in Asia
Badakhshan	Tajikistan, Geography of Afghanistan
Bugatti Type 35	Sports cars
Nuristani people	Ethnic groups in Afghanistan
Greg Herman	American filmmakers, American editors, Movie directors from Indiana, 1977 births, People from Bloomington, Indiana, Living people
Kyrgyz people	Ethnic groups in Asia
Kyrgyz language	Turkic languages
Barnstable County, Massachusetts	1680s establishments in Massachusetts, 1685 establishments, Massachusetts counties
Thomas Bopp	1949 births, 2018 deaths, American astronomers, People from Youngstown, Ohio, People from Denver, Colorado
Chris Tsangarides	1956 births, 2018 deaths, Deaths from heart failure, Deaths from pneumonia, British record producers
Anna Mae Hays	1920 births, 2018 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Washington, D.C., American military personnel of World War II, American military personnel of the Korean War, People from Buffalo, New York
Peter Preston	1938 births, 2018 deaths, Deaths from melanoma, British journalists, British columnists, Writers from Leicestershire
Marjorie Holt	1920 births, 2018 deaths, American lawyers, United States representatives from Maryland, Politicians from Birmingham, Alabama, US Republican Party politicians
Markku Into	1945 births, 2018 deaths, Finnish poets
Kato Ottio	1994 births, 2018 deaths, Deaths from cardiac arrest, Rugby league players
Donnelly Rhodes	1937 births, 2018 deaths, Deaths from liver cancer, Cancer deaths in Canada, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian voice actors, Canadian radio actors, Actors from Manitoba
Castle Rock Entertainment	Movie studios, American entertainment companies, 1987 establishments in the United States
Uilleann pipes	Musical instruments
Stark's Park	Football stadiums in Scotland, Fife, 1891 establishments, 1890s establishments in Scotland
Edge effect	Electricity
Juan Carlos García	1988 births, 2018 deaths, Honduran footballers, Deaths from leukemia
Vojtěch Lindaur	1957 births, 2018 deaths, Czech journalists, Record producers
Parpan	Former municipalities of Graubünden
Ranspach-le-Haut	Communes in Haut-Rhin
2054	2054, Years in the future
Rantzwiller	Communes in Haut-Rhin
List of Latin phrases (V)	Latin phrases
Denise LaSalle	1939 births, 2018 deaths, Cardiovascular disease deaths in the United States, Accidental deaths from falls in the United States, American singer-songwriters, American record producers, American blues musicians, American soul musicians, American R&B singers, Singers from Mississippi, Musicians from Mississippi, Writers from Mississippi
Britain First	2011 establishments in the United Kingdom, Political parties in the United Kingdom, Nationalist organisations in the United Kingdom, Islamophobia
Havana (song)	2017 songs, Latin music, Cuban music
Greta Thyssen	1927 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in New York City, Naturalized citizens of the United States, Danish movie actors, Danish television actors, American movie actors, American television actors, American models, People from Copenhagen, Actors from New York City
Paul Hester	1959 births, 2005 deaths, Australian drummers, Australian rock musicians, Australian television presenters, Musicians from Melbourne, Musicians who committed suicide, Rock drummers, Suicides in Australia
Civic Platform	Political parties in Europe, Conservative parties, 2001 establishments in Europe, Establishments in Poland
Intrinsic factor	Proteins, Digestive system, Vitamins
Tommy Lawrence	1940 births, 2018 deaths, British association football goalkeepers, Liverpool F.C. players, Scottish footballers
Praden	Villages in Graubünden, Former municipalities of Graubünden
Réguisheim	Communes in Haut-Rhin
Khitan people	Asian people
Wagyu beef	Beef
Khitan language	Languages
Hazaristan	Geography of Afghanistan
Abe Tsimiklis	Mixed martial artists, Taekwondo practitioners, 1996 births, Living people, Australian sportspeople
Jim Renacci	1958 births, Living people, Businesspeople from Ohio, American mayors, United States representatives from Ohio, US Republican Party politicians, American Roman Catholics
Ramsar, Mazandaran	Cities in Iran, Mazandaran Province
Hamadan	Round cities, Cities in Iran
Rose black spot	Fungal diseases
Richard Henry Lee	1732 births, 1794 deaths, British politicians, United States senators from Virginia, Founding Fathers of the United States, American judges, Presidents pro tempore of the United States Senate, Signers of the U.S. Declaration of Independence
Karni Mata Temple	Hindu temples
Karni Mata	Hindu gods and goddesses
Reiningue	Communes in Haut-Rhin
Retzwiller	Communes in Haut-Rhin
Misandry	Discrimination, Hatred
Gender differences in crime	Crime
Bank robbery	Crime, Banks
Peoria Heights, Illinois	Villages in Illinois
Carpentersville, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois
Work Bitch	Britney Spears songs, 2013 songs, Electronic dance music, House songs
The Nore	River Thames
Carrauntoohil	County Kerry
Gothic rock	Rock music, 1980s in music, 1990s in music
Martha McSally	1966 births, Living people, United States senators from Arizona, Politicians from Rhode Island, People from Warwick, Rhode Island, American aviators, United States representatives from Arizona, US Republican Party politicians
Zee Bangla	Kolkata, Television channels, 1999 establishments in Asia, 1990s establishments in India
Vanumotir Khel	2018 Indian television series debuts
Bokul Kotha	2017 Indian television series debuts
Canvey Island	Essex boroughs, Islands of England
ViVA Trio	Canadian musical groups
Zenzenzense	2016 songs, Japanese music
Anpan	Japanese food, Sweet breads
Stree	Indian television series, 2016 Indian television series debuts, 2018 television series endings, 2018 disestablishments in India
Peter Wells (athlete)	1929 births, 2018 deaths, British athletes, New Zealand people, British Olympians, Sportspeople from London
Dave Toschi	1931 births, 2018 deaths, Deaths from Alzheimer's disease, Disease-related deaths in San Francisco, American police officers, People from San Francisco
Bob Bailey	1942 births, 2018 deaths, Pittsburgh Pirates players, Los Angeles Dodgers players, Montreal Expos players, Cincinnati Reds players, Boston Red Sox players, Sportspeople from California
Robert Minlos	1931 births, 2018 deaths, Russian mathematicians, People from Moscow
Milton J. Rosenberg	1925 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in Chicago, Illinois, American psychologists, American educators, American radio personalities, Scientists from New York City, Writers from New York City, Scientists from Chicago, Writers from Chicago
Eddie Clarke	1950 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in London, Heavy metal guitarists, English rock guitarists, Musicians from London
Mikhail Derzhavin	1936 births, 2018 deaths, Russian movie actors, Russian stage actors, Actors from Moscow
Doug Barnard, Jr.	1922 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in Georgia (U.S. state), United States representatives from Georgia, People from Augusta, Georgia, US Democratic Party politicians
Edgar Ray Killen	1925 births, 2018 deaths, American murderers, People convicted of manslaughter, People from Mississippi
Takis Loukanidis	1937 births, 2018 deaths, Deaths from myocardial infarction, Greek footballers
John V. Tunney	1934 births, 2018 deaths, Deaths from prostate cancer, Cancer deaths in California, United States senators from California, United States representatives from California, Politicians from New York City, US Democratic Party politicians
Keith Jackson	1928 births, 2018 deaths, American radio personalities, American television personalities, Sportspeople from Georgia (U.S. state)
Tzimis Panousis	1954 births, 2018 deaths, Deaths from myocardial infarction, Comedians, Rock musicians, People from Athens
Eliyahu Winograd	1926 births, 2018 deaths, Deaths from respiratory failure, Hebrew University of Jerusalem alumni, Israeli Jews, Israeli judges, Jewish judges, People from Tel Aviv
Robert Marchand	1911 births, 2021 deaths, French cyclists, French centenarians
Fauja Singh	1911 births, Living people, British sportspeople, British centenarians, Indian sportspeople
Stanisław Kowalski	Living people, 1910 births, Centenarians, Polish sportspeople
Raage Anuraage	Soap operas, 2013 television series debuts, 2015 television series endings, Indian television series
Hidekichi Miyazaki	1910 births, 2019 deaths, Deaths from cerebral hemorrhage, Japanese sportspeople, Japanese centenarians
