John Davies (swimmer)	1929 births, 2020 deaths, Cancer deaths in California, Naturalized citizens of the United States, Australian Olympic gold medalists, Australian swimmers, American judges, American lawyers, Sportspeople from New South Wales, Politicians from Los Angeles, California, US Republican Party politicians
Lawrence Pressman	1939 births, Living people, American movie actors, American television actors, American stage actors, Actors from Kentucky
Lucien Sève	1926 births, 2020 deaths, French philosophers, Political writers, Political activists, Communists, Deaths from the COVID-19 pandemic in France
Clamart	Communes in Hauts-de-Seine
Ann Wilson	1950 births, Living people, American rock singers, Musicians from San Diego, California, Musicians from Washington, Rock and Roll Hall of Fame inductees, Singer-songwriters from California
Nancy Wilson (rock musician)	1954 births, Living people, American rock guitarists, American rock singers, Musicians from San Francisco, Musicians from Washington, Rock and Roll Hall of Fame inductees
Self-help	Books
BC Transit	Companies of Canada
List of Arthur characters	Lists of fictional characters, Arthur (TV series)
Arthur's Big Hit	Arthur (TV series), 1999 television episodes
Bethalto, Illinois	Villages in Illinois
Bradford, Illinois	Villages in Illinois
Unclaimed person	People
Bartonville, Illinois	Villages in Illinois
Gladstone, Illinois	Villages in Illinois
Elvaston, Illinois	Villages in Illinois
Atkinson, Illinois	Towns in Illinois
Avon, Illinois	Villages in Illinois
Bishop Hill, Illinois	Villages in Illinois
Bardolph, Illinois	Villages in Illinois
Dongola, Illinois	Villages in Illinois
Mill Creek, Illinois	Villages in Illinois
East Carondelet, Illinois	Villages in Illinois
Fairmont City, Illinois	Villages in Illinois
Crestwood, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Lenzburg, Illinois	Villages in Illinois
Sauget, Illinois	Villages in Illinois
Tamaroa, Illinois	Villages in Illinois
Bartelso, Illinois	Villages in Illinois
Bartlett, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois, Settlements in DuPage County, Illinois
Carol Stream, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois, Settlements in DuPage County, Illinois
Adams County, Washington	19th-century establishments in Washington (state), 1883 establishments in the United States, Washington (state) counties
Grant County, Washington	20th-century establishments in Washington (state), 1909 establishments in the United States, Washington (state) counties
Mark Mothersbaugh	1950 births, American movie score composers, Living people, Musicians from Akron, Ohio
Bernie Geoffrion	1931 births, 2006 deaths, New York Rangers players, Montreal Canadiens players, Calder Trophy winners, Art Ross Trophy winners, Ice hockey coaches, Hart Memorial Trophy winners, Hockey Hall of Fame inductees, Stanley Cup champions, Sportspeople from Montreal, Cancer deaths in the United States, Disease-related deaths in Georgia (U.S. state)
Edman Ayvazyan	1932 births, 2020 deaths, Painters, Armenian people, People from Tehran
Disappearance of Robert Levinson	1948 births, 2020 deaths, Missing American people, People declared dead in absentia, Spies, People from New York City
Nimmi	1932 births, 2020 deaths, Deaths from myocardial infarction, Indian movie actors
Mike Stratton	1941 births, 2020 deaths, American football linebackers, Buffalo Bills players, San Diego Chargers players, Deaths from myocardial infarction, Accidental deaths from falls in the United States
Vonore, Tennessee	Towns in Tennessee
Monroe County, Tennessee	Tennessee counties
Madisonville, Tennessee	Cities in Tennessee, County seats in Tennessee
Karlovy Vary Region	Regions of the Czech Republic, 2001 establishments in Europe, Bohemia
Disappearance of Zebb Quinn	Missing people
