Judgment (law)	Law, Legal terms
Live at the Talk of the Town	1970 albums, Live CD, R&B albums, Soul albums
Court order	Law, Legal terms
Party (law)	Law, Legal terms
Austin Powers (character)	Austin Powers characters, Fictional British people, Fictional characters introduced in 1997, Fictional twins, Histrionic personality disorder in fiction
Michael C. Gross	1945 births, 2015 deaths, American television producers, Artists from New York, People from Newburgh, New York, Cancer deaths in San Diego County, Movie producers from New York
Rahim Moeini Kermanshahi	1926 births, 2015 deaths, Iranian writers, Poets
David Padilla	1927 births, 2016 deaths, Generals, Presidents of Bolivia, South American military people
Walter Buser	1926 births, 2019 deaths, Federal Chancellors of Switzerland
Aaron Shikler	1922 births, 2015 deaths, American painters, Artists from New York City, Deaths from renal failure, Disease-related deaths in New York City, People from Brooklyn
Bert Olmstead	1926 births, 2015 deaths, Cardiovascular disease deaths in Canada, Chicago Blackhawks players, Deaths from stroke, Disease-related deaths in Alberta, Ice hockey people from Saskatchewan, Montreal Canadiens players, Toronto Maple Leafs players
Muş Province	Provinces of Turkey
Signed, Sealed & Delivered	1970 albums, R&B albums, Soul albums, Funk albums
Where I'm Coming From	1971 albums, R&B albums, Soul albums, Funk albums
Music of My Mind	1972 albums, R&B albums, Soul albums, Funk albums
Talking Book	1972 albums, R&B albums, Soul albums, Funk albums
The Dutchess	2006 albums, Debut albums, Hip hop albums, Dance albums, R&B albums
We Invented the Remix	Remix albums, 2002 albums
Don't Disturb This Groove (album)	1987 albums
Don Young	1933 births, Living people, Episcopalians, Deans of the United States House of Representatives, United States representatives from Alaska, US Republican Party politicians, 20th-century American politicians, 21st-century American politicians
Dan Sullivan	1964 births, Living people, American Roman Catholics, Colonels, Harvard University alumni, Military people from Ohio, Businesspeople from Alaska, Businesspeople from Ohio, Politicians from Ohio, United States senators from Alaska, US Republican Party politicians
Don't Disturb This Groove (song)	Synth-pop, R&B music
Administrative law	Law
Blood pheasant	Birds of Asia, Phasianidae
Mal Whitfield	1924 births, 2015 deaths, Deaths from heart failure, African-American track and field athletes, Ambassadors of the United States, American military personnel of the Korean War, American military personnel of World War II, American Olympic bronze medalists, American Olympic gold medalists, American Olympic silver medalists, Medalists at the 1948 Summer Olympics, Medalists at the 1952 Summer Olympics, Military people from California, Military people from Texas, Sportspeople from Los Angeles, California, Sportspeople from Texas
Abdelhamid Abaaoud	1987 births, 2015 deaths, People from Brussels-Capital Region, Islamic State people, Kidnappers, People shot dead by law enforcement officers, Robbers, Thieves
Battery (crime)	Law, Legal terms
Salatyn Asgarova	1961 births, 1991 deaths, Journalists, National Hero of Azerbaijan, Murders by firearm
