Land grant	Business, Property
Ulyanovsk	Ulyanovsk, Capital cities in Russia
Age of Enlightenment	Europe, 18th century in Europe
Hawk	Falconiformes
Bird of prey	Birds, Strigiformes, Falconiformes, Accipitriformes
O RLY?	Internet memes
World Peace One	Rock music, Culture, Music festivals
Jeffrey Buttle	1982 births, Living people, Sportspeople from Ontario, Canadian figure skaters
Ina Bauer	Figure skating
Shawn Sawyer	1985 births, Living people, Canadian figure skaters
Brian Orser	1961 births, Canadian figure skaters, Canadian LGBT people, Canadian Olympic silver medalists, Gay men, LGBT Olympians, Living people, Sportspeople from Ontario
Yuna Kim	1990 births, Living people, Competitors at the 2018 Winter Olympics, Figure skaters, Medalists at the 2010 Winter Olympics, Medalists at the 2014 Winter Olympics, Olympic gold medalists, Olympic silver medalists, South Korean sportspeople
Christopher Mabee	1985 births, Living people, Sportspeople from Ontario, Canadian figure skaters
Tanith Belbin	American figure skaters, Canadian figure skaters, Sportspeople from Ontario, 1984 births, Living people
Benjamin Agosto	American figure skaters, Sportspeople from Chicago, 1982 births, Living people
Ice dancing	Figure skating, Dance types, Winter Olympic sports
Charlie White	1987 births, Living people, American figure skaters, Sportspeople from Michigan
Meryl Davis	1987 births, Living people, American figure skaters, Sportspeople from Michigan
Treaty of Shimonoseki	History of Japan, Treaties involving China, 19th century treaties, 1895
Tessa Virtue	Canadian figure skaters
Scott Moir	Canadian figure skaters
Albena Denkova	1974 births, Living people, Bulgarian sportspeople, Figure skaters, People from Sofia
Maxim Staviski	1977 births, Living people, Bulgarian sportspeople, Russian figure skaters, Soviet figure skaters
First Sino-Japanese War	1894, 1895, 1890s in Asia, History of Korea, History of Taiwan, Wars involving China, Wars involving Japan
Johnny Weir	1984 births, Living people, American figure skaters, American LGBT people, American Olympians, Gay men, LGBT Olympians, Sportspeople from Pennsylvania
Nobunari Oda	1987 births, Living people, Japanese figure skaters, People from Osaka Prefecture
The Simpsons Movie	2007 animated movies, 2007 comedy movies, American animated movies, American comedy movies, The Simpsons, Movies based on TV series, English-language movies, Adult animated movies, 20th Century Fox movies
Male enhancement	Human sexuality
Californication (TV series)	2007 American television series debuts, 2000s American television series, 2010s American television series, 2014 American television series endings, American drama television series, Television series set in Los Angeles, California, English-language television programs
Honour	Virtues
Oil field	Fuel
Takeoff	Aviation
Brian Joubert	1984 births, Living people, 2002 Winter Olympics, 2006 Winter Olympics, 2010 Winter Olympics, 2014 Winter Olympics, Figure skaters, French Olympians, People from Poitiers
Pap	Cities in Uzbekistan
Gift	Giving
Timothy Goebel	1980 births, Living people, American adoptees, American figure skaters, American Olympic bronze medalists, Sportspeople from Illinois, Columbia University alumni
Angela Nikodinov	People from Spartanburg, South Carolina, American figure skaters, Sportspeople from South Carolina, 1980 births, Living people
Alberto Gonzales	Politicians from San Antonio, Texas, 1955 births, Living people, United States Attorneys General
Cantilever	Cantilevers, Figure skating
Mao Asada	1990 births, Living people, Japanese figure skaters, Japanese Olympic silver medalists, People from Aichi Prefecture, Medalists at the 2010 Winter Olympics, Radio personalities
Catia	Software
Brigham Young	1801 births, 1877 deaths, American Latter Day Saints, Christian religious leaders, Governors of Utah, 19th century in Utah, American abolitionists, American educators, American theologians, Christian mystics, Deaths from peritonitis, Freemasons, Mormonism, People from Salt Lake City, Utah, Politicians from Utah, Religious leaders
Speaker (politics)	Legislative speakers, Government occupations
Orator	Public speaking, Politics
Parsifal	Compositions by Richard Wagner, Operas, Works based on the Arthurian legend
Kana	Writing systems, Japanese language
Tropical Storm Erin (2007)	2007 in Texas, Atlantic tropical storms, Hurricanes in the United States, 2000s in Oklahoma
Antonio Banderas	1960 births, Living people, Entertainers from Andalusia, People from Malaga, Spanish movie actors, Spanish movie directors, Spanish movie producers, Spanish stage actors, Spanish television actors, Spanish voice actors
Jim Carrey	1882 births, 2009 deaths, Living people, Actors from Ontario, Canadian Christians, Canadian comedians, Canadian movie actors, Canadian television actors, Canadian voice actors, Canadian writers, Golden Globe Award winning actors, Naturalized citizens of the United States
Egyptian cobra	Elapidae
Mikhail Baryshnikov	1948 births, Living people, American movie actors, Ballet dancers, Emmy Award winners, People from Riga, Russian dancers
Batman Begins	2005 movies, English-language movies, Batman movies, Warner Bros. movies, Movies based on comic book characters, Movies shot in Chicago, Illinois, Nonlinear narrative movies, American action movies, American thriller movies, Movies composed by Hans Zimmer, Movies composed by James Newton Howard, Movies directed by Christopher Nolan, Movies produced by Charles Roven, The Dark Knight Trilogy, Reboot movies, American superhero movies
Liam Neeson	1952 births, Living people, Irish movie actors, Irish television actors, Irish voice actors, Actors from Northern Ireland, Irish stage actors, Irish radio actors, County Antrim
Great Seal of the United States	Symbols of the United States, National coats of arms
1444	1444
Biellmann spin	Figure skating
1445	1445
Omar Sharif	1932 births, 2015 deaths, Contract bridge players, Converts to Islam, Deaths from myocardial infarction, Disease-related deaths in Egypt, Egyptian movie actors, Egyptian Muslims, Egyptian sportspeople, Egyptian television actors, Former Christians, Golden Globe Award winning actors, People from Alexandria, People with Alzheimer's disease
Toshirō Mifune	1920 births, 1997 deaths, Deaths from multiple organ failure, Japanese movie actors
Andy García	American movie actors, Actors from Florida, Cuban actors, 1956 births, Living people
Rodrigo Santoro	1975 births, Living people, Brazilian actors
Michael Caine	1933 births, Living people, Actors from London, BAFTA Award winning actors, Best Supporting Actor Academy Award winners, English movie actors, English stage actors, English television actors, English voice actors, Golden Globe Award winning actors, Military personnel of the Korean War, Screen Actors Guild Award winners, Stage names
Begging	Occupations
Benicio del Toro	1967 births, Living people, Actors who played Bond villains, American movie actors, American movie producers, Puerto Rican actors, Academy Award winning actors, BAFTA Award winning actors, Golden Globe Award winning actors, Actors from Pennsylvania
Geoffrey Rush	Academy Award winning actors, Actors from Queensland, Australian movie actors, Australian of the Year Award winners, Australian television actors, Australian voice actors, BAFTA Award winning actors, Emmy Award winning actors, Golden Globe Award winning actors, Screen Actors Guild Award winners, 1951 births, Living people
Joaquin Phoenix	Actors who played the Joker, Best Actor Academy Award winners, Grammy Award winners, BAFTA Award winning actors, Golden Globe Award winning actors, Screen Actors Guild Award winners, 1974 births, Living people, American political activists, American animal rights activists, American child actors, American television actors, American stage actors, American voice actors, American movie actors, Humanitarians, American philanthropists, American movie producers, Jewish American actors, People from San Juan, Puerto Rico
William Hurt	1950 births, Living people, American movie actors, BAFTA Award winners, Academy Award winning actors, Actors from Washington, D.C.
Adrien Brody	1973 births, Living people, Best Actor Academy Award winners, Actors from New York City, American movie actors, American television actors
Mark Wahlberg	Actors from Boston, Massachusetts, American movie actors, American movie producers, American people convicted of assault, American pop musicians, American rap musicians from Massachusetts, American Roman Catholics, American television actors, American television producers, BAFTA Award winners, Businesspeople from Boston, Massachusetts, Musicians from Boston, Massachusetts, Singers from Boston, Massachusetts, 1971 births, Living people
Wesley Snipes	Actors from Orlando, Florida, Actors from the Bronx, African American actors, American movie actors, African American movie producers, American television actors, 1962 births, Living people
Jak 3	2004 video games, 3D platform games, Naughty Dog games, PlayStation 2 games, Jak and Daxter series
Edward Norton	1969 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American movie directors, Golden Globe Award winning actors, Actors from Boston, Massachusetts
Cardinal (bird)	Passeriformes
Magpie	Corvids
Final Fantasy Tactics	Final Fantasy games, 1997 video games
Vacuole	Organelles
College of Arms	Heraldry, 1484 establishments, British monarchy, 15th century establishments in England
City of Sunderland	Sunderland, Tyne and Wear, Ports and harbours of the United Kingdom, Settlements in Tyne and Wear
Self-Strengthening Movement	History of China
Michael Keaton	1951 births, Living people, Actors from Pennsylvania, Actors who played Batman, American movie actors, American television actors, American video game actors, American voice actors, Golden Globe Award winning actors, Satellite Award winners, Stage names
Inequality	Mathematics
Chechnya	Chechnya, Federal subjects of Russia, Republics of Russia
Hilbert's paradox of the Grand Hotel	Mathematics
Opposite number	Numbers
Nth root	Mathematics
Isle of Portland	Dorset, Islands of England
Weymouth, Dorset	Weymouth, Dorset
Chrysanthemum	Flowers, Asteraceae
Flagship	Ships
European magpie	Corvids
Sui generis	Legal terms, Latin words and phrases
Regular polygon	Polygons
Straightedge and compass construction	Ruler-and-compass construction, Mathematics
Carnation	Caryophyllaceae
Air Force One	United States Air Force, Presidency of the United States, Individual aircraft
Incubus	Demons
Commonwealth realm	History of the United Kingdom, Commonwealth realms, British monarchy
Dashiki	Tops (clothing), Africa
Colorado Avalanche	Colorado Avalanche, 1972 establishments in the United States, 1970s establishments in Colorado
Battle of Midway	1942 in Oceania, Battles involving Japan, Battles involving the United States, Pacific battles of World War II, Polynesia, June events
Minnesota Wild	Minnesota Wild
Ghassanids	Yemeni people
Boeing B-29 Superfortress	Boeing aircraft, United States Air Force aircraft, World War II American aircraft
Sewing	Manufacturing, Needlework
Saipan	Capital cities in Oceania, Northern Mariana Islands
Knitting	Needlework
Yarn	Fibers, Weaving
Royal Australian Navy	Military of Australia, Navies
Takijirō Ōnishi	1891 births, 1945 deaths, Admirals, Aviators, Japanese military people, Military personnel of World War II, People from Hyōgo Prefecture
Torpedo	Weapons
Undercarriage	Aircraft
Seven Years' War	Seven Years' War
Battlefield 2	2005 video games, Battlefield video games, Video games developed in Sweden
Battlefield (series)	Battlefield video games, Video games developed in Sweden
Subset	Set theory
Middle Temple	Inns of Court
Albanian Orthodox Church	Eastern Orthodox Church, Albanian culture
University of Padua	Colleges and universities in Italy, 1222 establishments, Padua, 1220s establishments in Europe, 13th century establishments in Italy
Anti-aircraft warfare	Missiles, Military aviation
National Museum of the United States Air Force	United States Air Force, Military aviation, Dayton, Ohio, Museums in the United States, Buildings and structures in Ohio
List of Tour de France winners	Lists of sportspeople, Tour de France winners
Inner Temple	Inns of Court
Inns of Court	Inns of Court
Lincoln's Inn	Inns of Court
Gray's Inn	Inns of Court
Battle of Okinawa	1945 in Japan, Battles involving the United Kingdom, Battles involving the United States, Pacific battles of World War II, Ryukyu Islands
Naomi Nari Nam	1985 births, Living people, Figure skaters from California, People from Anaheim, California
Themistocles Leftheris	1982 births, Living people, American figure skaters, Sportspeople from Florida
Ohka	Aviation, Ballistics
Stéphane Lambiel	1985 births, Living people, 2002 Winter Olympics, 2010 Winter Olympics, Figure skaters, Medalists at the 2006 Winter Olympics, Olympic silver medalists, Swiss Olympic medalists
Daisuke Takahashi	1986 births, Living people, Japanese figure skaters, Japanese Olympic bronze medalists, People from Okayama Prefecture
Evgeni Plushenko	Russian figure skaters, 1982 births, Living people
Bald eagle	Birds of North America, Symbols of the United States
Stacy London	American television presenters, Television personalities from New York City, 1969 births, Living people
Kaiten	Weapons
Blanket	Home
Crochet	Needlework
Weaving	Hobbies, Weaving
Loom	Hobbies, Weaving
Sweater	Tops (clothing)
Scarf	Accessories
Across the Universe (movie)	2007 movies, American musical movies, Columbia Pictures movies
Hugo Weaving	1960 births, Living people, Australian movie actors, Australian stage actors, Australian voice actors
Battle of the Philippine Sea	1944, Battles involving Japan, Battles involving the United States, Pacific battles of World War II, 1940s in Oceania, Micronesia, June 1944 events
Tour of Britain	Cycle races, Sport in the United Kingdom
Tengiz	Lakes of Kazakhstan
Aike	Lakes of Kazakhstan, Lakes of Russia
Tamgaly	Lakes of Kazakhstan
Union Cycliste Internationale	Cycling
Ashchikol	Lakes of Kazakhstan
Kajbagar	Lakes of Kazakhstan
Milk Marketing Board	Government of the United Kingdom, Agriculture
Smithsonian Institution	Smithsonian Institution, 1843 establishments in the United States, 19th-century establishments in Washington, D.C.
Battle of Leyte Gulf	Pacific battles of World War II, 1944 in Asia, 1940s in the Philippines, October 1944 events
Ottoman dynasty	History of Turkey, Royal dynasties, Lists
Grand Vizier	History of Turkey, Politics of Turkey
1446	1446
List of Ottoman Grand Viziers	History of Turkey, Politics of Turkey, Ottoman people, Lists of people
Köprülü family	Albanian people, Noble families
1281	1281
1283	1283
1287	1287
Ashley Tisdale	1985 births, Living people, American movie actors, American television actors, American voice actors, American child actors, Actors from New Jersey, Singers from New Jersey, High School Musical people, American Jews, American composers, American models, American musical theatre actors, American pop singers, American singer-songwriters, American stage actors, American television producers, Child actors, Disney people, High School Musical, Warner Bros. Records artists
Angela Beesley Starling	1977 births, Living people, British people
Derby (horse race)	Horse riding
Reef	Reefs
Luba Goy	1945 births, Living people, Canadian comedians, German entertainers
Tina Fey	1970 births, Living people, Actors from New York City, Actors from Philadelphia, Pennsylvania, American television actors, Comedians from Pennsylvania, Emmy Award winners, Extras, Mark Twain Prize recipients, Screen Actors Guild Award winners
Ashley Leggat	1986 births, Living people, Canadian television actors, People from Hamilton
Murder of Jessica Lunsford	2005 crimes, 2005 deaths, 2005 in Florida, 2000s crimes in the United States, American children, American murder victims, February events, Kidnapped American people, Murder in Florida, Murder in the 21st century in the United States, People murdered in the United States
Puncak Jaya	Mountains of Asia, Geography of Indonesia
Raviv Ullman	1986 births, Living people, Actors from Connecticut, American child actors, American drummers, American stage actors, American television actors, Israeli stage actors, Israeli television actors, Jewish American actors, Jewish American musicians, Jewish Israeli actors, Jewish Israeli musicians
Homosassa, Florida	Census-designated places in Florida
Jaws (movie)	1975 movies, 1970s thriller movies, American adventure movies, American thriller movies, English-language movies, Jaws movies, Movies about animals, Movies based on books, Movies directed by Steven Spielberg, Movies composed by John Williams, Movies set in Massachusetts, United States National Film Registry movies, Universal Pictures movies, People's Choice Award winners
Nostalgia	Emotions
Alcazar (band)	Swedish pop music groups
Julie Andrews	1935 births, Living people, Academy Award winning actors, Actors from Surrey, BAFTA Award winning actors, British child actors, British children's writers, Emmy Award winners, English movie actors, English singers, English stage actors, English voice actors, Golden Globe Award winning actors, Grammy Award winners, Musicians from Surrey, Screen Actors Guild Award winners, Writers from Surrey, People's Choice Award winners, Knights and Dames Commander of the Order of the British Empire
Odoacer	Kings and Queens of Italy, Roman people, 431 births, 493 deaths, Roman generals
Alexios I Komnenos	1081 births, 1118 deaths, Byzantine Emperors
Slayer	1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, Thrash metal bands, American heavy metal bands, Speed metal bands, Musical groups from Huntington Beach, California, Slayer
Megadeth	Megadeth, Musical groups established in 1990, Thrash metal bands, American heavy metal bands, Roadrunner Records, Speed metal bands, American hard rock bands, Musical groups from Los Angeles, California
Bonnaroo Music Festival	Music festivals in the United States, Tennessee, 2002 establishments in the United States, 2000s establishments in Tennessee
Pol'and'Rock Festival	Przystanek Woodstock, Music festivals, 1990s establishments in Poland, Festivals in Europe, 1995 establishments in Europe
Empire of Japan	History of Japan
Headband	Headgear
Cornflower	Flowers, Asterales
Axel jump	Figure skating
Kimmie Meissner	1989 births, Living people, American figure skaters, Sportspeople from Maryland
Flying ace	Occupations in aviation
Medal	Orders, decorations, and medals
Motoori Norinaga	1730 births, 1801 deaths, Japanese poets, Mie Prefecture
Valediction	Writing, Traditions
Saburo Sakai	1916 births, 2000 deaths, Japanese people, People from Saga Prefecture
Southern Cross Station	Railway stations in Melbourne
Flagstaff railway station, Melbourne	Railway stations in Melbourne
Melbourne Central railway station	Railway stations in Melbourne, 1981 establishments in Australia
Parliament railway station, Melbourne	Railway stations in Melbourne, 1983 establishments, 1980s establishments in Australia
Asphyxia	Medical emergencies, Health problems, Respiratory system
Toy Story 2	1999 animated movies, 1999 comedy movies, 1990s computer-animated movies, 2009 3D movies, American sequel movies, American comedy movies, Buddy movies, Disney animated movies, English-language movies, Movies composed by Randy Newman, Pixar movies, Toy Story, 3D re-releases, Movies directed by John Lasseter
Richmond railway station, Melbourne	Premium Melbourne railway stations
Bairnsdale railway line, Victoria	Victoria, Australia
Pakenham railway station, Melbourne	Premium Melbourne railway stations, 1877 establishments in Australia
North Melbourne railway station, Melbourne	Premium Melbourne railway stations
Shushi Massacres	20th century in Armenia, 1920, 20th century in Azerbaijan, 20th century in Turkey
Osip Mandelstam	1891 births, 1938 deaths, Jewish writers, Methodists, Polish Jews, Prisoners, Russian Christians, Russian Jews, Russian poets, Russian writers, Soviet Jews, Writers from Warsaw
Forestry Commission	Departments of the United Kingdom Government, Government agencies of the United Kingdom, Forests of the United Kingdom, Forestry
Fukushima Prefecture	Fukushima Prefecture, 1876 establishments, 1870s establishments in Japan, Prefectures of Japan
Arara, Paraíba	Cities in Paraíba, 1961 establishments in South America, 1960s establishments in Brazil
Juan Crisóstomo de Arriaga	1806 births, 1826 deaths, Spanish composers, Romantic composers
Conservatoire de Paris	Music schools, Buildings and structures in Paris, 1795 establishments, 1790s establishments in France
Prix de Rome	Art awards, Paris
Caulfield railway station, Melbourne	Premium Melbourne railway stations, 1879 establishments, 1870s establishments in Australia
Officer railway station, Melbourne	Railway stations in Melbourne
ß	German language, Latin letters
General Motors railway station, Melbourne	Railway stations in Melbourne, 1956 establishments, 1950s establishments in Australia, 2002 disestablishments in Australia
Agronomy	Botany, Ecology
Metlink	Public transport in Melbourne, Intermodal transport authorities
Sanyo	Technology companies of Japan, Electronics companies
Celtic Frost	Thrash metal bands, Death metal bands, Swiss heavy metal bands, Zürich, Musical groups established in 1984, 1984 establishments in Europe, 1980s establishments in Switzerland, Musical groups disestablished in 1993, Musical groups established in 2001, 2001 establishments in Europe, 2000s establishments in Switzerland, Musical groups disestablished in 2008, 2008 disestablishments in Europe, 2000s disestablishments in Switzerland
Cable knitting	Cloth
Maraghar Massacre	20th century in Armenia, 1992
Circular knitting	Cloth, Skills
Knitting machine	Machines
Kirovabad pogrom	20th century in Armenia, 20th century in Azerbaijan, 1988
Tree of Knowledge	Mythology
Royal Academy of Music	Music schools, Colleges and universities in London
Royal College of Music	Music schools, Colleges and universities in London
Automated teller machine	Money, Technology
Quilt	Cloth, Textile arts
Ribbon	Cloth
Garden of Eden	Old Testament
Wigmore Hall	Concert halls in London
Associated Board of the Royal Schools of Music	Music education
Engraving	Printmaking
Ron Dennis	1947 births, Living people, English businesspeople, Formula One people, People from Woking
Sabaragamuwa Province	Provinces of Sri Lanka
Skateboard	Skateboarding, Sports equipment
Interstate 95	Interstate Highways
U.S. Route 1	U.S. Highways
Let It Be (Beatles album)	The Beatles albums, 1970 albums, 1970 movies, Rock albums
Tiger Woods	African-American golfers, People from Orange County, California, Sportspeople from California, 1975 births, Living people
House of Commons of Canada	National lower houses, Parliament of Canada, 1867 establishments in Canada
Riboflavin	B vitamins
Earl Marshal	Occupations, England, Heraldry, Government
Crysis	Shooter video games, 2007 video games, Electronic Arts video games
Peerage	British royalty
Fertility	Reproductive system, Basic English 850 words
Fin de siècle	Phrases
Postmodernism	Architecture, Art movements, Philosophical movements and positions
Eraser	Writing tools
Sercquiais	Languages of the Channel Islands, Guernsey
Jèrriais	Languages of the Channel Islands, Jersey
Auregnais	Languages of the Channel Islands, Alderney
Colwyn Bay	Towns in Conwy
Maple syrup urine disease	Genetic disorders
Anglesey	Islands of the United Kingdom, Geography of Wales, Anglesey
Plateosaurus	Prosauropods, Triassic dinosaurs
Cotton Mather	1663 births, 1728 deaths, American Calvinists, Christian religious leaders, Christian writers, Colonial Americans, Puritanism, Salem Witch Trials, Writers from Boston, Massachusetts
Linda McCartney	1941 births, 1998 deaths, American pianists, Cancer deaths in Arizona, Deaths from breast cancer, Jewish American musicians, Musicians from New York City, Paul McCartney, Singers from New York City, The Beatles
Fethiye	Cities in Turkey
N-Dubz	2000 establishments in England, 2010s disestablishments in the United Kingdom, 2011 disestablishments in Europe, 2000s British music groups, 2010s British music groups, Hip hop bands, Musical groups disestablished in 2011, Musical groups established in 2000, Musical groups from London, English R&B bands
66	60s
70	70
674	670s
Pachycephalosaurus	Pachycephalosauria
Utopia	Society
Jeff Hardy	1977 births, American painters, American professional wrestlers, American rock musicians, Living people, Sportspeople from North Carolina
Durban	Durban, 1880 establishments, 1880s establishments in South Africa
Bantu people	Ethnic groups in Africa
Knight Bachelor	Knights Bachelor
Digital	Electronics
Hans Christian Ørsted	1777 births, 1851 deaths, Danish scientists, Physicists, Chemists
Ammeter	Measuring tools
Voltage divider	Electronic circuits
English Heritage	History of England, Conservation organisations of the United Kingdom, 1983 establishments in the United Kingdom, 1980s establishments in England
Filioque clause	Christianity of the Middle Ages, Christian creeds, Christian terminology
Krokus	Heavy metal bands, Hard rock bands, Swiss musical groups, Musical groups established in 1974, 1974 establishments in Europe, 20th century establishments in Switzerland, 1970s music groups, 1980s music groups, 1990s music groups, 2000s music groups, 2010s music groups
Historic Scotland	Scotland, Conservation organisations of the United Kingdom
Loudness (band)	Japanese heavy metal bands, Osaka
Gulf of Oman	Gulfs, Geography of Iran, Geography of Oman, Geography of Pakistan
Gulag	Human rights, Soviet Union, Concentration camps
Multimeter	Measuring tools
Hyattsville, Maryland	Cities in Maryland, 1886 establishments in the United States, 19th-century establishments in Maryland
Invitee	Law
Luciano Pavarotti	1935 births, 2007 deaths, Cancer deaths in Italy, Deaths from pancreatic cancer, Grammy Award winners, Italian singers, Musicians from Emilia-Romagna, Italian opera singers, People from Modena, Tenors
Negligence	Law
Cytokinesis	Cell biology
Femininity	Women, Gender
Battery (tort)	Legal terms, Types of crime
Assault	Types of crime, Violence
Megaloblastic anemia	Diseases
Legal code	Law
Plácido Domingo	1941 births, Living people, Grammy Award winners, Musicians from Madrid, Spanish opera singers, Spanish singers, Tenors, Latin Grammy Award winners, Honorary Knights Commander of the Order of the British Empire
José Carreras	1946 births, Living people, Grammy Award winners, Spanish opera singers, Order of Merit of the Federal Republic of Germany, Musicians from Barcelona, Spanish singers, Tenors
Leukemia	Cancer, Blood disorders, Blood cells
Tavern	Taverns, Places where alcohol is served
Gaucho	South America, Brazil, Argentina, Chile, Uruguay
Flag of Tunisia	National flags, Tunisia, 1831 establishments, 19th-century establishments in Africa, Establishments in Tunisia
Humat Al Hima	Tunisia, National anthems, 1987 establishments in Africa
Nymphadora Tonks	Harry Potter characters
Scelidosaurus	Thyreophora
Nissan Stadium	Football stadiums in Asia, Buildings and structures in Japan, Nissan
Scream 2	1997 crime movies, 1997 horror movies, 1990s sequel movies, 1990s serial killer movies, American sequel movies, Scream movies, American independent movies
DNA repair	DNA
Armiger	Heraldry
Genome	Genetics
Atomic force microscope	Microscopes
Zine El Abidine Ben Ali	1936 births, 2019 deaths, Deaths from prostate cancer, Presidents of Tunisia, Prime Ministers of Tunisia
Heraldry	Heraldry
Baronet	Baronets
Duchy of Saxe-Coburg and Gotha	Belgian royalty, Ernestine duchies, 1826 establishments, 1820s establishments in Europe, 1918 disestablishments in Germany, 19th century establishments in Germany
Berkelium	Chemical elements, Actinides, Berkeley, California
BBC Learning English	BBC
Omarosa Manigault Newman	1974 births, Living people, Participants in American reality television series, People from Youngstown, Ohio
The Apprentice	2004 American television series debuts, American reality television series, The Apprentice, English-language television programs
Survivor (TV series)	Survivor (TV series)
The Weakest Link	Television game shows
Anne Robinson	1944 births, Living people, British game show hosts, English journalists, English television presenters, Skin cancer survivors, Television personalities from Lancashire
Scooch	1998 establishments in the United Kingdom, 1990s British music groups, 2000s British music groups, 2010s British music groups, English pop music groups, Musical groups established in 1998
Rock art	Art, Painting, Ancient history, Stone Age
Edward Teach	1680 births, 1718 deaths, Pirates, Mysterious people
Jenolan Caves	Geography of New South Wales, Caves of Australia
Sizzler	American restaurants
Báb	Bahá'í Faith, Religious leaders, Babism
Breakfast at Tiffany's	1961 drama movies, 1960s comedy-drama movies, 1960s romantic comedy movies, 1960s romantic drama movies, American comedy-drama movies, American romantic comedy movies, American romantic drama movies, English-language movies, Movies based on books, Movies set in New York City, Movies directed by Blake Edwards
Juan Ignacio Molina	Naturalists, Zoologists
Mescaline	Illegal drugs
Psilocybin	Drugs
Ketamine	Drugs
Diazepam	Drugs used in psychiatry
Fluoxetine	Drugs used in psychiatry
Portable Document Format	Adobe Inc.
Ascension Island	Saint Helena, Ascension and Tristan da Cunha
Ashmore and Cartier Islands	Commonwealth dependent states, States and territories of Australia, Islands of Australia
Australian Antarctic Territory	Commonwealth dependent states, States and territories of Australia, Antarctic territorial claims, Postage stamps
British Antarctic Territory	British overseas territories, Antarctic territorial claims, 1962 establishments, 1962 establishments in the United Kingdom, Establishments in Antarctica
British Indian Ocean Territory	Territorial disputes of India, British Indian Ocean Territory
Christmas Island	Christmas Island, Commonwealth dependent states
Cocos (Keeling) Islands	Cocos (Keeling) Islands, Commonwealth dependent states, Dependent territories, Territorial disputes of India
Heard Island and McDonald Islands	Commonwealth dependent states, States and territories of Australia, Islands of Australia, World Heritage Sites in Australia, Protected areas of Australia
Ross Dependency	Commonwealth dependent states, New Zealand, Antarctic territorial claims
Tristan da Cunha	Saint Helena, Ascension and Tristan da Cunha
Frozen dinner	Frozen foods
Věž	Villages in the Czech Republic
Southern Lapwing	Charadriiformes
Reinforced concrete	Building materials
Courthouse	Government buildings, Courts (law)
Prosecutor	Trials
Ibiza	Balearic Islands, Phoenician colonies
Octave Mirbeau	1848 births, 1917 deaths, French novelists, French playwrights
Tumulus	History, Burial monuments and structures
Zapotec civilisation	Zapotec, History of Mesoamerica, Native American
Olmec	History of North America, Native American
Mixe-Zoque languages	Languages of Mexico, Mesoamerica
Step pyramid	Pyramids
Chichen Itza	Maya civilization, World Heritage Sites in Mexico, Archaeological sites in Mexico, Yucatán (state)
Common sense	Everyday life, Philosophy
Magic User's Club	Anime
Deryck Whibley	1980 births, Living people, Canadian singers, Canadian guitarists, Sum 41, People from Ontario
Glam rock	Rock music, Culture
Polish Aviation Museum	Aircraft museums, Kraków, Education in Poland, Buildings and structures in Poland
Eddy Merckx	1945 births, Belgian cyclists, Belgian nobility, Doping cases in cycling, Giro d'Italia winners, Living people, People from Flemish Brabant, Tour de France winners, Vuelta a España winners, World cycling champions
Monstera	Vines, Araceae, Epiphytes
Vine	Vines, Epiphytes
Aerial root	Plant tissues
Tropical wave	Weather
Brownsville, Texas	Cities in Texas, County seats in Texas
Agar	Polymers, Microbiology, Laboratory equipment
Australian Air Force Cadets	Air force, Organisations based in Australia, Military of Australia, 1941 establishments in Australia
Cable	Hardware (mechanical)
Yellow jersey	Cycling
Green jersey	Cycling
Rainbow jersey	Cycling
Derny race	Cycling
Escopetarra	Guitars, Weapons
Sylvère Maes	1909 births, 1966 deaths, Belgian cyclists, People from West Flanders, Tour de France winners
Maurice Garin	1871 births, 1957 deaths, French cyclists, Italian cyclists, Tour de France winners, Valle d'Aosta
Spiracle	Insects
Henri Cornet	1884 births, 1941 deaths, French cyclists, People from Hauts-de-France, Tour de France winners
Paris-Roubaix	Cycle racing in France, History of Paris, Roubaix
Asexuality	Human sexuality
Mongoose	Feliformia, Fictional animals
Macedonian language	Slavic languages, Languages of Europe
Patina	Furniture, Art
Crux	Constellations, National symbols
Richmond, Victoria	Melbourne
2006 Commonwealth Games	2006 in sports, 2000s in Australia, Commonwealth Games, Sport in Melbourne, History of Melbourne, March events
Deutschland Tour	Cycle racing in Germany
Stage race	Cycling
Eneco Tour of Benelux	UCI ProTour, Cycle races, Sport in the Netherlands, Sport in Belgium, 1948 establishments in Europe, 20th century establishments in the Netherlands
Lucas Cranach the Elder	1472 births, 1553 deaths, German painters, People from Bavaria, German printmakers
Edwards v. Aguillard	1987 in the United States, United States law, 1980s in law
Frýdlant	Cities in the Czech Republic
Kitzmiller, et al. v. Dover Area School District, et al.	2005 in Pennsylvania, Former good articles, Intelligent design, Trials in the United States
Psychometrics	Psychology
Consolevania	Video games, Entertainment websites
Drag (physics)	Fluid mechanics
Manatee	Sirenia
Natural history	Biology, Geology
Theistic evolution	Evolution, Religion
Queer	LGBT variations, Pejoratives
Abdus Salam	1926 births, 1996 deaths, Pakistani scientists, Theoretical physicists
Livermorium	Chemical elements
UCI ProTour	Cycling
Ohana	Culture of Hawaii
Grand Tour (cycling)	cycling
Mammoth	Extinct elephants, Megafauna
Right-wing politics	Conservatism
Polka dot jersey	Cycling
Pleistocene	Cainozoic, Ancient history
