Niccolò Machiavelli	1469 births, 1527 deaths, 16th century philosophers, Civil servants, Italian philosophers, Italian playwrights, Italian writers, People from Florence
Supply line	Military
Michigan	Michigan, 1837 establishments in the United States
Caenorhabditis elegans	Nematodes, Model organisms
Saxe-Weimar	States of the Confederation of the Rhine, States of the Holy Roman Empire, Thuringia, Weimar
Oldham	Oldham, Greater Manchester
Pakistan	Pakistan, 1947 establishments in Asia, British India, English-speaking countries, Federations, Members of the Organisation of Islamic Cooperation
New Zealand	New Zealand, Commonwealth realms, English-speaking countries, Australasia, Gondwana, Current monarchies
South Korea	South Korea, 1945 establishments in Asia
Republic of Ireland	Republic of Ireland, European Union member states, English-speaking countries, 1949 establishments in Europe
Vietnam	Vietnam, 1975 establishments in Asia
Lance Armstrong	1971 births, 2000 Summer Olympics, American adoptees, American cyclists, American Olympic bronze medalists, Cancer survivors, Doping cases in cycling, Living people, Sportspeople from Texas, Tour de France cyclists, People from Plano, Texas
Phoebe (moon)	Saturn's moons
Three Peaks Challenge	Mountain climbing
Pennsylvania	Pennsylvania, 1787 establishments in the United States
Box	Basic English 850 words, Containers
Philippines	Philippines, 1946 establishments in Asia
Fawlty Towers	1975 television series debuts, 1979 disestablishments, 1970s British sitcoms, 1970s British workplace television series, 1970s workplace comedy television series, BBC television sitcoms, British workplace comedy television series, Television series about marriage, Torquay, English-language television programs
Custom	Social sciences, Culture
Fort Ouiatenon	Buildings and structures in Indiana, 1717 establishments, 18th-century establishments in North America
Chennai	Chennai, 1661 establishments, 17th century establishments in India, 1660s establishments in England
Mumbai	Mumbai
Bangalore	Bangalore
Akbar the Great	1542 births, 1605 deaths, Akbar, History of India, Deaths from dysentery
New Delhi	New Delhi
Edmund Hillary	1919 births, 2008 deaths, Beekeepers, Deaths from myocardial infarction, Explorers, Mountain climbers, People from Auckland
Wright brothers	American aviators, American inventors, Sibling duos, Businesspeople from Dayton, Ohio
Charles Darwin	1809 births, 1882 deaths, Charles Darwin, Darwin family, Agnostics, Alumni of the University of Cambridge, British abolitionists, British zoologists, Cardiovascular disease deaths in England, Deaths from heart failure, English activists, English Anglicans, English botanists, English evolutionary biologists, English geologists, English naturalists, English science writers, People buried in Westminster Abbey, People from Shropshire
Adam Smith	1723 births, 1790 deaths, 18th century philosophers, British economists, British philosophers, Scottish scientists, Scottish writers
Isaac Newton	1643 births, 1727 deaths, English mathematicians, English physicists, English science writers, Fellows of the Royal Society, People buried in Westminster Abbey, Presidents of the Royal Society, Theoretical physicists, Writers from Lincolnshire
Johann Wolfgang von Goethe	1749 births, 1832 deaths, 18th century philosophers, 19th century philosophers, German autobiographers, German philosophers, German poets, Writers from Frankfurt
Pythagoras	580s BC births, 496 BC deaths, Presocratic philosophers, Ancient mathematicians
Socrates	460s BC births, 399 BC deaths, Ancient Greek philosophers, Executed people
Dante Alighieri	1265 births, 1321 deaths, Italian poets, Medieval poets, People from Florence, Writers from Tuscany
Virginia Woolf	1882 births, 1941 deaths, Bisexual people, British crime victims, British feminists, English LGBT people, English novelists, English playwrights, Feminist writers, LGBT feminists, LGBT novelists, People with bipolar disorder, Suicides by drowning, Suicides in the United Kingdom, Writers from London, Writers who committed suicide
March 28	Days of the year
January 25	Days of the year
Jane Austen	1775 births, 1817 deaths, Disease-related deaths in Hampshire, English novelists, Jane Austen, Writers from Hampshire
Charlotte Brontë	1816 births, 1885 deaths, Disease-related deaths in Yorkshire, English novelists, English poets, Writers from Yorkshire
Emily Brontë	1818 births, 1848 deaths, Deaths from tuberculosis, Disease-related deaths in Yorkshire, English novelists, English poets, Infectious disease deaths in England, Writers from Yorkshire
Anne Brontë	1820 births, 1849 deaths, Deaths from tuberculosis, Disease-related deaths in Yorkshire, English novelists, English poets, Infectious disease deaths in England, Writers from Yorkshire
Charles Dickens	Cardiovascular disease deaths in England, Deaths from stroke, English novelists, Unitarians, People buried in Westminster Abbey, People from Portsmouth, Writers from Hampshire, 1812 births, 1870 deaths
Portsmouth	Portsmouth, Ports and harbours of the United Kingdom
HMS Victory	British warships, Portsmouth
HMS Warrior (1860)	British warships, Portsmouth
Mary Rose	British warships, Portsmouth
1603	1603
April 28	Days of the year
Mutiny on the Bounty	History of the United Kingdom, Mutiny on the Bounty, 1789 works
1787	1787
August 16	Days of the year
December 23	Days of the year
1788	1788
October 25	Days of the year
1789	1789
April 4	Days of the year
May 28	Days of the year
Political virtues	Ethics
Lady Jane Grey	1537 births, 1554 deaths, 1550s in England, English Anglicans, Executed English people, House of Tudor, People executed by decapitation, Royalty from London
Tower of London	Castles in England, Buildings and structures in London, Royal residences in the United Kingdom, World Heritage Sites in the United Kingdom, Towers in the United Kingdom, London Borough of Tower Hamlets
Anne Boleyn	People executed by decapitation, House of Tudor, Kings and Queens consort of England, People from Norfolk, Executed English people, 1500s births, 1536 deaths
Mona Lisa	16th century paintings, Paintings by Leonardo da Vinci
December 14	Days of the year
1542	1542
February 13	Days of the year
